mode,scenario,measurement_kind,observation_mode,method,feature,snr_db,trial,true_id,predicted_id,true_class,predicted_class,strict_correct,class_correct,strict_unique_correct,unique_identification,physically_ambiguous_class,ambiguous,false_unique,best_distance,second_best_distance,distance_margin,objective,cfr_nmse,theta_estimation_rmse,theta_boundary_hit,theta_true_label,theta_hat_label,parameter_regularization,grid_size,view_count,frequency_count,edge_precision,edge_recall,edge_f1,seed,runtime_s
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,5,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0150909297689843,0.0172801313638248,0.00218920159484052,0.0150909297689843,0.00402241783281564,0.0288675134594813,1,nominal_noise_20,branch_load_scale,0.0833333333333331,27,1,1793,1,1,1,20370926,3.0764
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,6,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0128638864722123,0.0929832033522362,0.0801193168800238,0.0128638864722123,0.00412552137559361,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370927,3.098559
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,topology_only,amplitude,20,6,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00106088397527405,0.00725391362026697,0.00619302964499292,0.00106088397527405,0.00412552137559361,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370927,3.099115
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,6,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0.0128638864722123,0.0128638864722123,0,0.0128638864722123,0.00412552137559361,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370927,3.100236
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,7,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0177084894601772,0.0933329953025134,0.0756245058423362,0.0177084894601772,0.00405538151535965,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370928,3.12152
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,topology_only,amplitude,20,7,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0010565370282797,0.00724101983743649,0.00618448280915679,0.0010565370282797,0.00405538151535965,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370928,3.122063
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,7,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0155906499049885,0.0177084894601772,0.00211783955518867,0.0155906499049885,0.00405538151535965,0.0288675134594813,1,nominal_noise_20,branch_load_scale,0.0833333333333331,27,1,1793,1,1,1,20370928,3.122638
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nominal_nearest,amp_phase_joint_weighted,20,8,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0148587706882121,0.0938496501231353,0.0789908794349232,0.0148587706882121,0.003901771372948,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370929,3.142739
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,topology_only,amplitude,20,8,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.00102311768364507,0.00718015100708756,0.00615703332344249,0.00102311768364507,0.003901771372948,0,0,nominal_noise_20,nominal,0,27,1,1793,1,1,1,20370929,3.143294
parameter_aware,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,8,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0140770764376226,0.0148587706882121,0.000781694250589568,0.0140770764376226,0.003901771372948,0.0288675134594813,1,nominal_noise_20,branch_load_scale,0.0833333333333331,27,1,1793,1,1,1,20370929,3.143893
