true_or_pred,T1,T2,T3,T4,T5,T6
T1,39,3,0,0,0,8
T2,20,6,3,1,0,20
T3,31,5,2,1,0,11
T4,27,4,0,1,0,18
T5,27,5,0,3,0,15
T6,29,6,1,0,0,14
