sample_id,replicate_id,grid_id,topology_id,category,outlier_dimension,outlier_severity,eta,in_distance,ext_distance,lambda,relative_improvement,extended_outside,boundary_hit,outward_decrease,minimum_boundary_distance,minimum_sensitivity,condition_number,effective_rank,optimization_converged,experiment_scientific_hash
final01_test_out_joint_parameter_set_far,final01,A_stage4a1_quick61,G004,parameter_out_of_domain,joint_parameter_set,far,0.5,0.212729975884901,0.0974950009795485,0.0357487674239882,0.541695990071279,1,1,1,0,0.0952263054832093,212.682368442877,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final01_test_out_joint_parameter_set_far,final01,A_stage4a1_quick61,G007,parameter_out_of_domain,joint_parameter_set,far,0.5,0.212729975884901,0.0974950100937526,0.0357487656468095,0.541695947227274,1,1,1,0,0.0923696912493488,179.874535118868,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_01,final02,A_stage4a1_quick61,G001,parameter_in_domain,,,0.5,0.0350127302133836,0.00387449613518474,0.00121087955669362,0.889340359564618,1,1,0,0.000109755756921004,0,Inf,3,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_02,final02,A_stage4a1_quick61,G002,parameter_in_domain,,,0.5,0.0174503822366189,0.0170980943697331,1.21710091278051e-05,0.0201879742282283,0,1,0,0.000416491076638437,0.148288964169284,184.118147945173,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_02,final02,A_stage4a1_quick61,G005,parameter_in_domain,,,0.5,0.0175503171502737,0.0171742207230098,1.30597746325323e-05,0.0214296085946581,0,1,0,0.000798636858120716,0.148573764351486,191.326781863654,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_03,final02,A_stage4a1_quick61,G003,parameter_in_domain,,,0.5,0.0464269789859253,0.0107912394772104,0.00203901352830505,0.767565331329239,0,1,0,0,0.148852682783903,261.881705577287,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_04,final02,A_stage4a1_quick61,G004,parameter_in_domain,,,0.5,0.0104650615778824,0.00612429392765701,7.20105377165339e-05,0.414786632405937,0,1,0,0.000199694945931839,0.119077992061773,240.406693558737,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_04,final02,A_stage4a1_quick61,G007,parameter_in_domain,,,0.5,0.0105373098044531,0.00626218023212079,7.18199966554592e-05,0.405713569332461,0,1,0,0.000204120329223656,0.116659581546404,199.529790465449,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_05,final02,A_stage4a1_quick61,G002,parameter_in_domain,,,0.5,0.0362482306037632,0.00759194462474628,0.00125629659871838,0.790556821696321,0,1,0,0.000171380320599379,0.145766295061413,189.711008757949,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_05,final02,A_stage4a1_quick61,G005,parameter_in_domain,,,0.5,0.0362482921788571,0.00759225803871112,0.00125629630375742,0.790548531168316,0,1,0,0.000171380320599379,0.145596209851653,194.938503586536,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_06,final02,A_stage4a1_quick61,G006,parameter_in_domain,,,0.5,0.0422211027247518,0.0270317312236401,0.00105190702234692,0.359757811153692,0,1,0,0,0.111897991200202,294.169986555509,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_07,final02,A_stage4a1_quick61,G004,parameter_in_domain,,,0.5,0.0441761252478108,0.0105157828699713,0.00184094835254189,0.761957781228122,1,1,0,0.000126351485346676,0.114795447719445,232.729293252514,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_in_07,final02,A_stage4a1_quick61,G007,parameter_in_domain,,,0.5,0.0441126738423973,0.0115073843818031,0.00181350809821515,0.739136547839855,1,1,0,0.000118606010258704,0.111859712338237,190.626463692885,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_out_main_length_scale_medium,final02,A_stage4a1_quick61,G004,parameter_out_of_domain,main_length_scale,medium,0.5,0.213892136679462,0.0993061502169488,0.0358881346623946,0.535718555346875,1,1,1,1.89913755832549e-07,0.11591957753758,280.59674057855,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
final02_test_out_main_length_scale_medium,final02,A_stage4a1_quick61,G007,parameter_out_of_domain,main_length_scale,medium,0.5,0.213600411770201,0.105607511471245,0.0344721894292504,0.505583764579225,1,1,1,8.58592799080071e-07,0.103197029713883,214.853920756552,5,0,2b57ad667460add303b33479b5da8e8e496a2d188b509d1fcaa9a88f01c73cda
