frequency_hz,H_true_real,H_true_imag,H_hat_real,H_hat_imag
2000000,-0.427945447694802,0.0314721516069162,-0.427945447694802,0.0314721516069162
2015625,-0.432981854590959,0.0555903421186157,-0.432981854590959,0.0555903421186157
2031250,-0.435827846063697,0.0804928049493266,-0.435827846063697,0.0804928049493266
2046875,-0.436365010629083,0.105859797668286,-0.436365010629083,0.105859797668286
2062500,-0.434540006605757,0.131350533947929,-0.434540006605757,0.131350533947929
2078125,-0.430368448198245,0.156619859652184,-0.430368448198245,0.156619859652184
2093750,-0.423933710072635,0.181335421546949,-0.423933710072635,0.181335421546949
2109375,-0.415380800309403,0.205193573566052,-0.415380800309403,0.205193573566052
2125000,-0.404906105494837,0.227932478776354,-0.404906105494837,0.227932478776354
2140625,-0.392744299011044,0.249341326050822,-0.392744299011044,0.249341326050822
2156250,-0.37915393775381,0.269265176541063,-0.37915393775381,0.269265176541063
2171875,-0.364403236994651,0.287605553092419,-0.364403236994651,0.287605553092419
2187500,-0.34875725649278,0.304317371696417,-0.34875725649278,0.304317371696417
2203125,-0.332467342254465,0.319403120238359,-0.332467342254465,0.319403120238359
2218750,-0.315763245144282,0.332905302163824,-0.315763245144282,0.332905302163824
2234375,-0.298847959784238,0.344898110716048,-0.298847959784238,0.344898110716048
2250000,-0.281895043226212,0.355479136592032,-0.281895043226212,0.355479136592032
2265625,-0.265047998624971,0.364761696135498,-0.265047998624971,0.364761696135498
2281250,-0.248421235545779,0.372868146877832,-0.248421235545779,0.372868146877832
2296875,-0.232102122515478,0.379924364673362,-0.232102122515478,0.379924364673362
2312500,-0.216153701643863,0.386055407903529,-0.216153701643863,0.386055407903529
2328125,-0.200617714796453,0.391382292459977,-0.200617714796453,0.391382292459977
2343750,-0.185517676962168,0.396019741496286,-0.185517676962168,0.396019741496286
2359375,-0.17086181280643,0.400074747373876,-0.17086181280643,0.400074747373876
2375000,-0.156645740366663,0.403645780101475,-0.156645740366663,0.403645780101475
2390625,-0.142854839128845,0.406822488168955,-0.142854839128845,0.406822488168955
2406250,-0.129466278741991,0.409685757119715,-0.129466278741991,0.409685757119715
2421875,-0.116450711265313,0.412308013569799,-0.116450711265313,0.412308013569799
2437500,-0.103773646548066,0.414753684478637,-0.103773646548066,0.414753684478637
2453125,-0.0913965395703352,0.417079741472821,-0.0913965395703352,0.417079741472821
2468750,-0.0792776224935321,0.419336277052329,-0.0792776224935321,0.419336277052329
2484375,-0.067372514548682,0.421567073328835,-0.067372514548682,0.421567073328835
2500000,-0.0556346410844062,0.42381013468937,-0.0556346410844062,0.42381013468937
2515625,-0.0440154900955426,0.426098163765658,-0.0440154900955426,0.426098163765658
2531250,-0.0324647310530976,0.428458965708416,-0.0324647310530976,0.428458965708416
2546875,-0.0209302173280842,0.430915769402619,-0.0209302173280842,0.430915769402619
2562500,-0.0093578902587028,0.433487456257781,-0.0093578902587028,0.433487456257781
2578125,0.0023083998385291,0.436188687851718,0.0023083998385291,0.436188687851718
2593750,0.0141271425170204,0.439029923219672,0.0141271425170204,0.439029923219672
2609375,0.0261594740417275,0.44201731512882,0.0261594740417275,0.44201731512882
2625000,0.0384695307790257,0.445152472380071,0.0384695307790257,0.445152472380071
2640625,0.0511248370297088,0.448432072121409,0.0511248370297088,0.448432072121409
2656250,0.0641967132282111,0.451847302413839,0.0641967132282111,0.451847302413839
2671875,0.0777606868323241,0.455383110948737,0.0777606868323241,0.455383110948737
2687500,0.0918968825760008,0.459017231009002,0.0918968825760008,0.459017231009002
2703125,0.106690360491119,0.462718950729636,0.106690360491119,0.462718950729636
2718750,0.122231358500284,0.46644758685245,0.122231358500284,0.46644758685245
2734375,0.138615380545084,0.470150620167522,0.138615380545084,0.470150620167522
2750000,0.15594305007854,0.473761447800732,0.15594305007854,0.473761447800732
2765625,0.17431962113639,0.477196709184057,0.17431962113639,0.477196709184057
2781250,0.193854003946364,0.480353150583047,0.193854003946364,0.480353150583047
2796875,0.214657118269201,0.483104011357553,0.214657118269201,0.483104011357553
2812500,0.236839335327474,0.485294949253382,0.236839335327474,0.485294949253382
2828125,0.26050670988743,0.486739579555914,0.26050670988743,0.486739579555914
2843750,0.285755642517899,0.487214793716497,0.285755642517899,0.487214793716497
2859375,0.312665558140996,0.486456158881919,0.312665558140996,0.486456158881919
2875000,0.34128915865147,0.484153893028941,0.34128915865147,0.484153893028941
2890625,0.371639834099441,0.479950170876965,0.371639834099441,0.479950170876965
2906250,0.403675943044655,0.473438844046955,0.403675943044655,0.473438844046955
2921875,0.437281958604149,0.464169035587601,0.437281958604149,0.464169035587601
2937500,0.472246994270655,0.451654438285905,0.472246994270655,0.451654438285905
2953125,0.508242039678152,0.435390396455754,0.508242039678152,0.435390396455754
2968750,0.544798377729771,0.414880798116815,0.544798377729771,0.414880798116815
2984375,0.581291048066132,0.389676194400297,0.581291048066132,0.389676194400297
3000000,0.616932618987712,0.359423116985095,0.616932618987712,0.359423116985095
3015625,0.650783442364258,0.323922096357325,0.650783442364258,0.323922096357325
3031250,0.681784279514768,0.283188496467452,0.681784279514768,0.283188496467452
3046875,0.708814937393754,0.237506590516369,0.708814937393754,0.237506590516369
3062500,0.730777923623298,0.18746454457973,0.730777923623298,0.18746454457973
3078125,0.746699560284659,0.133957789761089,0.746699560284659,0.133957789761089
3093750,0.755834149939828,0.0781520136291459,0.755834149939828,0.0781520136291459
3109375,0.75775229453108,0.0214048086383815,0.75775229453108,0.0214048086383815
3125000,0.752394872876984,-0.0348449251492766,0.752394872876984,-0.0348449251492766
3140625,0.740080448381802,-0.0892018364786524,0.740080448381802,-0.0892018364786524
3156250,0.721464423431636,-0.140431090988691,0.721464423431636,-0.140431090988691
3171875,0.697459402673608,-0.187547655447712,0.697459402673608,-0.187547655447712
3187500,0.66913399259476,-0.229865941350009,0.66913399259476,-0.229865941350009
3203125,0.637609359676633,-0.267007945360442,0.637609359676633,-0.267007945360442
3218750,0.603969581291254,-0.298876728714013,0.603969581291254,-0.298876728714013
3234375,0.569195390347875,-0.325607048576289,0.569195390347875,-0.325607048576289
3250000,0.534124072799976,-0.347505803173785,0.534124072799976,-0.347505803173785
3265625,0.499433014906474,-0.364992783014651,0.499433014906474,-0.364992783014651
3281250,0.46564148522263,-0.378548672655209,0.46564148522263,-0.378548672655209
3296875,0.433124451242259,-0.388673706183925,0.433124451242259,-0.388673706183925
3312500,0.40213286437845,-0.395857633098718,0.40213286437845,-0.395857633098718
3328125,0.372816149884528,-0.400559927707091,0.372816149884528,-0.400559927707091
3343750,0.345244054332094,-0.403198350770046,0.345244054332094,-0.403198350770046
3359375,0.319426221189888,-0.404143782220031,0.319426221189888,-0.404143782220031
3375000,0.295328769630828,-0.40371942245218,0.295328769630828,-0.40371942245218
3390625,0.272887747145035,-0.40220280283432,0.272887747145035,-0.40220280283432
3406250,0.252019671654801,-0.399829423321938,0.252019671654801,-0.399829423321938
3421875,0.23262954540435,-0.39679717687894,0.23262954540435,-0.39679717687894
3437500,0.214616774759283,-0.393270998643327,0.214616774759283,-0.393270998643327
3453125,0.197879415749789,-0.38938738835702,0.197879415749789,-0.38938738835702
3468750,0.182317117951155,-0.385258605163727,0.182317117951155,-0.385258605163727
3484375,0.167833079909302,-0.380976436309386,0.167833079909302,-0.380976436309386
3500000,0.154335269647512,-0.376615507537188,0.154335269647512,-0.376615507537188
3515625,0.141737109806073,-0.372236143379655,0.141737109806073,-0.372236143379655
3531250,0.129957781046487,-0.367886808256499,0.129957781046487,-0.367886808256499
3546875,0.118922259849356,-0.363606170343212,0.118922259849356,-0.363606170343212
3562500,0.108561177080293,-0.359424833889226,0.108561177080293,-0.359424833889226
3578125,0.0988105605978824,-0.355366784992463,0.0988105605978824,-0.355366784992463
3593750,0.0896115075475315,-0.35145059274214,0.0896115075475315,-0.35145059274214
3609375,0.0809098187180769,-0.347690403383661,0.0809098187180769,-0.347690403383661
3625000,0.0726556174759249,-0.344096760516323,0.0726556174759249,-0.344096760516323
3640625,0.0648029685424906,-0.3406772797624,0.0648029685424906,-0.3406772797624
3656250,0.0573095066110608,-0.337437202092365,0.0573095066110608,-0.337437202092365
3671875,0.0501360810126238,-0.334379846171214,0.0501360810126238,-0.334379846171214
3687500,0.0432464199547136,-0.331506976740783,0.0432464199547136,-0.331506976740783
3703125,0.0366068159824923,-0.328819103162177,0.0366068159824923,-0.328819103162177
3718750,0.0301858330287486,-0.326315719775829,0.0301858330287486,-0.326315719775829
3734375,0.0239540345664159,-0.323995497647858,0.0239540345664159,-0.323995497647858
3750000,0.017883731833214,-0.32185643551075,0.017883731833214,-0.32185643551075
3765625,0.0119487507748717,-0.319895976225514,0.0119487507748717,-0.319895976225514
3781250,0.00612421618691241,-0.318111093846776,0.00612421618691241,-0.318111093846776
3796875,0.000386351479217215,-0.316498355321757,0.000386351479217215,-0.316498355321757
3812500,-0.00528770749000682,-0.315053959963836,-0.00528770749000682,-0.315053959963836
3828125,-0.0109200859859762,-0.313773759081105,-0.0109200859859762,-0.313773759081105
3843750,-0.0165323327304169,-0.312653257484412,-0.0165323327304169,-0.312653257484412
3859375,-0.0221455721997193,-0.311687598025762,-0.0221455721997193,-0.311687598025762
