split,scenario,measurement_kind,observation_mode,method,feature,snr_db,trial,true_id,predicted_id,true_class,predicted_class,strict_correct,class_correct,strict_unique_correct,unique_identification,physically_ambiguous_class,ambiguous,false_unique,best_distance,second_best_distance,distance_margin,objective,cfr_nmse,theta_estimation_rmse,theta_boundary_hit,theta_true_label,theta_hat_label,parameter_regularization,lambda,grid_size,view_count,frequency_count,edge_precision,edge_recall,edge_f1,seed,runtime_s,trial_label
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422925,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.01362632165159,0.0153670659501128,0.00174074429852284,0.01362632165159,0.00404248027922338,0.0288675134594813,1,nominal_noise_20,branch_load_scale,0.0833333333333333,0.001,27,1,1793,1,1,1,20422925,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422925,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.01437632165159,0.0154762712086726,0.00109994955708261,0.01437632165159,0.00404248027922338,0.0288675134594813,1,nominal_noise_20,branch_load_scale,0.0833333333333333,0.01,27,1,1793,1,1,1,20422925,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422925,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0.0154762712086726,0.0154762712086726,0,0.0154762712086726,0.00404248027922338,0,0,nominal_noise_20,nominal,0,0.05,27,1,1793,1,1,1,20422925,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422926,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0139622699088949,0.0161486816601861,0.00218641175129115,0.0139622699088949,0.00406232695087894,0.0288675134594813,1,nominal_noise_20,branch_load_scale,0.0833333333333333,0,27,1,1793,1,1,1,20422926,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422926,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0140456032422283,0.0162320149935194,0.00218641175129115,0.0140456032422283,0.00406232695087894,0.0288675134594813,1,nominal_noise_20,branch_load_scale,0.0833333333333333,0.001,27,1,1793,1,1,1,20422926,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422926,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0147956032422283,0.0163554626455659,0.00155985940333768,0.0147956032422283,0.00406232695087894,0.0288675134594813,1,nominal_noise_20,branch_load_scale,0.0833333333333333,0.01,27,1,1793,1,1,1,20422926,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422926,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0.0163554626455659,0.0163554626455659,0,0.0163554626455659,0.00406232695087894,0,0,nominal_noise_20,nominal,0,0.05,27,1,1793,1,1,1,20422926,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422927,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0157091586048203,0.0188005932344528,0.00309143462963252,0.0157091586048203,0.00418964587987166,0.0288675134594813,1,nominal_noise_20,branch_load_scale,0.0833333333333331,0,27,1,1793,1,1,1,20422927,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422927,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0157924919381536,0.0188839265677862,0.00309143462963252,0.0157924919381536,0.00418964587987166,0.0288675134594813,1,nominal_noise_20,branch_load_scale,0.0833333333333331,0.001,27,1,1793,1,1,1,20422927,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422927,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0165424919381536,0.0190359553318245,0.00249346339367087,0.0165424919381536,0.00418964587987166,0.0288675134594813,1,nominal_noise_20,branch_load_scale,0.0833333333333331,0.01,27,1,1793,1,1,1,20422927,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422927,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0.0190359553318245,0.0190359553318245,0,0.0190359553318245,0.00418964587987166,0,0,nominal_noise_20,nominal,0,0.05,27,1,1793,1,1,1,20422927,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422928,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0133019424596569,0.013304198692483,2.2562328261394e-06,0.0133019424596569,0.00430865447813738,0.00577350269189626,1,nominal_noise_20,source_impedance_ohm,0.0833333333333333,0,27,1,1793,1,1,1,20422928,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422928,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0.0133733704327558,0.0133733704327558,0,0.0133733704327558,0.00430865447813738,0,0,nominal_noise_20,nominal,0,0.001,27,1,1793,1,1,1,20422928,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422928,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0.0133733704327558,0.0133733704327558,0,0.0133733704327558,0.00430865447813738,0,0,nominal_noise_20,nominal,0,0.01,27,1,1793,1,1,1,20422928,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422928,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0.0133733704327558,0.0133733704327558,0,0.0133733704327558,0.00430865447813738,0,0,nominal_noise_20,nominal,0,0.05,27,1,1793,1,1,1,20422928,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422929,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0128483782815192,0.0128496251878065,1.24690628727948e-06,0.0128483782815192,0.00413877703432936,0.00577350269189626,1,nominal_noise_20,source_impedance_ohm,0.0833333333333333,0,27,1,1793,1,1,1,20422929,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422929,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0.0128528358951795,0.0128528358951795,0,0.0128528358951795,0.00413877703432936,0,0,nominal_noise_20,nominal,0,0.001,27,1,1793,1,1,1,20422929,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422929,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0.0128528358951795,0.0128528358951795,0,0.0128528358951795,0.00413877703432936,0,0,nominal_noise_20,nominal,0,0.01,27,1,1793,1,1,1,20422929,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422929,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0.0128528358951795,0.0128528358951795,0,0.0128528358951795,0.00413877703432936,0,0,nominal_noise_20,nominal,0,0.05,27,1,1793,1,1,1,20422929,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422930,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0133511355395535,0.0134467882774456,9.56527378921119e-05,0.0133511355395535,0.00415043487221812,0.0288675134594813,1,nominal_noise_20,branch_load_scale,0.0833333333333333,0,27,1,1793,1,1,1,20422930,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422930,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0134344688728868,0.013530121610779,9.56527378921119e-05,0.0134344688728868,0.00415043487221812,0.0288675134594813,1,nominal_noise_20,branch_load_scale,0.0833333333333333,0.001,27,1,1793,1,1,1,20422930,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422930,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0.0135389256356912,0.0135389256356912,0,0.0135389256356912,0.00415043487221812,0,0,nominal_noise_20,nominal,0,0.01,27,1,1793,1,1,1,20422930,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422930,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0.0135389256356912,0.0135389256356912,0,0.0135389256356912,0.00415043487221812,0,0,nominal_noise_20,nominal,0,0.05,27,1,1793,1,1,1,20422930,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422931,T2,T2,"{T2}","{T2}",1,1,1,1,0,0,0,0.0127351471585284,0.0127376054714899,2.45831296144354e-06,0.0127351471585284,0.00419541555173344,0.00577350269189626,1,nominal_noise_20,receiver_impedance_ohm,0.0833333333333333,0,27,1,1793,1,1,1,20422931,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422931,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0.0127856287786676,0.0127856287786676,0,0.0127856287786676,0.00419541555173344,0,0,nominal_noise_20,nominal,0,0.001,27,1,1793,1,1,1,20422931,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422931,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0.0127856287786676,0.0127856287786676,0,0.0127856287786676,0.00419541555173344,0,0,nominal_noise_20,nominal,0,0.01,27,1,1793,1,1,1,20422931,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20422931,T2,T2,"{T2}","{T2}",1,1,0,0,0,1,0,0.0127856287786676,0.0127856287786676,0,0.0127856287786676,0.00419541555173344,0,0,nominal_noise_20,nominal,0,0.05,27,1,1793,1,1,1,20422931,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423022,T3,T3,"{T3,T5}","{T3,T5}",1,1,0,0,1,0,1,0.0131539541597549,0.0131550507504057,1.09659065080162e-06,0.0131539541597549,0.00405444690679703,0.00577350269189626,1,nominal_noise_20,source_impedance_ohm,0.0833333333333333,0,27,1,1793,1,1,1,20423022,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423022,T3,T3,"{T3,T5}","{T3,T5}",1,1,0,0,1,0,1,0.0132372874930883,0.0132383840837391,1.09659065080162e-06,0.0132372874930883,0.00405444690679703,0.00577350269189626,1,nominal_noise_20,source_impedance_ohm,0.0833333333333333,0.001,27,1,1793,1,1,1,20423022,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423022,T3,T5,"{T3,T5}","{T3,T5}",0,1,0,0,1,1,0,0.0134808095440022,0.0134808095440022,0,0.0134808095440022,0.00405444690679703,0,0,nominal_noise_20,nominal,0,0.01,27,1,1793,0.8,0.8,0.8,20423022,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423022,T3,T5,"{T3,T5}","{T3,T5}",0,1,0,0,1,1,0,0.0134808095440022,0.0134808095440022,0,0.0134808095440022,0.00405444690679703,0,0,nominal_noise_20,nominal,0,0.05,27,1,1793,0.8,0.8,0.8,20423022,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423023,T3,T3,"{T3,T5}","{T3,T5}",1,1,0,0,1,0,1,0.0191602685112848,0.0191613984950418,1.1299837569638e-06,0.0191602685112848,0.00403896324993435,0.00577350269189626,1,nominal_noise_20,source_impedance_ohm,0.0833333333333333,0,27,1,1793,1,1,1,20423023,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423023,T3,T3,"{T3,T5}","{T3,T5}",1,1,0,0,1,0,1,0.0192436018446182,0.0192447318283751,1.1299837569638e-06,0.0192436018446182,0.00403896324993435,0.00577350269189626,1,nominal_noise_20,source_impedance_ohm,0.0833333333333333,0.001,27,1,1793,1,1,1,20423023,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423023,T3,T3,"{T3,T5}","{T3,T5}",1,1,0,0,1,1,0,0.0198607029895562,0.0198607029895562,0,0.0198607029895562,0.00403896324993435,0,0,nominal_noise_20,nominal,0,0.01,27,1,1793,1,1,1,20423023,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423023,T3,T3,"{T3,T5}","{T3,T5}",1,1,0,0,1,1,0,0.0198607029895562,0.0198607029895562,0,0.0198607029895562,0.00403896324993435,0,0,nominal_noise_20,nominal,0,0.05,27,1,1793,1,1,1,20423023,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423024,T3,T3,"{T3,T5}","{T3,T5}",1,1,0,0,1,0,1,0.0126148677823974,0.0126151067594303,2.38977032896923e-07,0.0126148677823974,0.00412322249795624,0.00577350269189626,1,nominal_noise_20,source_impedance_ohm,0.0833333333333333,0,27,1,1793,1,1,1,20423024,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423024,T3,T3,"{T3,T5}","{T3,T5}",1,1,0,0,1,0,1,0.0126982011157307,0.0126984400927636,2.38977032896923e-07,0.0126982011157307,0.00412322249795624,0.00577350269189626,1,nominal_noise_20,source_impedance_ohm,0.0833333333333333,0.001,27,1,1793,1,1,1,20423024,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423024,T3,T5,"{T3,T5}","{T3,T5}",0,1,0,0,1,1,0,0.0128454054021342,0.0128454054021342,0,0.0128454054021342,0.00412322249795624,0,0,nominal_noise_20,nominal,0,0.01,27,1,1793,0.8,0.8,0.8,20423024,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423024,T3,T5,"{T3,T5}","{T3,T5}",0,1,0,0,1,1,0,0.0128454054021342,0.0128454054021342,0,0.0128454054021342,0.00412322249795624,0,0,nominal_noise_20,nominal,0,0.05,27,1,1793,0.8,0.8,0.8,20423024,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423025,T3,T3,"{T3,T5}","{T3,T5}",1,1,0,0,1,0,1,0.0133101092898181,0.0133151984353983,5.08914558019873e-06,0.0133101092898181,0.00407550923829513,0.00577350269189626,1,nominal_noise_20,source_impedance_ohm,0.0833333333333333,0,27,1,1793,1,1,1,20423025,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423025,T3,T3,"{T3,T5}","{T3,T5}",1,1,0,0,1,0,1,0.0133934426231514,0.0133985317687316,5.08914558019873e-06,0.0133934426231514,0.00407550923829513,0.00577350269189626,1,nominal_noise_20,source_impedance_ohm,0.0833333333333333,0.001,27,1,1793,1,1,1,20423025,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423025,T3,T3,"{T3,T5}","{T3,T5}",1,1,0,0,1,1,0,0.0136805416266034,0.0136805416266034,0,0.0136805416266034,0.00407550923829513,0,0,nominal_noise_20,nominal,0,0.01,27,1,1793,1,1,1,20423025,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423025,T3,T3,"{T3,T5}","{T3,T5}",1,1,0,0,1,1,0,0.0136805416266034,0.0136805416266034,0,0.0136805416266034,0.00407550923829513,0,0,nominal_noise_20,nominal,0,0.05,27,1,1793,1,1,1,20423025,NaN,0
calibration,nominal_noise_20,siso_forward,ordinary_ofdm_cfr,nuisance_aware_joint,amp_phase_joint_weighted,20,20423026,T3,T5,"{T3,T5}","{T3,T5}",0,1,0,0,1,0,1,0.0125984733900581,0.0125985299883338,5.65982756547262e-08,0.0125984733900581,0.00409940530582363,0.00577350269189626,1,nominal_noise_20,receiver_impedance_ohm,0.0833333333333333,0,27,1,1793,0.8,0.8,0.8,20423026,NaN,0
