grid_id,residual_threshold,margin_threshold,rho_threshold,robust_score_threshold,robust_margin_threshold,training_sample_count,calibration_sample_count,residual_calibration_count,margin_calibration_count,ratio_calibration_count,robust_calibration_count,residual_quantile,margin_quantile,rho_quantile,safety_factor,calibration_seed,test_seed,source,configuration_hash
A_stage4a1_quick61,0.197872894909751,0.00940725419415299,0.946365309974925,0.494115394530951,0.196246989847274,35,35,35,15,35,35,0.95,0.05,0.95,1.1,20261112,20261114,training class statistics + P0 calibration only,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
B_ofdm_active_subcarriers,0.197990453486405,0.00938684763421121,0.945725312662553,0.507030208260737,0.153689949183925,35,35,35,15,35,35,0.95,0.05,0.95,1.1,20261112,20261114,training class statistics + P0 calibration only,59ee9e2eb1c577e4e6fa662d465a6656d1249fa70ebe820a7a2f6ea1d71a5916
