true_or_pred,T1,T2,T3,T4,T5,T6
T1,50,0,0,0,0,0
T2,0,50,0,0,0,0
T3,0,0,25,0,25,0
T4,25,1,2,2,0,20
T5,0,0,23,0,27,0
T6,16,1,2,0,2,29
