true_or_pred,T1,T2,T3,T4,T5,T6
T1,20,0,0,0,0,0
T2,0,20,0,0,0,0
T3,0,0,11,0,9,0
T4,5,0,1,6,0,8
T5,0,0,13,0,7,0
T6,9,0,1,1,0,9
