sample_id,method_id,decision,topology_status,topology_set,accepted_topology_set,decision_reason,best_topology_id,accepted_member_count,evaluated_member_count,reliable_member_count,unreliable_member_count,member_profile_reliable,member_domain_statuses,class_aggregation_reason,parameter_domain_status,parameter_decision_reliable,best_distance,second_distance,margin,rho,compatibility_hash,topology_calibration_hash,parameter_calibration_hash
r_pilot_G003_interior_01,Stage4A5_1_M3_frozen_adapter_R1,unique_topology,unique_topology,"G003","G003",singleton baseline class passed all frozen rules,G003,1,1,0,1,0,"parameter_domain_indeterminate",at least one accepted member has unreliable profile,parameter_domain_indeterminate,0,0.0310289648777404,0.126776397432511,0.0957474325547704,0.244753483344673,55f691362f90dee8dc3a7d00b73fd6ec79b4ccfb93e52b785f580e0d83c1f0ae,4d1e6054e8ed31b5fe6f8f21efd3fbac73e154450346d5a1af8cbe057a44b3fb,ed371b94bcae331c1fe84abdc22c7ebda20749dc59d75964016e83209b03cbaf
r_pilot_G003_boundary_01,Stage4A5_1_M3_frozen_adapter_R1,unique_topology,unique_topology,"G003","G003",singleton baseline class passed all frozen rules,G003,1,1,1,0,1,"parameter_in_domain",all accepted members support in-domain,parameter_in_domain,0,0.0276625521713271,0.12122764625522,0.0935650940838933,0.228186828876154,55f691362f90dee8dc3a7d00b73fd6ec79b4ccfb93e52b785f580e0d83c1f0ae,4d1e6054e8ed31b5fe6f8f21efd3fbac73e154450346d5a1af8cbe057a44b3fb,ed371b94bcae331c1fe84abdc22c7ebda20749dc59d75964016e83209b03cbaf
r_pilot_G003_branch_load_scale_near_lower_01,Stage4A5_1_M3_frozen_adapter_R1,reject_low_stability,reject_low_stability,"","",contiguous-block selection stability below frozen threshold,G003,0,0,0,0,0,"",,parameter_not_evaluated,0,0.202191411757736,0.214491024686726,0.0122996129289902,0.942656747768831,55f691362f90dee8dc3a7d00b73fd6ec79b4ccfb93e52b785f580e0d83c1f0ae,4d1e6054e8ed31b5fe6f8f21efd3fbac73e154450346d5a1af8cbe057a44b3fb,ed371b94bcae331c1fe84abdc22c7ebda20749dc59d75964016e83209b03cbaf
r_pilot_G003_source_impedance_ohm_medium_upper_02,Stage4A5_1_M3_frozen_adapter_R1,unique_topology,unique_topology,"G003","G003",singleton baseline class passed all frozen rules,G003,1,1,0,1,0,"parameter_domain_indeterminate",at least one accepted member has unreliable profile,parameter_domain_indeterminate,0,0.177822099573901,0.191610233479713,0.013788133905812,0.928040722792607,55f691362f90dee8dc3a7d00b73fd6ec79b4ccfb93e52b785f580e0d83c1f0ae,4d1e6054e8ed31b5fe6f8f21efd3fbac73e154450346d5a1af8cbe057a44b3fb,ed371b94bcae331c1fe84abdc22c7ebda20749dc59d75964016e83209b03cbaf
r_pilot_G003_receiver_impedance_ohm_far_lower_03,Stage4A5_1_M3_frozen_adapter_R1,reject_subband_mismatch,reject_subband_mismatch,"","",one or more calibrated subband residual statistics fail,G004,0,0,0,0,0,"",,parameter_not_evaluated,0,0.17287104064678,0.178254601458465,0.0053835608116852,0.969798474941981,55f691362f90dee8dc3a7d00b73fd6ec79b4ccfb93e52b785f580e0d83c1f0ae,4d1e6054e8ed31b5fe6f8f21efd3fbac73e154450346d5a1af8cbe057a44b3fb,ed371b94bcae331c1fe84abdc22c7ebda20749dc59d75964016e83209b03cbaf
r_pilot_G004_interior_01,Stage4A5_1_M3_frozen_adapter_R1,equivalence_class,equivalence_class,"G004,G007","G004,G007",best observation class has multiple members,G007,2,2,2,0,1,"parameter_in_domain,parameter_in_domain",all accepted members support in-domain,parameter_in_domain,0,0.0922374084677368,0.103159500006618,0.010922091538881,0.894124229575808,55f691362f90dee8dc3a7d00b73fd6ec79b4ccfb93e52b785f580e0d83c1f0ae,4d1e6054e8ed31b5fe6f8f21efd3fbac73e154450346d5a1af8cbe057a44b3fb,ed371b94bcae331c1fe84abdc22c7ebda20749dc59d75964016e83209b03cbaf
r_pilot_G004_boundary_01,Stage4A5_1_M3_frozen_adapter_R1,equivalence_class,equivalence_class,"G004,G007","G004,G007",best observation class has multiple members,G004,2,2,0,2,0,"parameter_domain_indeterminate,parameter_domain_indeterminate",at least one accepted member has unreliable profile,parameter_domain_indeterminate,0,0.0295008158064958,0.0529613843110173,0.0234605685045215,0.557025013407775,55f691362f90dee8dc3a7d00b73fd6ec79b4ccfb93e52b785f580e0d83c1f0ae,4d1e6054e8ed31b5fe6f8f21efd3fbac73e154450346d5a1af8cbe057a44b3fb,ed371b94bcae331c1fe84abdc22c7ebda20749dc59d75964016e83209b03cbaf
r_pilot_G004_source_impedance_ohm_near_upper_01,Stage4A5_1_M3_frozen_adapter_R1,equivalence_class,equivalence_class,"G004,G007","G004,G007",best observation class has multiple members,G007,2,2,0,2,0,"parameter_domain_indeterminate,parameter_domain_indeterminate",at least one accepted member has unreliable profile,parameter_domain_indeterminate,0,0.0486106267830848,0.0679612555356664,0.0193506287525816,0.715269698878039,55f691362f90dee8dc3a7d00b73fd6ec79b4ccfb93e52b785f580e0d83c1f0ae,4d1e6054e8ed31b5fe6f8f21efd3fbac73e154450346d5a1af8cbe057a44b3fb,ed371b94bcae331c1fe84abdc22c7ebda20749dc59d75964016e83209b03cbaf
r_pilot_G004_receiver_impedance_ohm_medium_lower_02,Stage4A5_1_M3_frozen_adapter_R1,reject_neighborhood_mismatch,reject_neighborhood_mismatch,"","",top-K neighborhood score or margin fails,G004,0,0,0,0,0,"",,parameter_not_evaluated,0,0.120455134053313,0.125541110580703,0.00508597652739046,0.959487561446412,55f691362f90dee8dc3a7d00b73fd6ec79b4ccfb93e52b785f580e0d83c1f0ae,4d1e6054e8ed31b5fe6f8f21efd3fbac73e154450346d5a1af8cbe057a44b3fb,ed371b94bcae331c1fe84abdc22c7ebda20749dc59d75964016e83209b03cbaf
r_pilot_G004_main_length_scale_far_upper_03,Stage4A5_1_M3_frozen_adapter_R1,reject_model_mismatch,reject_model_mismatch,"","",best full-band residual exceeds calibration threshold,G004,0,0,0,0,0,"",,parameter_not_evaluated,0,0.27338082610283,0.276035531219952,0.00265470511712229,0.990382741285587,55f691362f90dee8dc3a7d00b73fd6ec79b4ccfb93e52b785f580e0d83c1f0ae,4d1e6054e8ed31b5fe6f8f21efd3fbac73e154450346d5a1af8cbe057a44b3fb,ed371b94bcae331c1fe84abdc22c7ebda20749dc59d75964016e83209b03cbaf
