method_id,in_domain_acceptance,medium_far_ood_false_acceptance,threshold,near_boundary_threshold,gate_pass,selected_for_execution,scientifically_unique_winner,selection_status,tied_methods,domain_calibration_hash,selection_rule_id,selection_rule_version,acceptance_floor,eligible_method_count,primary_objective,tie_break_rule,selection_split,pilot_used_for_selection,canonical_rule_a_selected_method,strict_lexicographic_rule_b_selected_method,stage,git_head_at_run,git_branch_at_run,git_dirty_at_run,canonical_eligible,source_inventory_count,source_inventory_tracked_only,source_tree_hash,configuration_hash,matlab_version,platform,computer_arch,use_parallel,worker_count,run_command,start_time_utc,runtime_environment_hash,experiment_hash,end_time_utc,runtime_s,canonical_domain_calibration_hash,frozen_topology_experiment_hash,frozen_topology_calibration_hash,canonical_execution_method
profile_min_distance,0.954022988505747,0.840996168582375,0.0564853173821596,0.0380882072379534,1,0,0,deterministic_execution_fallback_no_statistical_comparison,profile_relative_distance,a936133a6c2a06aa1520255b51500fb019b2d848eb81f529ec34f5b43a50fb0e,domain_gate_then_ood_v1,1.0,0.9,2,development_medium_far_ood_false_acceptance_after_acceptance_gate,stable_predeclared_method_order,development,0,profile_relative_distance,profile_min_distance,Stage 4A.7.3,54868370cc6c426f417681146caace79de782e91,(detached),0,1,411,1,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1_1(pwd,'formal')",2026-09-09T14:35:43.307Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,2026-09-09T14:40:02.187Z,259.009806,0829042b4eaa7f045282fbc9fe08c209fd5c7d2b1197539791792966f906954c,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,profile_relative_distance
profile_relative_distance,0.950191570881226,0.517241379310345,0.110340450651554,0.104446064804368,1,1,0,deterministic_execution_fallback_no_statistical_comparison,profile_relative_distance,0829042b4eaa7f045282fbc9fe08c209fd5c7d2b1197539791792966f906954c,domain_gate_then_ood_v1,1.0,0.9,2,development_medium_far_ood_false_acceptance_after_acceptance_gate,stable_predeclared_method_order,development,0,profile_relative_distance,profile_min_distance,Stage 4A.7.3,54868370cc6c426f417681146caace79de782e91,(detached),0,1,411,1,5d45c12526dc205642d9cf9cb3e8be34605f529179904872fda52e75396dc353,5b3c9a914e70cd1472a611ad784ca51d2af269f307ec4c3c53cc40c7f4d2931b,24.1.0.2537033 (R2024a),GLNXA64,glnxa64,0,1,"run_stage4_freeze_r1_1(pwd,'formal')",2026-09-09T14:35:43.307Z,8313f3a14914316354fa22dbe4ec3d546eb572e0092c5305b62000dfdd90c16f,c2d0af7d0e3c27645cb195528b00ed9cf9844838d9e6eb543da1588eb888cc96,2026-09-09T14:40:02.187Z,259.009806,0829042b4eaa7f045282fbc9fe08c209fd5c7d2b1197539791792966f906954c,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,profile_relative_distance
