category,metric_id,numerator,denominator,rate,ci_low,ci_high,evaluable_count,mean_set_size,median_set_size,experiment_hash,calibration_hash
parameter_ood_near,topology_selective_risk,40,172,0.232558139534884,0.175686091040351,0.301115337831935,172,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
parameter_ood_near,singleton_rate,66,174,0.379310344827586,0.310557077569304,0.453277518263911,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
parameter_ood_near,empty_set_rate,2,174,0.0114942528735632,0.00315781918756732,0.0409345925183002,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
parameter_ood_near,mean_set_size,661,174,3.79885057471264,NaN,NaN,174,3.79885057471264,3,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
parameter_ood_medium,truth_set_coverage,19,174,0.109195402298851,0.0710282133882503,0.164245715976444,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
parameter_ood_medium,topology_acceptance_coverage,169,174,0.971264367816092,0.934504963238226,0.987664710174938,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
parameter_ood_medium,topology_selective_risk,150,169,0.887573964497041,0.83108530677051,0.926834702085117,169,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
parameter_ood_medium,singleton_rate,108,174,0.620689655172414,0.546722481736089,0.689442922430697,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
parameter_ood_medium,empty_set_rate,5,174,0.028735632183908,0.0123352898250625,0.0654950367617743,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
parameter_ood_medium,mean_set_size,348,174,2,NaN,NaN,174,2,1,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
parameter_ood_far,truth_set_coverage,4,174,0.0229885057471264,0.00897525097601321,0.0576091039838339,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
parameter_ood_far,topology_acceptance_coverage,153,174,0.879310344827586,0.822542886647248,0.919691240734078,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
parameter_ood_far,topology_selective_risk,149,153,0.973856209150327,0.934713194328121,0.989787260400296,153,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
parameter_ood_far,singleton_rate,137,174,0.78735632183908,0.720692573066831,0.841606008282658,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
parameter_ood_far,empty_set_rate,21,174,0.120689655172414,0.0803087592659219,0.177457113352752,174,NaN,NaN,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
parameter_ood_far,mean_set_size,173,174,0.994252873563218,NaN,NaN,174,0.994252873563218,1,de05941146c716efe7ff064e27b897c3591f4cdac901f8e8a1c750632ec275b5,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
