split,scenario,scheme,flow,budget,n,truth_in_library_n,correct_unique_k,false_unique_k,truth_covered_k,mean_set_size,rejected_k,ambiguous_k,low_confidence_k,truth_generated_k,truth_pruned_k,library_out_n,library_out_nonempty_k,library_out_false_unique_k,domain_out_n,domain_out_accepted_k,correct_unique_low,correct_unique_high,false_unique_low,false_unique_high,library_out_false_unique_low,library_out_false_unique_high
T,DOUBLE_M3,H50_Zin50,A,0,30,0,0,0,0,0,30,0,0,0,30,30,0,0,0,0,0,0.113513393173968,0,0.113513393173968,0,0.113513393173968
T,DOUBLE_M3,H50_Zin50,B,0,30,0,0,0,0,1,30,0,0,0,30,30,30,0,0,0,0,0.113513393173968,0,0.113513393173968,0,0.113513393173968
T,DOUBLE_M3,H50_Zin50,C,10,30,0,30,0,0,1,0,0,0,30,0,30,30,0,0,0,0.886486606826032,1,0,0.113513393173968,0,0.113513393173968
T,DOUBLE_M3,H50,A,0,30,0,0,0,0,0,30,0,0,0,30,30,0,0,0,0,0,0.113513393173968,0,0.113513393173968,0,0.113513393173968
T,DOUBLE_M3,H50,B,0,30,0,0,0,0,1,30,0,0,0,30,30,30,0,0,0,0,0.113513393173968,0,0.113513393173968,0,0.113513393173968
T,DOUBLE_M3,H50,C,10,30,0,0,0,0,1.83333333333333,0,25,5,30,0,30,30,0,0,0,0,0.113513393173968,0,0.113513393173968,0,0.113513393173968
T,DOUBLE_M3,Zin50,A,0,30,0,0,0,0,0,30,0,0,0,30,30,0,0,0,0,0,0.113513393173968,0,0.113513393173968,0,0.113513393173968
T,DOUBLE_M3,Zin50,B,0,30,0,0,0,0,1,30,0,0,0,30,30,30,0,0,0,0,0.113513393173968,0,0.113513393173968,0,0.113513393173968
T,DOUBLE_M3,Zin50,C,10,30,0,27,0,0,1,3,0,0,30,0,30,30,0,0,0,0.74378917420816,0.965400111252666,0,0.113513393173968,0,0.113513393173968
T,G001,H50_Zin50,A,0,30,30,27,0,30,1,3,0,0,0,0,0,0,0,0,0,0.74378917420816,0.965400111252666,0,0.113513393173968,NaN,NaN
T,G001,H50_Zin50,B,0,30,30,25,0,30,1,5,0,0,0,0,0,0,0,0,0,0.66435649493584,0.926634576281514,0,0.113513393173968,NaN,NaN
T,G001,H50_Zin50,C,10,30,30,25,0,30,1,5,0,0,0,0,0,0,0,0,0,0.66435649493584,0.926634576281514,0,0.113513393173968,NaN,NaN
T,G001,H50,A,0,30,30,22,0,28,0.933333333333333,8,0,0,0,0,0,0,0,0,0,0.555520383048111,0.858173366804037,0,0.113513393173968,NaN,NaN
T,G001,H50,B,0,30,30,27,0,30,1,3,0,0,0,0,0,0,0,0,0,0.74378917420816,0.965400111252666,0,0.113513393173968,NaN,NaN
T,G001,H50,C,10,30,30,27,0,30,1,3,0,0,0,0,0,0,0,0,0,0.74378917420816,0.965400111252666,0,0.113513393173968,NaN,NaN
T,G001,Zin50,A,0,30,30,29,0,30,1,1,0,0,0,0,0,0,0,0,0,0.833296090085909,0.994091409618388,0,0.113513393173968,NaN,NaN
T,G001,Zin50,B,0,30,30,28,0,30,1,2,0,0,0,0,0,0,0,0,0,0.786765416373831,0.98152297620873,0,0.113513393173968,NaN,NaN
T,G001,Zin50,C,10,30,30,28,0,30,1,2,0,0,0,0,0,0,0,0,0,0.786765416373831,0.98152297620873,0,0.113513393173968,NaN,NaN
T,G002,H50_Zin50,A,0,30,30,30,0,30,1,0,0,0,0,0,0,0,0,0,0,0.886486606826032,1,0,0.113513393173968,NaN,NaN
T,G002,H50_Zin50,B,0,30,30,30,0,30,1,0,0,0,0,0,0,0,0,0,0,0.886486606826032,1,0,0.113513393173968,NaN,NaN
T,G002,H50_Zin50,C,10,30,30,30,0,30,1,0,0,0,0,0,0,0,0,0,0,0.886486606826032,1,0,0.113513393173968,NaN,NaN
T,G002,H50,A,0,30,30,11,0,30,1,0,0,19,0,0,0,0,0,0,0,0.218739208061007,0.544864363452051,0,0.113513393173968,NaN,NaN
T,G002,H50,B,0,30,30,18,0,30,1,0,0,12,0,0,0,0,0,0,0,0.423203602533225,0.754093718831981,0,0.113513393173968,NaN,NaN
T,G002,H50,C,10,30,30,0,0,30,1,0,0,30,0,0,0,0,0,0,0,0,0.113513393173968,0,0.113513393173968,NaN,NaN
T,G002,Zin50,A,0,30,30,29,0,29,0.966666666666667,1,0,0,0,0,0,0,0,0,0,0.833296090085909,0.994091409618388,0,0.113513393173968,NaN,NaN
T,G002,Zin50,B,0,30,30,30,0,30,1,0,0,0,0,0,0,0,0,0,0,0.886486606826032,1,0,0.113513393173968,NaN,NaN
T,G002,Zin50,C,10,30,30,30,0,30,1,0,0,0,0,0,0,0,0,0,0,0.886486606826032,1,0,0.113513393173968,NaN,NaN
T,G003,H50_Zin50,A,0,30,30,25,0,25,0.833333333333333,5,0,0,0,0,0,0,0,0,0,0.66435649493584,0.926634576281514,0,0.113513393173968,NaN,NaN
T,G003,H50_Zin50,B,0,30,30,30,0,30,1,0,0,0,0,0,0,0,0,0,0,0.886486606826032,1,0,0.113513393173968,NaN,NaN
T,G003,H50_Zin50,C,10,30,30,30,0,30,1,0,0,0,0,0,0,0,0,0,0,0.886486606826032,1,0,0.113513393173968,NaN,NaN
T,G003,H50,A,0,30,30,13,0,29,0.966666666666667,1,0,16,0,0,0,0,0,0,0,0.273774855764666,0.608026929991864,0,0.113513393173968,NaN,NaN
