scheme,flow,truth_id,best_candidate,candidate_set,set_size,state,reason,noise_seed,correct_unique,false_unique,distance_1,distance_2,margin,fit_statistic,fit_threshold
H50,A,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100009,0,0,0.922629577546833,0.922629668082556,9.05357224745273e-08,0.922629577546833,1.11179756541896
H50,B,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100009,0,0,0.917844113041093,0.917844272849054,1.59807960975478e-07,0.950472172928082,1.19784377785704
H50,C_control,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100009,0,0,0.917844113041093,0.917844272849054,1.59807960975478e-07,0.950472172928082,1.19784377785704
H50,A,T3,T4_NEAR_T3,T3;T5,2,MULTIPLE_AMBIGUOUS,multiple_candidates,209100010,0,0,1.10588521629253,1.10588521796712,1.67459757172139e-09,1.10588521629253,1.11179756541896
H50,B,T3,T5,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100010,0,0,1.20557831716059,1.20557831716059,1.11022302462516e-15,0.870674898065275,1.19784377785704
H50,C_control,T3,T5,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100010,0,0,1.20557831716059,1.20557831716059,1.11022302462516e-15,0.870674898065275,1.19784377785704
H50,A,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100011,0,0,0.848821892497876,0.848822107523677,2.15025801164614e-07,0.848821892497876,1.11179756541896
H50,B,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100011,0,0,0.863039079321699,0.863039388262085,3.08940386828382e-07,0.820174050808128,1.19784377785704
H50,C_control,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100011,0,0,0.863039079321699,0.863039388262085,3.08940386828382e-07,0.820174050808128,1.19784377785704
H50,A,T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100012,0,0,1.05265528484894,1.05265528484895,2.44249065417534e-15,1.05265528484894,1.11179756541896
H50,B,T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100012,0,0,1.0709745025773,1.0709745025773,1.77635683940025e-15,1.01983937641205,1.19784377785704
H50,C_control,T3,T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100012,0,0,1.0709745025773,1.0709745025773,1.77635683940025e-15,1.01983937641205,1.19784377785704
H50,A,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100013,0,0,0.962264363952399,0.962264405599679,4.1647280402124e-08,0.962264363952399,1.11179756541896
H50,B,T3,T5,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100013,0,0,0.935885447084784,0.935885447084785,3.33066907387547e-16,1.01753679055242,1.19784377785704
H50,C_control,T3,T5,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100013,0,0,0.935885447084784,0.935885447084785,3.33066907387547e-16,1.01753679055242,1.19784377785704
H50,A,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100014,0,0,0.959303646052018,0.959303924489221,2.78437203182769e-07,0.959303646052018,1.11179756541896
H50,B,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100014,0,0,0.978294647762302,0.978294873738923,2.25976620082946e-07,0.929860500227602,1.19784377785704
H50,C_control,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100014,0,0,0.978294647762302,0.978294873738923,2.25976620082946e-07,0.929860500227602,1.19784377785704
H50,A,T3,T4_NEAR_T3,T3;T5,2,REJECTED,fit_quality_gate,209100015,0,0,1.13185258451208,1.13185269288715,1.08375077578771e-07,1.13185258451208,1.11179756541896
H50,B,T3,T5,T3;T4_NEAR_T3;T5,3,REJECTED,fit_quality_gate,209100015,0,0,1.04846682946739,1.04846682946739,6.66133814775094e-16,1.29263944678464,1.19784377785704
H50,C_control,T3,T5,T3;T4_NEAR_T3;T5,3,REJECTED,fit_quality_gate,209100015,0,0,1.04846682946739,1.04846682946739,6.66133814775094e-16,1.29263944678464,1.19784377785704
H50,A,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100016,0,0,0.908707830252618,0.908708101413047,2.71160428999551e-07,0.908707830252618,1.11179756541896
H50,B,T3,T4_NEAR_T3,T4_NEAR_T3,1,LOW_CONFIDENCE,insufficient_unique_margin,209100016,0,0,0.905705163262403,0.905705556125989,3.92863585552128e-07,0.945692016421678,1.19784377785704
H50,C_control,T3,T4_NEAR_T3,T4_NEAR_T3,1,LOW_CONFIDENCE,insufficient_unique_margin,209100016,0,0,0.905705163262403,0.905705556125989,3.92863585552128e-07,0.945692016421678,1.19784377785704
H50,A,T3,T4_NEAR_T3,,0,REJECTED,fit_quality_gate,209100017,0,0,1.2017459059312,1.20174595279721,4.68660119601338e-08,1.2017459059312,1.11179756541896
H50,B,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,REJECTED,fit_quality_gate,209100017,0,0,1.14603312201301,1.14603321418569,9.21726812652679e-08,1.32829126413614,1.19784377785704
H50,C_control,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,REJECTED,fit_quality_gate,209100017,0,0,1.14603312201301,1.14603321418569,9.21726812652679e-08,1.32829126413614,1.19784377785704
H50,A,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100018,0,0,1.04033654011644,1.04033667501565,1.34899210690875e-07,1.04033654011644,1.11179756541896
H50,B,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100018,0,0,1.09636417005372,1.09636440919604,2.39142321056818e-07,0.917498242211017,1.19784377785704
H50,C_control,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100018,0,0,1.09636417005372,1.09636440919604,2.39142321056818e-07,0.917498242211017,1.19784377785704
H50,A,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100019,0,0,1.03909708252445,1.03909723412858,1.51604131914951e-07,1.03909708252445,1.11179756541896
H50,B,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100019,0,0,1.04434745828617,1.0443476198697,1.61583537217069e-07,1.0795044270582,1.19784377785704
H50,C_control,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100019,0,0,1.04434745828617,1.0443476198697,1.61583537217069e-07,1.0795044270582,1.19784377785704
H50,A,T3,T4_NEAR_T3,T3;T4_NEAR_T3;T5,3,MULTIPLE_AMBIGUOUS,multiple_candidates,209100020,0,0,0.986024698755689,0.986024929974666,2.31218976853853e-07,0.986024698755689,1.11179756541896
H50,B,T3,T4_NEAR_T3,T4_NEAR_T3,1,LOW_CONFIDENCE,insufficient_unique_margin,209100020,0,0,1.01864212968754,1.01864245720768,3.27520139231652e-07,0.932839807891278,1.19784377785704
H50,C_control,T3,T4_NEAR_T3,T4_NEAR_T3,1,LOW_CONFIDENCE,insufficient_unique_margin,209100020,0,0,1.01864212968754,1.01864245720768,3.27520139231652e-07,0.932839807891278,1.19784377785704
