split,seed_base,repetitions_per_topology,topology_scope
E,101000000,20,G001;G002;G003
A,102000000,50,G001;G002;G003
F,103000000,50,G001;G002;G003
D,104000000,20,base+development
T,105000000,30,G001;G002;G003;MIRROR_M3;ADD_M1_M3;ADD_M2_M3;DOUBLE_M3
T_domain,155000000,30,G002;G003
control_E,106000000,20,T3;T4_NEAR_T3;T5
control_A,107000000,50,T3;T4_NEAR_T3;T5
control_F,108000000,50,T3;T4_NEAR_T3;T5
control_T,109000000,30,T3;T4_NEAR_T3;T5
