scheme,flow,truth_id,candidate_id,rank,distance,in_candidate_set,state
H50,C_control,T3,T5,1,0.883028709983147,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,2,0.922629668082556,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,0.922629577546833,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,3,0.922629668082556,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,3,0.917844272849056,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,1,0.917844113041093,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,2,0.917844272849054,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,3,0.917844272849056,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,1,0.917844113041093,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,2,0.917844272849054,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,2,1.10588521796712,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,1.10588521629253,0,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,3,1.10588521796713,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,2,1.20557831716059,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,3,1.20557851888631,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,1,1.20557831716059,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,2,1.20557831716059,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,3,1.20557851888631,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,1,1.20557831716059,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,2,0.848822107523677,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,0.848821892497876,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,3,0.848822107523679,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,3,0.863039388262087,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,1,0.863039079321699,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,2,0.863039388262085,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,3,0.863039388262087,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,1,0.863039079321699,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,2,0.863039388262085,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,1,1.05265528484894,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,3,1.05265541115242,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,2,1.05265528484895,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,1,1.0709745025773,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,3,1.07097468527458,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,2,1.0709745025773,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,1,1.0709745025773,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,3,1.07097468527458,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,2,1.0709745025773,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,2,0.962264405599679,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,0.962264363952399,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,3,0.962264405599685,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,2,0.935885447084785,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,3,0.935885454659821,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,1,0.935885447084784,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,2,0.935885447084785,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,3,0.935885454659821,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,1,0.935885447084784,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,2,0.959303924489221,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,0.959303646052018,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,3,0.959303924489224,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,2,0.978294873738923,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,1,0.978294647762302,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,3,0.978294873738924,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,2,0.978294873738923,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,1,0.978294647762302,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,3,0.978294873738924,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,2,1.13185269288715,1,REJECTED
H50,A,T3,T4_NEAR_T3,1,1.13185258451208,0,REJECTED
H50,A,T3,T5,3,1.13185269288715,1,REJECTED
H50,B,T3,T3,2,1.04846682946739,1,REJECTED
H50,B,T3,T4_NEAR_T3,3,1.04846691904501,1,REJECTED
H50,B,T3,T5,1,1.04846682946739,1,REJECTED
H50,C_control,T3,T3,2,1.04846682946739,1,REJECTED
H50,C_control,T3,T4_NEAR_T3,3,1.04846691904501,1,REJECTED
H50,C_control,T3,T5,1,1.04846682946739,1,REJECTED
H50,A,T3,T3,3,0.908708101413047,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,0.908707830252618,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,2,0.908708101413047,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,2,0.905705556125989,0,LOW_CONFIDENCE
H50,B,T3,T4_NEAR_T3,1,0.905705163262403,1,LOW_CONFIDENCE
H50,B,T3,T5,2,0.905705556125989,0,LOW_CONFIDENCE
H50,C_control,T3,T3,2,0.905705556125989,0,LOW_CONFIDENCE
H50,C_control,T3,T4_NEAR_T3,1,0.905705163262403,1,LOW_CONFIDENCE
H50,C_control,T3,T5,2,0.905705556125989,0,LOW_CONFIDENCE
H50,A,T3,T3,2,1.20174595279721,0,REJECTED
H50,A,T3,T4_NEAR_T3,1,1.2017459059312,0,REJECTED
H50,A,T3,T5,3,1.20174595279721,0,REJECTED
H50,B,T3,T3,3,1.1460332141857,1,REJECTED
H50,B,T3,T4_NEAR_T3,1,1.14603312201301,1,REJECTED
H50,B,T3,T5,2,1.14603321418569,1,REJECTED
H50,C_control,T3,T3,3,1.1460332141857,1,REJECTED
H50,C_control,T3,T4_NEAR_T3,1,1.14603312201301,1,REJECTED
H50,C_control,T3,T5,2,1.14603321418569,1,REJECTED
H50,A,T3,T3,3,1.04033667501565,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,1.04033654011644,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,2,1.04033667501565,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,2,1.09636440919604,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,1,1.09636417005372,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,3,1.09636440919604,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,2,1.09636440919604,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,1,1.09636417005372,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,3,1.09636440919604,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,3,1.03909723412859,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,1.03909708252445,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,2,1.03909723412858,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,3,1.04434761986971,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T4_NEAR_T3,1,1.04434745828617,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T5,2,1.0443476198697,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T3,3,1.04434761986971,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T4_NEAR_T3,1,1.04434745828617,1,MULTIPLE_AMBIGUOUS
H50,C_control,T3,T5,2,1.0443476198697,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T3,3,0.986024929974671,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,0.986024698755689,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,2,0.986024929974666,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,2,1.01864245720768,0,LOW_CONFIDENCE
H50,B,T3,T4_NEAR_T3,1,1.01864212968754,1,LOW_CONFIDENCE
H50,B,T3,T5,3,1.01864245720769,0,LOW_CONFIDENCE
H50,C_control,T3,T3,2,1.01864245720768,0,LOW_CONFIDENCE
H50,C_control,T3,T4_NEAR_T3,1,1.01864212968754,1,LOW_CONFIDENCE
H50,C_control,T3,T5,3,1.01864245720769,0,LOW_CONFIDENCE
H50,A,T3,T3,2,1.02470310888535,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T4_NEAR_T3,1,1.0247030351974,1,MULTIPLE_AMBIGUOUS
H50,A,T3,T5,3,1.02470310888535,1,MULTIPLE_AMBIGUOUS
H50,B,T3,T3,2,0.984335374939582,1,MULTIPLE_AMBIGUOUS
