main_scale,load_scale,max_complex_h_difference,relative_rms_h_difference,max_complex_zin_difference,relative_rms_zin_difference
0.98,0.8,1.47522907955259e-16,3.19719809641932e-16,1205.35927640588,1.06399087931435
1,1,1.24126707662364e-16,3.16866468692232e-16,905.573344404144,0.987725319805126
1.02,1.2,2.8977671675841e-16,4.03144532002248e-16,882.25645298047,0.939320007258897
