run_budget,scheme,flow,split,n,correct_unique_k,correct_unique_low95,correct_unique_high95,false_unique_k,false_unique_low95,false_unique_high95,rejected_k,rejected_low95,rejected_high95,ambiguous_k,ambiguous_low95,ambiguous_high95,low_confidence_k,low_confidence_low95,low_confidence_high95,generated_k,generated_low95,generated_high95,not_generated_k,not_generated_low95,not_generated_high95,pruned_k,pruned_low95,pruned_high95,active_k,active_low95,active_high95,truth_in_set_k,truth_in_set_low95,truth_in_set_high95,nonempty_set_k,nonempty_set_low95,nonempty_set_high95,fit_pass_k,fit_pass_low95,fit_pass_high95,truncated_k,truncated_low95,truncated_high95,mean_set_size,mean_candidate_count,mean_profile_evaluations,mean_optimizer_evaluations,mean_forward_calls,mean_wall_clock_s
10,H50,B,T_domain,20,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,20,0.8388748419471806,1.0,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,20,0.8388748419471806,1.0,20,0.8388748419471806,1.0,20,0.8388748419471806,1.0,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,1.0,3.0,3.0,216.0,217.0,0.06084395
10,H50,B,T_grammar_out,20,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,20,0.8388748419471806,1.0,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,20,0.8388748419471806,1.0,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,1.0,3.0,3.0,131.1,132.1,0.038384800000000004
10,H50,B,T_inlib,60,41,0.5576623297382323,0.7869413244763347,0,0.0,0.06017185214208986,1,0.0029481597947862495,0.08855129727590061,0,0.0,0.06017185214208986,18,0.19898166138769108,0.42508707946914487,0,0.0,0.06017185214208986,0,0.0,0.06017185214208986,0,0.0,0.06017185214208986,60,0.93982814785791,0.9999999999999998,60,0.93982814785791,0.9999999999999998,60,0.93982814785791,0.9999999999999998,59,0.9114487027240993,0.9970518402052136,0,0.0,0.06017185214208986,1.0,3.0,3.0,119.78333333333333,120.78333333333333,0.036002533333333336
10,H50,B,T_old_out,40,0,0.0,0.08762160119728664,5,0.05459500250945401,0.261121198388511,30,0.5980603857923197,0.858128813609037,0,0.0,0.08762160119728664,5,0.05459500250945401,0.261121198388511,0,0.0,0.08762160119728664,40,0.9123783988027135,1.0000000000000002,0,0.0,0.08762160119728664,0,0.0,0.08762160119728664,0,0.0,0.08762160119728664,40,0.9123783988027135,1.0000000000000002,10,0.14187118639096302,0.40193961420768026,0,0.0,0.08762160119728664,1.0,3.0,3.0,112.875,113.875,0.0328747
10,H50,B,T_reachable,20,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,20,0.8388748419471806,1.0,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,20,0.8388748419471806,1.0,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,20,0.8388748419471806,1.0,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,1.0,3.0,3.0,133.3,134.3,0.03952535
10,H50,C,T_domain,20,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,20,0.8388748419471806,1.0,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,20,0.8388748419471806,1.0,0,0.0,0.16112515805281938,20,0.8388748419471806,1.0,0,0.0,0.16112515805281938,20,0.8388748419471806,1.0,1.1,10.0,22.0,1584.0,1585.0,0.51599215
10,H50,C,T_grammar_out,20,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,20,0.8388748419471806,1.0,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,20,0.8388748419471806,1.0,0,0.0,0.16112515805281938,20,0.8388748419471806,1.0,1.45,10.0,22.0,950.55,951.55,0.31275505
10,H50,C,T_inlib,60,19,0.21305867552366523,0.44233767026176773,0,0.0,0.06017185214208986,1,0.0029481597947862495,0.08855129727590061,15,0.15776522530056675,0.37232070077047824,25,0.30064278558341617,0.5427191897735989,0,0.0,0.06017185214208986,0,0.0,0.06017185214208986,0,0.0,0.06017185214208986,60,0.93982814785791,0.9999999999999998,56,0.8407464268680283,0.9737713012754938,60,0.93982814785791,0.9999999999999998,59,0.9114487027240993,0.9970518402052136,40,0.5405686645211968,0.7727073847647731,1.25,10.0,21.333333333333332,864.2333333333333,865.2333333333333,0.29164755000000003
10,H50,C,T_old_out,40,0,0.0,0.08762160119728664,0,0.0,0.08762160119728664,0,0.0,0.08762160119728664,14,0.2213452887317629,0.5049411916274231,26,0.49505880837257693,0.7786547112682372,30,0.5980603857923197,0.858128813609037,10,0.14187118639096302,0.40193961420768026,0,0.0,0.08762160119728664,30,0.5980603857923197,0.858128813609037,27,0.5201774618987768,0.799154977682173,40,0.9123783988027135,1.0000000000000002,40,0.9123783988027135,1.0000000000000002,40,0.9123783988027135,1.0000000000000002,1.35,10.0,22.0,786.85,787.85,0.26162467500000003
10,H50,C,T_reachable,20,0,0.0,0.16112515805281938,0,0.0,0.16112515805281938,17,0.6395811352592431,0.9476312541037835,0,0.0,0.16112515805281938,3,0.052368745896216595,0.36041886474075696,3,0.052368745896216595,0.36041886474075696,17,0.6395811352592431,0.9476312541037835,0,0.0,0.16112515805281938,3,0.052368745896216595,0.36041886474075696,3,0.052368745896216595,0.36041886474075696,20,0.8388748419471806,1.0,3,0.052368745896216595,0.36041886474075696,20,0.8388748419471806,1.0,1.35,10.0,22.0,850.45,851.45,0.2802714
