scenario,candidate_count,candidate_gap,margin,entropy,top1_confidence,decision_state,maximum_pairwise_distance,distance_matrix,construction,normalized_score_semantics
two_topology_T3_T5,2,9.34024024938993e-17,9.34024024938993e-17,1,0.500000000000029,MULTIPLE_AMBIGUOUS,9.34024024938993e-17,"0,9.340240249389929e-17;9.340240249389929e-17,0",matched-end SISO mirror-equivalent T3/T5,not_a_Bayesian_posterior
three_topology_close,3,6.95745272613649e-08,9.34024024938993e-17,0.99999999925336,0.333342880061715,MULTIPLE_AMBIGUOUS,6.95745272671196e-08,"0,9.340240249389929e-17,6.957452726136492e-08;9.340240249389929e-17,0,6.957452726711963e-08;6.957452726136492e-08,6.957452726711963e-08,0",T3/T5 plus T4 with a near-electrically-invisible extra branch,not_a_Bayesian_posterior
