scale_id,replicate,candidate_number,scoring_time_s,decision_state,false_unique,distance,margin,confidence,entropy
small,1,3,0.000468,UNIQUE_CONFIDENT,0,0.0850162370145626,0.0560646035431495,0.77833720869412,0.564172620813267
small,2,3,0.00032,UNIQUE_CONFIDENT,0,0.0522277763348495,0.0771034769714158,0.853279762195225,0.439003077483061
small,3,3,0.00027,UNIQUE_CONFIDENT,0,0.033656696429324,0.0956667204215491,0.903194784943912,0.327971785464652
small,4,3,0.00026,UNIQUE_CONFIDENT,0,0.0689254453486973,0.0694511395541291,0.828465485945164,0.48523710205132
small,5,3,0.000317,UNIQUE_CONFIDENT,0,0.0583928650973138,0.0753379567560671,0.849021619065559,0.445408269997093
small,6,3,0.000315,UNIQUE_CONFIDENT,0,0.0336729147651694,0.0955342845694463,0.902081553264118,0.331815179254254
small,7,3,0.000261,UNIQUE_CONFIDENT,0,0.0811000922829145,0.0614029346355282,0.800366784040866,0.529921504472995
small,8,3,0.000252,UNIQUE_CONFIDENT,0,0.0733082933221641,0.0664861855911416,0.817388327688137,0.505470058238386
small,9,3,0.000241,UNIQUE_CONFIDENT,0,0.050267216301495,0.0800016974453385,0.861798322047272,0.422166547226067
small,10,3,0.000229,UNIQUE_CONFIDENT,0,0.0380869944484031,0.0907496443464096,0.891900155112938,0.354683778916583
medium,1,7,0.000439,UNIQUE_CONFIDENT,0,0.0850162370145626,0.0560646035431495,0.461619475283139,0.82507132859626
medium,2,7,0.000404,UNIQUE_CONFIDENT,0,0.0522277763348495,0.0771034769714158,0.608745951769703,0.686768409046828
medium,3,7,0.000376,UNIQUE_CONFIDENT,0,0.033656696429324,0.0956667204215491,0.70716003516048,0.567077239162763
medium,4,7,0.000366,UNIQUE_CONFIDENT,0,0.0689254453486973,0.0694511395541291,0.551729204218943,0.746348397657098
medium,5,7,0.000364,UNIQUE_CONFIDENT,0,0.0583928650973138,0.0753379567560671,0.585523018651601,0.71120887994869
medium,6,7,0.000357,UNIQUE_CONFIDENT,0,0.0336729147651694,0.0955342845694463,0.702504594294098,0.573830824167361
medium,7,7,0.000365,UNIQUE_CONFIDENT,0,0.0811000922829145,0.0614029346355282,0.490807398771863,0.800658259718546
medium,8,7,0.000373,UNIQUE_CONFIDENT,0,0.0733082933221641,0.0664861855911416,0.52965876319768,0.767978774783677
medium,9,7,0.000369,UNIQUE_CONFIDENT,0,0.050267216301495,0.0800016974453385,0.618021174054738,0.677182826862538
medium,10,7,0.000371,UNIQUE_CONFIDENT,0,0.0380869944484031,0.0907496443464096,0.682130973852556,0.59955689395924
large,1,23,0.001037,UNIQUE_CONFIDENT,0,0.0850162370145626,0.0292583210979312,0.764326839835354,0.314227560881564
large,2,23,0.001041,UNIQUE_CONFIDENT,0,0.0522277763348495,0.0462731724109629,0.924708146770253,0.120308170274817
large,3,23,0.000958,UNIQUE_CONFIDENT,0,0.033656696429324,0.0541334067236857,0.961084124173652,0.0657726658492968
large,4,23,0.000925,UNIQUE_CONFIDENT,0,0.0689254453486973,0.0365941642351634,0.866862992539853,0.189795572878935
large,5,23,0.000953,UNIQUE_CONFIDENT,0,0.0583928650973138,0.0375104393551057,0.885529790870213,0.160858184195577
large,6,23,0.000925,UNIQUE_CONFIDENT,0,0.0336729147651694,0.0523092356002945,0.957108843610694,0.070642823201564
large,7,23,0.00094,UNIQUE_CONFIDENT,0,0.0811000922829145,0.0271995914699059,0.776597472988798,0.282367592173286
large,8,23,0.00092,UNIQUE_CONFIDENT,0,0.0733082933221641,0.0355604033604623,0.851382893121906,0.211370249108596
large,9,23,0.000897,UNIQUE_CONFIDENT,0,0.050267216301495,0.0437539369841485,0.919281639135825,0.123646377360716
large,10,23,0.000888,UNIQUE_CONFIDENT,0,0.0380869944484031,0.05227839017316,0.954338273472824,0.0764348105402631
