sample,error_type,prior_error_rate,prior_error_applied,candidate_count,generation_time,coverage,false_unique,decision_state,best_is_truth,candidate_set_size,distance,margin,confidence,entropy
wrong_closed_rate_10_r08,wrong_closed,10,0,7,0.264442,1,0,REJECTED,1,0,0.0974995582937833,0.0525224418917091,0.451842247120973,0.831621307195603
wrong_closed_rate_10_r09,wrong_closed,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.035424998950832,0.0900421237196584,0.708881088055888,0.563814300687561
wrong_closed_rate_10_r10,wrong_closed,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0307624158240768,0.0931694478896556,0.730454222771961,0.534157044958261
wrong_closed_rate_10_r11,wrong_closed,10,0,7,0.264442,1,0,REJECTED,1,0,0.0840449233493547,0.0612634309601482,0.506393332707576,0.787886957176997
wrong_closed_rate_10_r12,wrong_closed,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.03292248684319,0.0917838402765016,0.720873979656763,0.547704190222935
wrong_closed_rate_10_r13,wrong_closed,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0672389024878531,0.0684065234486735,0.571920375548443,0.724005301813747
wrong_closed_rate_10_r14,wrong_closed,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.02832177469531,0.0998638491690946,0.75515209694701,0.499169986926152
wrong_closed_rate_10_r15,wrong_closed,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0455785815521886,0.0798022176270007,0.649966207410206,0.636803911581868
wrong_closed_rate_10_r16,wrong_closed,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0718991764258268,0.0650588581722849,0.5440293612673,0.752821459133048
wrong_closed_rate_10_r17,wrong_closed,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0281201589172857,0.0947536362371827,0.728744017510739,0.536368550433221
wrong_closed_rate_10_r18,wrong_closed,10,0,7,0.264442,1,0,REJECTED,1,0,0.0942625865314309,0.0509658139499927,0.458511214471666,0.827135458346467
wrong_closed_rate_10_r19,wrong_closed,10,0,7,0.264442,1,0,REJECTED,1,0,0.0908849964735227,0.0528824090617778,0.478192853428412,0.813467501197237
wrong_closed_rate_10_r20,wrong_closed,10,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0314977247400431,0.0962291050072076,0.737197075824177,0.524051115436941
wrong_closed_rate_20_r01,wrong_closed,20,1,3,0.01148,0,0,REJECTED,0,0,0.128095532823396,0.00558167198195242,0.43165997191949,0.967103257976473
wrong_closed_rate_20_r02,wrong_closed,20,1,3,0.01148,0,0,REJECTED,0,0,0.131495835730611,0.00876665719326539,0.455406118188406,0.960770011894807
wrong_closed_rate_20_r03,wrong_closed,20,1,3,0.01148,0,0,REJECTED,0,0,0.125793057699709,0.0112158865843258,0.479719797455789,0.948131337392645
wrong_closed_rate_20_r04,wrong_closed,20,1,3,0.01148,0,0,REJECTED,0,0,0.135075231071437,0.00717078126929802,0.438998770886674,0.968407511921811
wrong_closed_rate_20_r05,wrong_closed,20,0,7,0.264442,1,0,LOW_CONFIDENCE,1,1,0.0775676569798691,0.0605896153042341,0.505529231258274,0.787438515987287
wrong_closed_rate_20_r06,wrong_closed,20,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0293327266549282,0.100301994138128,0.764394616994547,0.486443535841205
wrong_closed_rate_20_r07,wrong_closed,20,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0698838812703856,0.065575348409258,0.550260056126172,0.745576350458479
wrong_closed_rate_20_r08,wrong_closed,20,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0507315204001929,0.0793603179385891,0.632354928571394,0.657064766944535
wrong_closed_rate_20_r09,wrong_closed,20,0,7,0.264442,1,0,REJECTED,1,0,0.0890078134753309,0.0550026407197557,0.483753652064602,0.806869175568276
