parameter_error,sample_count,mean_distance,mean_relative_distance,mean_margin,mean_confidence,mean_entropy,unique_confident_count,multiple_ambiguous_count,low_confidence_count,rejected_count,false_unique_count
-20,10,0.373104931090206,1.22461914148552,3.56447601330967e-05,0.230452389311688,0.905980495008796,0,0,0,10,0
-10,10,0.363860657573334,1.21448693808605,2.77555756156289e-17,0.239316910440249,0.895320744840541,0,0,0,10,0
-5,10,0.253569976707586,0.85669786922432,1.66533453693773e-17,0.18677346603578,0.957247606212803,0,0,0,10,0
0,10,0.0114138709501008,0.0395957238765786,0.110367225002462,0.737609111588087,0.526100155800655,10,0,0,0,0
5,10,0.245501225881003,0.854171531371403,8.32667268468867e-18,0.185400565601385,0.959091406822835,0,0,0,10,0
10,10,0.363023655526441,1.29217187185293,5.55111512312578e-18,0.235969867405379,0.902822167677027,0,0,0,10,0
20,10,0.350479700015532,1.29250122893166,0.00173271509109283,0.236199328980931,0.901621469251503,0,0,0,10,0
