scenario,sample,method,candidate_count,candidate_library_hash,truth_signature,truth_in_library,best_is_truth,correct_unique,false_unique,library_outside,parameter_outside,is_nonunique_control,decision_state,candidate_set_size,truth_in_candidate_set,distance,margin,top1_confidence,normalized_entropy,domain_relative_distance,domain_threshold,scoring_time_s,length_error_percent,load_error_percent,best_main_scale,best_branch_load_scale
parameter_replay,length_-20_load_-18.00_r07,stage7a,7,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0,0,0,0,1,0,REJECTED,0,0,0.368150694521697,0,0.247723137019751,0.872579285260735,1.19434332311213,0.411592377117292,0.000333,-20,-18.0024853574738,1.05,1.2
parameter_replay,length_-20_load_-01.12_r08,stage6b,7,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0,0,0,0,1,0,REJECTED,0,0,0.375144005864464,5.55111512312578e-17,0.230564436411824,0.90627825074806,1.22612412088382,0.325221880007119,0.000436,-20,-1.11800639509468,NaN,NaN
parameter_replay,length_-20_load_-01.12_r08,stage7a,7,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0,0,0,0,1,0,REJECTED,0,0,0.365984651896948,0,0.248450679528686,0.870862919896194,1.19618760409101,0.411592377117292,0.000346,-20,-1.11800639509468,1.05,1.2
parameter_replay,length_-20_load_-11.07_r09,stage6b,7,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0,0,0,0,1,0,REJECTED,0,0,0.374484382728359,0,0.231021526641141,0.90588346834828,1.2199538414354,0.325221880007119,0.00042,-20,-11.0712216323477,NaN,NaN
parameter_replay,length_-20_load_-11.07_r09,stage7a,7,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0,0,0,0,1,0,REJECTED,0,0,0.366993270949957,0,0.248264578674003,0.871662213300168,1.19555012525343,0.411592377117292,0.000331,-20,-11.0712216323477,1.05,1.2
parameter_replay,length_-20_load_+14.65_r10,stage6b,7,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0,0,0,0,1,0,REJECTED,0,0,0.371485390227234,2.79233565530501e-05,0.230739567183201,0.904713884630479,1.23274906966297,0.325221880007119,0.000426,-20,14.6536457764998,NaN,NaN
parameter_replay,length_-20_load_+14.65_r10,stage7a,7,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0,0,0,0,1,0,REJECTED,0,0,0.362770161071601,0.000109274638198709,0.248986783001434,0.868969176360507,1.20382817286287,0.411592377117292,0.000311,-20,14.6536457764998,1.05,1.2
parameter_replay,length_-10_load_-06.19_r01,stage6b,7,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0,0,0,0,0,0,REJECTED,0,0,0.36601789898164,0,0.238617549886975,0.896062818985974,1.20723127160166,0.325221880007119,0.000424,-10,-6.18795677067348,NaN,NaN
parameter_replay,length_-10_load_-06.19_r01,stage7a,7,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,1,1,0,0,0,0,UNIQUE_CONFIDENT,1,1,0.0101415073815209,0.118867453097657,0.854329295162601,0.338365345378512,0.0334495796140429,0.411592377117292,0.000333,-10,-6.18795677067348,0.9,0.9
parameter_replay,length_-10_load_+09.49_r02,stage6b,7,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0,0,0,0,0,0,REJECTED,0,0,0.362861275108092,0,0.240297725138856,0.893034924762481,1.21989083163684,0.325221880007119,0.000447,-10,9.49002570494446,NaN,NaN
