sample_id,method_id,decision,topology_status,topology_set,decision_reason,best_topology_id,accepted_topology_set,accepted_member_count,evaluated_member_count,parameter_domain_status,best_distance,second_distance,margin,rho,compatibility_hash,calibration_hash,profile_evaluated,profile_computed,profile_reliable,profile_calibration_status,profile_source_file
pilot_G004_branch_load_scale_medium_lower_03,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G004,G007",best observation class has multiple members,G007,"G004,G007",2,2,parameter_domain_indeterminate,0.0425113855237197,0.0662796375940564,0.0237682520703367,0.641394356792477,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G004_branch_load_scale_medium_lower_03.mat
pilot_G004_branch_load_scale_far_upper_04,Stage4A5_1_M3_frozen,reject_neighborhood_mismatch,reject_neighborhood_mismatch,"",top-K neighborhood score or margin fails,G004,"",0,0,parameter_not_evaluated,0.130748822392966,0.13507657145625,0.0043277490632834,0.967960772045113,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G004_source_impedance_ohm_near_lower_01,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G004,G007",best observation class has multiple members,G004,"G004,G007",2,2,parameter_domain_indeterminate,0.0270267338624617,0.049132421836116,0.0221056879736543,0.550079415015625,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G004_source_impedance_ohm_near_lower_01.mat
pilot_G004_source_impedance_ohm_near_upper_02,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G004,G007",best observation class has multiple members,G007,"G004,G007",2,2,parameter_domain_indeterminate,0.0138475107377316,0.0478616812934413,0.0340141705557097,0.289323533215283,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G004_source_impedance_ohm_near_upper_02.mat
pilot_G004_source_impedance_ohm_medium_lower_03,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G004,G007",best observation class has multiple members,G007,"G004,G007",2,2,parameter_domain_indeterminate,0.0190041590806081,0.0451354272219549,0.0261312681413469,0.421047506357554,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G004_source_impedance_ohm_medium_lower_03.mat
pilot_G004_source_impedance_ohm_far_upper_04,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G004,G007",best observation class has multiple members,G007,"G004,G007",2,2,parameter_domain_indeterminate,0.132630509205284,0.140449508184214,0.00781899897892965,0.944328755002698,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G004_source_impedance_ohm_far_upper_04.mat
pilot_G004_receiver_impedance_ohm_near_lower_01,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G004,G007",best observation class has multiple members,G007,"G004,G007",2,2,parameter_domain_indeterminate,0.0591591514638117,0.0692433540932504,0.0100842026294388,0.854365768926897,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G004_receiver_impedance_ohm_near_lower_01.mat
pilot_G004_receiver_impedance_ohm_near_upper_02,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G004,G007",best observation class has multiple members,G004,"G004,G007",2,2,parameter_domain_indeterminate,0.0528692262313627,0.0706074430376662,0.0177382168063036,0.748776955460776,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G004_receiver_impedance_ohm_near_upper_02.mat
pilot_G004_receiver_impedance_ohm_medium_lower_03,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G004,G007",best observation class has multiple members,G007,"G004,G007",2,2,parameter_domain_indeterminate,0.113535431407464,0.120990276803027,0.0074548453955635,0.938384756250798,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G004_receiver_impedance_ohm_medium_lower_03.mat
pilot_G004_receiver_impedance_ohm_far_upper_04,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G004,G007",best observation class has multiple members,G004,"G004,G007",2,2,parameter_domain_indeterminate,0.0517664129774296,0.0705261627132381,0.0187597497358084,0.734002971169433,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G004_receiver_impedance_ohm_far_upper_04.mat
pilot_G005_in_01,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G002,"G002,G005",2,2,parameter_in_domain,0.102256261175516,0.132116441040545,0.0298601798650294,0.773985889790662,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G005_in_01.mat
pilot_G005_main_length_scale_near_lower_01,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G005,"G002,G005",2,2,parameter_out_suspected,0.071108817573166,0.119057775816034,0.0479489582428683,0.597263110999526,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G005_main_length_scale_near_lower_01.mat
pilot_G005_main_length_scale_near_upper_02,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G005,"G002,G005",2,2,parameter_out_suspected,0.0974570538558311,0.124126263912618,0.026669210056787,0.785144503532737,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G005_main_length_scale_near_upper_02.mat
pilot_G005_main_length_scale_medium_lower_03,Stage4A5_1_M3_frozen,reject_model_mismatch,reject_model_mismatch,"",best full-band residual exceeds calibration threshold,G006,"",0,0,parameter_not_evaluated,0.262293125736591,0.26324619663309,0.000953070896498986,0.996379545422934,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G005_main_length_scale_far_upper_04,Stage4A5_1_M3_frozen,reject_model_mismatch,reject_model_mismatch,"",best full-band residual exceeds calibration threshold,G004,"",0,0,parameter_not_evaluated,0.309279785831992,0.311827199690053,0.0025474138580609,0.991830687439759,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G005_branch_length_scale_near_lower_01,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G002,"G002,G005",2,2,parameter_domain_indeterminate,0.140591241346077,0.163938654658434,0.0233474133123572,0.857584452172924,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G005_branch_length_scale_near_lower_01.mat
pilot_G005_branch_length_scale_near_upper_02,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G002,"G002,G005",2,2,parameter_domain_indeterminate,0.119592774491297,0.145667857368231,0.0260750828769334,0.820996317589544,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G005_branch_length_scale_near_upper_02.mat
pilot_G005_branch_length_scale_medium_lower_03,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G002,"G002,G005",2,2,parameter_domain_indeterminate,0.0549170685777499,0.113610912768664,0.0586938441909143,0.483378464611839,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G005_branch_length_scale_medium_lower_03.mat
pilot_G005_branch_length_scale_far_upper_04,Stage4A5_1_M3_frozen,reject_low_stability,reject_low_stability,"",contiguous-block selection stability below frozen threshold,G002,"",0,0,parameter_not_evaluated,0.164851329424932,0.182610311675996,0.0177589822510647,0.90274929116009,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
