split,scheme,flow,budget,n,correct_unique_k,false_unique_k,rejected_k,ambiguous_k,low_confidence_k,truth_generated_k,truth_not_generated_k,truth_pruned_k,truth_active_k,truth_in_set_k,nonempty_set_k,truncated_k,mean_set_size,mean_scored_candidates,mean_optimizer_evaluations,mean_wall_clock_s,correct_unique_low,correct_unique_high,false_unique_low,false_unique_high
T_inlib,H50,B,0,60,41,0,1,0,18,0,0,0,60,60,60,0,1,3,119.783333333333,0.0348572833333333,0.557662329738233,0.786941324476335,0,0.0601718521420896
T_old_out,H50,B,0,40,0,5,30,0,5,0,40,0,0,0,40,0,1,3,112.875,0.032847825,0,0.0876216011972863,0.0545950025094541,0.261121198388511
T_reachable,H50,B,0,20,0,0,20,0,0,0,20,0,0,0,20,0,1,3,133.3,0.04023775,0,0.161125158052819,0,0.161125158052819
T_grammar_out,H50,B,0,20,0,0,20,0,0,0,0,0,0,0,20,0,1,3,131.1,0.0379025,0,0.161125158052819,0,0.161125158052819
T_domain,H50,B,0,20,0,0,20,0,0,0,0,0,20,20,20,0,1,3,216,0.0614477,0,0.161125158052819,0,0.161125158052819
T_inlib,H50,C,5,60,0,0,1,15,44,0,0,0,60,56,60,60,1.25,5,320.033333333333,0.0956919,0,0.0601718521420896,0,0.0601718521420896
T_old_out,H50,C,5,40,0,0,18,6,16,20,20,0,20,17,40,40,1.15,5,292.3,0.087201925,0,0.0876216011972863,0,0.0876216011972863
T_reachable,H50,C,5,20,0,0,20,0,0,0,20,0,0,0,20,20,1,5,351,0.10490475,0,0.161125158052819,0,0.161125158052819
T_grammar_out,H50,C,5,20,0,0,20,0,0,0,0,0,0,0,20,20,1.45,5,349.5,0.1042878,0,0.161125158052819,0,0.161125158052819
T_domain,H50,C,5,20,0,0,20,0,0,0,0,0,20,0,20,20,1,5,576,0.16826225,0,0.161125158052819,0,0.161125158052819
T_inlib,Zin50,B,0,60,57,0,3,0,0,0,0,0,60,60,60,0,1,3,139.85,0.0407129833333333,0.862994835236515,0.982850497835604,0,0.0601718521420896
T_old_out,Zin50,B,0,40,0,0,40,0,0,0,40,0,0,0,40,0,1,3,152.3,0.04423805,0,0.0876216011972863,0,0.0876216011972863
T_reachable,Zin50,B,0,20,0,0,20,0,0,0,20,0,0,0,20,0,1,3,161.85,0.0493161,0,0.161125158052819,0,0.161125158052819
T_grammar_out,Zin50,B,0,20,0,0,20,0,0,0,0,0,0,0,20,0,1,3,144.1,0.04269155,0,0.161125158052819,0,0.161125158052819
T_domain,Zin50,B,0,20,0,0,20,0,0,0,0,0,20,20,20,0,1,3,163.3,0.04758775,0,0.161125158052819,0,0.161125158052819
T_inlib,Zin50,C,5,60,0,0,3,0,57,0,0,0,60,60,60,60,1,5,363.266666666667,0.108163283333333,0,0.0601718521420896,0,0.0601718521420896
T_old_out,Zin50,C,5,40,0,0,11,0,29,30,10,0,30,30,40,40,1,5,382.75,0.113514375,0,0.0876216011972863,0,0.0876216011972863
T_reachable,Zin50,C,5,20,0,0,20,0,0,0,20,0,0,0,20,20,1,5,408.05,0.12318765,0,0.161125158052819,0,0.161125158052819
T_grammar_out,Zin50,C,5,20,0,0,20,0,0,0,0,0,0,0,20,20,1,5,403.4,0.12258295,0,0.161125158052819,0,0.161125158052819
T_domain,Zin50,C,5,20,0,0,20,0,0,0,0,0,20,10,20,20,1,5,457.2,0.1376388,0,0.161125158052819,0,0.161125158052819
T_inlib,H50_Zin50,B,0,60,55,0,5,0,0,0,0,0,60,60,60,0,1,3,139.816666666667,0.0412997333333333,0.819310579816656,0.963879543398269,0,0.0601718521420896
T_old_out,H50_Zin50,B,0,40,0,0,40,0,0,0,40,0,0,0,40,0,1,3,152.35,0.044703175,0,0.0876216011972863,0,0.0876216011972863
T_reachable,H50_Zin50,B,0,20,0,0,20,0,0,0,20,0,0,0,20,0,1,3,161.95,0.04724385,0,0.161125158052819,0,0.161125158052819
T_grammar_out,H50_Zin50,B,0,20,0,0,20,0,0,0,0,0,0,0,20,0,1,3,144.3,0.0427482,0,0.161125158052819,0,0.161125158052819
T_domain,H50_Zin50,B,0,20,0,0,20,0,0,0,0,0,20,20,20,0,1,3,163.9,0.04974535,0,0.161125158052819,0,0.161125158052819
T_inlib,H50_Zin50,C,5,60,0,0,5,0,55,0,0,0,60,60,60,60,1,5,363.25,0.108819383333333,0,0.0601718521420896,0,0.0601718521420896
T_old_out,H50_Zin50,C,5,40,0,0,10,0,30,30,10,0,30,30,40,40,1,5,382.25,0.114340875,0,0.0876216011972863,0,0.0876216011972863
T_reachable,H50_Zin50,C,5,20,0,0,20,0,0,0,20,0,0,0,20,20,1,5,408.35,0.12107455,0,0.161125158052819,0,0.161125158052819
T_grammar_out,H50_Zin50,C,5,20,0,0,20,0,0,0,0,0,0,0,20,20,1,5,402.3,0.1224908,0,0.161125158052819,0,0.161125158052819
T_domain,H50_Zin50,C,5,20,0,0,20,0,0,0,0,0,20,10,20,20,1,5,458.4,0.1415165,0,0.161125158052819,0,0.161125158052819
