method_id,in_domain_acceptance,medium_far_ood_false_acceptance,threshold,near_boundary_threshold,gate_pass,selected_for_execution,scientifically_unique_winner,selection_status,tied_methods,domain_calibration_hash
profile_min_distance,0.954022988505747,0.840996168582375,0.0564853173821596,0.0380882072379534,1,0,0,deterministic_execution_fallback_no_statistical_comparison,profile_relative_distance,a936133a6c2a06aa1520255b51500fb019b2d848eb81f529ec34f5b43a50fb0e
profile_relative_distance,0.950191570881226,0.517241379310345,0.110340450651554,0.104446064804368,1,1,0,deterministic_execution_fallback_no_statistical_comparison,profile_relative_distance,0829042b4eaa7f045282fbc9fe08c209fd5c7d2b1197539791792966f906954c
