parameter_name,reliable_sample_count,absolute_improvement_threshold,relative_improvement_threshold,sensitivity_floor,status,parameter_calibration_hash,parameter_calibration_split_id,parameter_calibration_seed,parameter_calibration_sample_count,parameter_calibration_reliable_count,compatibility_hash,source_tree_hash
main_length_scale,13,4.32733862757445e-08,0.974529854840884,5.50461168369357,calibrated,186abce651c3a6583f19e7a90513e4805c001873b84c18403e264aa5397ad48a,stage4a6_3_1_r2_calibration,20266031,17,13,ad648a46371d1f9da2f9f015c22f260838596fa6808f01e216e31941a0634a9f,26f32697acb1700bb9b9d975f1bcdc198ab7a87439fbc245eac5ec96536b651d
branch_length_scale,13,4.32733862757445e-08,0.974529854840884,5.50461168369357,calibrated,186abce651c3a6583f19e7a90513e4805c001873b84c18403e264aa5397ad48a,stage4a6_3_1_r2_calibration,20266031,17,13,ad648a46371d1f9da2f9f015c22f260838596fa6808f01e216e31941a0634a9f,26f32697acb1700bb9b9d975f1bcdc198ab7a87439fbc245eac5ec96536b651d
branch_load_scale,13,4.32733862757445e-08,0.974529854840884,5.50461168369357,calibrated,186abce651c3a6583f19e7a90513e4805c001873b84c18403e264aa5397ad48a,stage4a6_3_1_r2_calibration,20266031,17,13,ad648a46371d1f9da2f9f015c22f260838596fa6808f01e216e31941a0634a9f,26f32697acb1700bb9b9d975f1bcdc198ab7a87439fbc245eac5ec96536b651d
source_impedance_ohm,13,4.32733862757445e-08,0.974529854840884,5.50461168369357,calibrated,186abce651c3a6583f19e7a90513e4805c001873b84c18403e264aa5397ad48a,stage4a6_3_1_r2_calibration,20266031,17,13,ad648a46371d1f9da2f9f015c22f260838596fa6808f01e216e31941a0634a9f,26f32697acb1700bb9b9d975f1bcdc198ab7a87439fbc245eac5ec96536b651d
receiver_impedance_ohm,13,4.32733862757445e-08,0.974529854840884,5.50461168369357,calibrated,186abce651c3a6583f19e7a90513e4805c001873b84c18403e264aa5397ad48a,stage4a6_3_1_r2_calibration,20266031,17,13,ad648a46371d1f9da2f9f015c22f260838596fa6808f01e216e31941a0634a9f,26f32697acb1700bb9b9d975f1bcdc198ab7a87439fbc245eac5ec96536b651d
