split,scheme,flow,budget,n,correct_unique_k,false_unique_k,rejected_k,ambiguous_k,low_confidence_k,truth_generated_k,truth_not_generated_k,truth_pruned_k,truth_active_k,truth_in_set_k,nonempty_set_k,truncated_k,mean_set_size,mean_scored_candidates,mean_optimizer_evaluations,mean_wall_clock_s,correct_unique_low,correct_unique_high,false_unique_low,false_unique_high
T_inlib,H50,B,0,60,41,0,1,0,18,0,0,0,60,60,60,0,1,3,119.783333333333,0.0349498666666667,0.557662329738233,0.786941324476335,0,0.0601718521420896
T_old_out,H50,B,0,40,0,5,30,0,5,0,40,0,0,0,40,0,1,3,112.875,0.03284555,0,0.0876216011972863,0.0545950025094541,0.261121198388511
T_reachable,H50,B,0,20,0,0,20,0,0,0,20,0,0,0,20,0,1,3,133.3,0.03880425,0,0.161125158052819,0,0.161125158052819
T_grammar_out,H50,B,0,20,0,0,20,0,0,0,0,0,0,0,20,0,1,3,131.1,0.03847505,0,0.161125158052819,0,0.161125158052819
T_domain,H50,B,0,20,0,0,20,0,0,0,0,0,20,20,20,0,1,3,216,0.0606544,0,0.161125158052819,0,0.161125158052819
T_inlib,H50,C,7,60,0,0,1,15,44,0,0,0,60,56,60,60,1.25,7,401.766666666667,0.125918033333333,0,0.0601718521420896,0,0.0601718521420896
T_old_out,H50,C,7,40,0,0,0,6,34,20,20,0,20,17,40,40,1.15,7,360.175,0.1122715,0,0.0876216011972863,0,0.0876216011972863
T_reachable,H50,C,7,20,0,0,20,0,0,0,20,0,0,0,20,20,1,7,414.25,0.1284662,0,0.161125158052819,0,0.161125158052819
T_grammar_out,H50,C,7,20,0,0,20,0,0,0,0,0,0,0,20,20,1.45,7,432.85,0.13663135,0,0.161125158052819,0,0.161125158052819
T_domain,H50,C,7,20,0,0,20,0,0,0,0,0,20,0,20,20,1.5,7,720,0.21915005,0,0.161125158052819,0,0.161125158052819
T_inlib,Zin50,B,0,60,57,0,3,0,0,0,0,0,60,60,60,0,1,3,139.85,0.0411142166666667,0.862994835236515,0.982850497835604,0,0.0601718521420896
T_old_out,Zin50,B,0,40,0,0,40,0,0,0,40,0,0,0,40,0,1,3,152.3,0.044640925,0,0.0876216011972863,0,0.0876216011972863
T_reachable,Zin50,B,0,20,0,0,20,0,0,0,20,0,0,0,20,0,1,3,161.85,0.0469621,0,0.161125158052819,0,0.161125158052819
T_grammar_out,Zin50,B,0,20,0,0,20,0,0,0,0,0,0,0,20,0,1,3,144.1,0.04261045,0,0.161125158052819,0,0.161125158052819
T_domain,Zin50,B,0,20,0,0,20,0,0,0,0,0,20,20,20,0,1,3,163.3,0.0486135,0,0.161125158052819,0,0.161125158052819
T_inlib,Zin50,C,7,60,0,0,3,0,57,0,0,0,60,60,60,60,1,7,451.133333333333,0.140949033333333,0,0.0601718521420896,0,0.0601718521420896
T_old_out,Zin50,C,7,40,0,0,11,0,29,30,10,0,30,30,40,40,1,7,473.5,0.148902425,0,0.0876216011972863,0,0.0876216011972863
T_reachable,Zin50,C,7,20,0,0,20,0,0,0,20,0,0,0,20,20,1,7,484.85,0.150093,0,0.161125158052819,0,0.161125158052819
T_grammar_out,Zin50,C,7,20,0,0,20,0,0,0,0,0,0,0,20,20,1,7,508.8,0.16306665,0,0.161125158052819,0,0.161125158052819
T_domain,Zin50,C,7,20,0,0,20,0,0,0,0,0,20,10,20,20,1,7,589.2,0.18942895,0,0.161125158052819,0,0.161125158052819
T_inlib,H50_Zin50,B,0,60,55,0,5,0,0,0,0,0,60,60,60,0,1,3,139.816666666667,0.0411000333333333,0.819310579816656,0.963879543398269,0,0.0601718521420896
T_old_out,H50_Zin50,B,0,40,0,0,40,0,0,0,40,0,0,0,40,0,1,3,152.35,0.0445933,0,0.0876216011972863,0,0.0876216011972863
T_reachable,H50_Zin50,B,0,20,0,0,20,0,0,0,20,0,0,0,20,0,1,3,161.95,0.047344,0,0.161125158052819,0,0.161125158052819
T_grammar_out,H50_Zin50,B,0,20,0,0,20,0,0,0,0,0,0,0,20,0,1,3,144.3,0.04255865,0,0.161125158052819,0,0.161125158052819
T_domain,H50_Zin50,B,0,20,0,0,20,0,0,0,0,0,20,20,20,0,1,3,163.9,0.049136,0,0.161125158052819,0,0.161125158052819
T_inlib,H50_Zin50,C,7,60,0,0,5,0,55,0,0,0,60,60,60,60,1,7,451.083333333333,0.141204633333333,0,0.0601718521420896,0,0.0601718521420896
T_old_out,H50_Zin50,C,7,40,0,0,10,0,30,30,10,0,30,30,40,40,1,7,472.9,0.1481846,0,0.0876216011972863,0,0.0876216011972863
T_reachable,H50_Zin50,C,7,20,0,0,20,0,0,0,20,0,0,0,20,20,1,7,485.25,0.15191445,0,0.161125158052819,0,0.161125158052819
T_grammar_out,H50_Zin50,C,7,20,0,0,20,0,0,0,0,0,0,0,20,20,1,7,507.6,0.16231185,0,0.161125158052819,0,0.161125158052819
T_domain,H50_Zin50,C,7,20,0,0,20,0,0,0,0,0,20,10,20,20,1,7,590.4,0.1878279,0,0.161125158052819,0,0.161125158052819
