scheme,flow,budget,A_n,F_n,set_threshold,fit_threshold,calibration_identity,bank_identity,search_identity
H50,B,0,150,150,0,1.31144114284432,52e2d4dc0961bf71480c5689296e071625b66ce8601228146b3780852f2ab1e6,ae7f97bae32ff70dfd27c86c8ab872ab56b81711b19f1fd84526df531bcc5811,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
H50,C,7,150,150,2.77555756156289e-15,1.31144114284432,4b2e8d531c2fec56279c902911798e7927c396827c1243f582a2633be5d74d0b,ae7f97bae32ff70dfd27c86c8ab872ab56b81711b19f1fd84526df531bcc5811,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
Zin50,B,0,150,150,0,1.20711206757417,f3a9eb56aa391ec9da05d60aa211d3465c3d66f3967ca6cfc387b1cb9d4e0097,ae7f97bae32ff70dfd27c86c8ab872ab56b81711b19f1fd84526df531bcc5811,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
Zin50,C,7,150,150,0,1.20711206757417,3f4c34402420a1142b529fd346ebda00787d3dbc837bb65c28e3aa8d68eafa36,ae7f97bae32ff70dfd27c86c8ab872ab56b81711b19f1fd84526df531bcc5811,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
H50_Zin50,B,0,150,150,0,1.19143277233943,eaae3cb88368c797d2668312607b867a8ab1c8fa8552235435fbb7dcbfbd2bd4,ae7f97bae32ff70dfd27c86c8ab872ab56b81711b19f1fd84526df531bcc5811,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
H50_Zin50,C,7,150,150,0,1.19143277233943,995f18202b07c054702cb433b22d8e85afdee1da1280498e7b9cbdb37e3571c6,ae7f97bae32ff70dfd27c86c8ab872ab56b81711b19f1fd84526df531bcc5811,3402611123d6de65745e1838f77df00e7394b633ed5f8c9415990113e43f2f97
