source_id,original_filename,relative_or_logical_path,file_size_bytes,sha256,source_url,retrieval_date,unit_original,unit_conversion,evidence_status,cable_mapping_status
enwl_lvns_models_zip,lv-network-models-2.zip,materials/external_data/enwl_lvns/source/lv-network-models-2.zip,12600354,5ac19bcc5c0857c5d996c0e24d3d15c1e8fe4326eea0253b227576bb50d8bd51,https://www.enwl.co.uk/globalassets/innovation/lvns/lvns-academic/lv-network-models-2.zip,2026-09-08,m,identity_from_Lines_txt,verified_from_local_archive,controlled_model_mapping_not_measured_MHz_RLGC
enwl_lvns_summary,summary-report.pdf,materials/external_data/enwl_lvns/source/summary-report.pdf,2553572,7bd3bd6bf67416c98e5837b3cdbc1057b4fdd892f068eeb7ebce99de32a2f739,https://www.enwl.co.uk/globalassets/innovation/lvns/lvns-academic/summary-report.pdf,2026-09-08,,,document_available,controlled_model_mapping_not_measured_MHz_RLGC
enwl_lvns_closedown,lvns_closedown_report.pdf,materials/external_data/enwl_lvns/source/lvns_closedown_report.pdf,2034087,9cc9046a27c22e06457f685ba6223c9c6ed78ff1f23663a4ffbf8334893b66fa,https://www.ofgem.gov.uk/sites/default/files/docs/2017/04/lvns_closedown_report.pdf,2026-09-08,,,document_available,controlled_model_mapping_not_measured_MHz_RLGC
derived_selected_subnetwork,stage4a7_2_r1_selected_public_subnetwork.csv,data/derived/enwl_uncertain_prior/stage4a7_2_r1_selected_public_subnetwork.csv,821,b1796a9a0cf7ae94f66b58a9e12de2ff21debd371f68e2fe2085e7b42a057f20,repository-derived,2026-09-08,m,identity,derived_file_hash_recorded,controlled_model_mapping_not_measured_MHz_RLGC
