method_id,coverage_num,coverage_den,coverage,mean_set_size,median_set_size,singleton_correct_num,singleton_correct_den,singleton_correct_rate,empty_set_num,empty_set_den,empty_set_rate,selective_risk_num,selective_risk_den,selective_risk,gate_pass,rejection_reason,deterministic_development_winner,statistically_distinguishable_winner,scientifically_unique_winner,selection_status,tied_methods
absolute,247,261,0.946360153256705,11.727969348659,10,17,261,0.0651340996168582,2,261,0.00766283524904215,12,259,0.0463320463320463,1,,0,0,0,not_selected,margin
scaled,247,261,0.946360153256705,11.727969348659,10,17,261,0.0651340996168582,2,261,0.00766283524904215,12,259,0.0463320463320463,1,,0,0,0,not_selected,margin
ratio,250,261,0.957854406130268,4.55938697318008,4,66,261,0.252873563218391,1,261,0.00383141762452107,10,260,0.0384615384615385,1,,0,0,0,not_selected,margin
margin,251,261,0.961685823754789,4.4904214559387,4,65,261,0.24904214559387,1,261,0.00383141762452107,9,260,0.0346153846153846,1,,1,0,0,no_unique_winner,margin
absolute_I,247,261,0.946360153256705,11.727969348659,10,17,261,0.0651340996168582,2,261,0.00766283524904215,12,259,0.0463320463320463,1,,0,0,0,not_selected,margin
