parameter_name,reliable_sample_count,absolute_improvement_threshold,relative_improvement_threshold,sensitivity_floor,status,compatibility_hash,source_tree_hash
main_length_scale,13,4.32733862757445e-08,0.974529854840884,5.50461168369357,calibrated,b545eaa513256bdd4faa8b4fd61e26b8ccebf14ecedab0897e40acefc839628b,090d9d3bca7a7cb37d582d6f393863f11be8931c76550c52205ea09ca3d51aa7
branch_length_scale,13,4.32733862757445e-08,0.974529854840884,5.50461168369357,calibrated,b545eaa513256bdd4faa8b4fd61e26b8ccebf14ecedab0897e40acefc839628b,090d9d3bca7a7cb37d582d6f393863f11be8931c76550c52205ea09ca3d51aa7
branch_load_scale,13,4.32733862757445e-08,0.974529854840884,5.50461168369357,calibrated,b545eaa513256bdd4faa8b4fd61e26b8ccebf14ecedab0897e40acefc839628b,090d9d3bca7a7cb37d582d6f393863f11be8931c76550c52205ea09ca3d51aa7
source_impedance_ohm,13,4.32733862757445e-08,0.974529854840884,5.50461168369357,calibrated,b545eaa513256bdd4faa8b4fd61e26b8ccebf14ecedab0897e40acefc839628b,090d9d3bca7a7cb37d582d6f393863f11be8931c76550c52205ea09ca3d51aa7
receiver_impedance_ohm,13,4.32733862757445e-08,0.974529854840884,5.50461168369357,calibrated,b545eaa513256bdd4faa8b4fd61e26b8ccebf14ecedab0897e40acefc839628b,090d9d3bca7a7cb37d582d6f393863f11be8931c76550c52205ea09ca3d51aa7
