domain,branch_length_m,fixed_rms_difference_ohm,repeat_count,method,truth_group,n,correct_unique_k,correct_unique_rate,correct_unique_low95,correct_unique_high95,false_unique_k,false_unique_rate,false_unique_low95,false_unique_high95,truth_covered_k,best_is_truth_k,mean_candidate_set_size,unique_k,ambiguous_k,low_confidence_k,rejected_k
on_grid,0.0001,0.0165960714530399,1024,stage7a4_four_state,WEAK_M3,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,99,100,1.34,0,35,64,1
on_grid,0.0001,0.0165960714530399,1024,pair_likelihood_gap,ALL,200,200,1,0.981154673622734,1,0,0,0,0.0188453263772665,200,200,1,200,0,0,0
on_grid,0.0001,0.0165960714530399,1024,pair_likelihood_gap,WEAK_M1,100,100,1,0.963006501793014,1,0,0,0,0.0369934982069855,100,100,1,100,0,0,0
on_grid,0.0001,0.0165960714530399,1024,pair_likelihood_gap,WEAK_M3,100,100,1,0.963006501793014,1,0,0,0,0.0369934982069855,100,100,1,100,0,0,0
on_grid,0.00025,0.0414859694311724,1,stage7a4_four_state,ALL,200,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,187,107,1.88,0,178,20,2
on_grid,0.00025,0.0414859694311724,1,stage7a4_four_state,WEAK_M1,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,88,54,1.87,0,88,11,1
on_grid,0.00025,0.0414859694311724,1,stage7a4_four_state,WEAK_M3,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,99,53,1.89,0,90,9,1
on_grid,0.00025,0.0414859694311724,1,pair_likelihood_gap,ALL,200,21,0.105,0.0697074879268103,0.15518031991123,11,0.055,0.0309853417034589,0.0957869987723083,189,107,1.84,32,168,0,0
on_grid,0.00025,0.0414859694311724,1,pair_likelihood_gap,WEAK_M1,100,15,0.15,0.0930598528365664,0.232835595908323,5,0.05,0.021543679154368,0.111750469231919,95,54,1.8,20,80,0,0
on_grid,0.00025,0.0414859694311724,1,pair_likelihood_gap,WEAK_M3,100,6,0.06,0.0277861239631882,0.124768154458959,6,0.06,0.0277861239631882,0.124768154458959,94,53,1.88,12,88,0,0
on_grid,0.00025,0.0414859694311724,4,stage7a4_four_state,ALL,200,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,194,130,1.925,0,187,0,13
on_grid,0.00025,0.0414859694311724,4,stage7a4_four_state,WEAK_M1,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,98,66,1.96,0,95,0,5
on_grid,0.00025,0.0414859694311724,4,stage7a4_four_state,WEAK_M3,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,96,64,1.89,0,92,0,8
on_grid,0.00025,0.0414859694311724,4,pair_likelihood_gap,ALL,200,43,0.215,0.163718762545076,0.277023073489966,9,0.045,0.023852543001493,0.0832967040018195,191,130,1.74,52,148,0,0
on_grid,0.00025,0.0414859694311724,4,pair_likelihood_gap,WEAK_M1,100,22,0.22,0.150012823846054,0.310703535149858,3,0.03,0.0102545240240389,0.0845193642905274,97,66,1.75,25,75,0,0
on_grid,0.00025,0.0414859694311724,4,pair_likelihood_gap,WEAK_M3,100,21,0.21,0.141656540619153,0.299799688340898,6,0.06,0.0277861239631882,0.124768154458959,94,64,1.73,27,73,0,0
on_grid,0.00025,0.0414859694311724,16,stage7a4_four_state,ALL,200,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,187,156,1.835,0,179,9,12
on_grid,0.00025,0.0414859694311724,16,stage7a4_four_state,WEAK_M1,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,91,79,1.83,0,91,1,8
on_grid,0.00025,0.0414859694311724,16,stage7a4_four_state,WEAK_M3,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,96,77,1.84,0,88,8,4
on_grid,0.00025,0.0414859694311724,16,pair_likelihood_gap,ALL,200,109,0.545,0.475786113724881,0.612517806901165,10,0.05,0.027382645600764,0.0895781481387759,190,156,1.405,119,81,0,0
on_grid,0.00025,0.0414859694311724,16,pair_likelihood_gap,WEAK_M1,100,58,0.58,0.48206486703043,0.672016173256452,4,0.04,0.0156633039915476,0.098370714358879,96,79,1.38,62,38,0,0
on_grid,0.00025,0.0414859694311724,16,pair_likelihood_gap,WEAK_M3,100,51,0.51,0.413480119340272,0.605780010695589,6,0.06,0.0277861239631882,0.124768154458959,94,77,1.43,57,43,0,0
on_grid,0.00025,0.0414859694311724,64,stage7a4_four_state,ALL,200,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,187,191,1.73,0,159,27,14
on_grid,0.00025,0.0414859694311724,64,stage7a4_four_state,WEAK_M1,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,94,97,1.68,0,74,19,7
on_grid,0.00025,0.0414859694311724,64,stage7a4_four_state,WEAK_M3,100,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,93,94,1.78,0,85,8,7
on_grid,0.00025,0.0414859694311724,64,pair_likelihood_gap,ALL,200,187,0.935,0.891980920700931,0.961623645350847,8,0.04,0.0204056320661523,0.0769320682009329,192,191,1.025,195,5,0,0
on_grid,0.00025,0.0414859694311724,64,pair_likelihood_gap,WEAK_M1,100,97,0.97,0.915480635709472,0.989745475975961,2,0.02,0.00550196755016236,0.0700117907285438,98,97,1.01,99,1,0,0
