method_id,category,metric_name,numerator,denominator,rate,ci_low,ci_high,evaluable_count,definition_version
M0_min_residual,structure_out,topology_set_accuracy,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,accepted_coverage,73,73,1,0.950007992044269,1,73,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,topology_selective_risk,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,unique_output_precision,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,singleton_rate,63,73,0.863013698630137,0.765875725934301,0.923856103906059,73,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,ambiguous_set_rate,0,73,0,0,0.0499920079557311,73,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,equivalence_class_rate,10,73,0.136986301369863,0.0761438960939413,0.234124274065699,73,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,rejection_rate,0,73,0,0,0.0499920079557311,73,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,false_unique_unconditional,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,false_unique_conditional,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,parameter_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,structure_ood_false_acceptance,73,73,1,0.950007992044269,1,73,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,structure_out,average_candidate_set_size,83,73,1.13698630136986,NaN,NaN,73,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,topology_set_accuracy,175,210,0.833333333333333,0.777037629162698,0.877653003664447,210,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,accepted_coverage,210,210,1,0.982035949240717,1,210,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,topology_selective_risk,35,210,0.166666666666667,0.122346996335553,0.222962370837302,210,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,unique_output_precision,64,67,0.955223880597015,0.876421669109062,0.984656024877961,67,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,singleton_rate,67,210,0.319047619047619,0.259741333174437,0.384855180433684,210,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,ambiguous_set_rate,0,210,0,0,0.0179640507592832,210,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,equivalence_class_rate,143,210,0.680952380952381,0.615144819566316,0.740258666825563,210,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,rejection_rate,0,210,0,0,0.0179640507592832,210,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,false_unique_unconditional,0,210,0,0,0.0179640507592832,210,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,false_unique_conditional,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,parameter_ood_false_acceptance,210,210,1,0.982035949240717,1,210,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,structure_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M0_min_residual,parameter_out,average_candidate_set_size,353,210,1.68095238095238,NaN,NaN,210,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,topology_set_accuracy,337,427,0.789227166276347,0.748049980713685,0.825246750469271,427,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,accepted_coverage,359,500,0.718,0.677012220786007,0.755663566772757,500,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,topology_selective_risk,0,337,0,8.67361737988404e-19,0.0112705151362323,337,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,unique_output_precision,128,128,1,0.970863043726492,1,128,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,singleton_rate,146,500,0.292,0.253852493835628,0.333319231796378,500,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,ambiguous_set_rate,0,500,0,4.33680868994202e-19,0.00762434046155224,500,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,equivalence_class_rate,213,500,0.426,0.383382578366752,0.469745824021558,500,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,rejection_rate,141,500,0.282,0.244336433227243,0.322987779213993,500,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,false_unique_unconditional,0,427,0,0,0.00891617726671204,427,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,false_unique_conditional,0,4,0,0,0.489890836454597,4,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,parameter_ood_false_acceptance,144,210,0.685714285714286,0.620067862137868,0.744688347580113,210,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,structure_ood_false_acceptance,22,73,0.301369863013699,0.208225905791261,0.414373659013071,73,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,all,average_candidate_set_size,572,500,1.144,NaN,NaN,500,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,topology_set_accuracy,186,210,0.885714285714286,0.835583294878959,0.921987294535308,210,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,accepted_coverage,186,210,0.885714285714286,0.835583294878959,0.921987294535308,210,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,topology_selective_risk,0,186,0,0,0.0202350890293273,186,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,unique_output_precision,74,74,1,0.950650220603614,1,74,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,singleton_rate,74,210,0.352380952380952,0.290950158895318,0.419115417995518,210,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,ambiguous_set_rate,0,210,0,0,0.0179640507592832,210,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,equivalence_class_rate,112,210,0.533333333333333,0.465865920194073,0.599603143088642,210,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,rejection_rate,24,210,0.114285714285714,0.0780127054646915,0.164416705121041,210,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,false_unique_unconditional,0,210,0,0,0.0179640507592832,210,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,false_unique_conditional,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,parameter_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,in_domain_interior,structure_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
