split,scheme,flow,budget,n,correct_unique_k,false_unique_k,rejected_k,ambiguous_k,low_confidence_k,truth_generated_k,truth_not_generated_k,truth_pruned_k,truth_active_k,truth_in_set_k,nonempty_set_k,truncated_k,mean_set_size,mean_scored_candidates,mean_optimizer_evaluations,mean_wall_clock_s,correct_unique_low,correct_unique_high,false_unique_low,false_unique_high
T_inlib,H50,B,0,60,41,0,1,0,18,0,0,0,60,60,60,0,1,3,119.783333333333,0.0360025333333333,0.557662329738233,0.786941324476335,0,0.0601718521420896
T_old_out,H50,B,0,40,0,5,30,0,5,0,40,0,0,0,40,0,1,3,112.875,0.0328747,0,0.0876216011972863,0.0545950025094541,0.261121198388511
T_reachable,H50,B,0,20,0,0,20,0,0,0,20,0,0,0,20,0,1,3,133.3,0.03952535,0,0.161125158052819,0,0.161125158052819
T_grammar_out,H50,B,0,20,0,0,20,0,0,0,0,0,0,0,20,0,1,3,131.1,0.0383848,0,0.161125158052819,0,0.161125158052819
T_domain,H50,B,0,20,0,0,20,0,0,0,0,0,20,20,20,0,1,3,216,0.06084395,0,0.161125158052819,0,0.161125158052819
T_inlib,H50,C,10,60,19,0,1,15,25,0,0,0,60,56,60,40,1.25,10,864.233333333333,0.29164755,0.213058675523665,0.442337670261767,0,0.0601718521420896
T_old_out,H50,C,10,40,0,0,0,14,26,30,10,0,30,27,40,40,1.35,10,786.85,0.261624675,0,0.0876216011972863,0,0.0876216011972863
T_reachable,H50,C,10,20,0,0,17,0,3,3,17,0,3,3,20,20,1.35,10,850.45,0.2802714,0,0.161125158052819,0,0.161125158052819
T_grammar_out,H50,C,10,20,0,0,20,0,0,0,0,0,0,0,20,20,1.45,10,950.55,0.31275505,0,0.161125158052819,0,0.161125158052819
T_domain,H50,C,10,20,0,0,20,0,0,0,0,0,20,0,20,20,1.1,10,1584,0.51599215,0,0.161125158052819,0,0.161125158052819
T_inlib,Zin50,B,0,60,57,0,3,0,0,0,0,0,60,60,60,0,1,3,139.85,0.0410932333333333,0.862994835236515,0.982850497835604,0,0.0601718521420896
T_old_out,Zin50,B,0,40,0,0,40,0,0,0,40,0,0,0,40,0,1,3,152.3,0.044377125,0,0.0876216011972863,0,0.0876216011972863
T_reachable,Zin50,B,0,20,0,0,20,0,0,0,20,0,0,0,20,0,1,3,161.85,0.0475942,0,0.161125158052819,0,0.161125158052819
T_grammar_out,Zin50,B,0,20,0,0,20,0,0,0,0,0,0,0,20,0,1,3,144.1,0.04266955,0,0.161125158052819,0,0.161125158052819
T_domain,Zin50,B,0,20,0,0,20,0,0,0,0,0,20,20,20,0,1,3,163.3,0.0484551,0,0.161125158052819,0,0.161125158052819
T_inlib,Zin50,C,10,60,6,0,3,0,51,0,0,0,60,60,60,53,1,10,917.166666666667,0.304872483333333,0.0466428344738843,0.201494647239787,0,0.0601718521420896
T_old_out,Zin50,C,10,40,0,0,1,0,39,40,0,0,40,40,40,40,1,10,969.375,0.31953335,0,0.0876216011972863,0,0.0876216011972863
T_reachable,Zin50,C,10,20,0,0,1,0,19,20,0,0,20,20,20,20,1,10,1029,0.3408791,0,0.161125158052819,0,0.161125158052819
T_grammar_out,Zin50,C,10,20,0,0,20,0,0,0,0,0,0,0,20,20,1,10,1038.3,0.3537876,0,0.161125158052819,0,0.161125158052819
T_domain,Zin50,C,10,20,0,0,20,0,0,0,0,0,20,10,20,20,1,10,1195.8,0.40526655,0,0.161125158052819,0,0.161125158052819
T_inlib,H50_Zin50,B,0,60,55,0,5,0,0,0,0,0,60,60,60,0,1,3,139.816666666667,0.0416213666666667,0.819310579816656,0.963879543398269,0,0.0601718521420896
T_old_out,H50_Zin50,B,0,40,0,0,40,0,0,0,40,0,0,0,40,0,1,3,152.35,0.046055475,0,0.0876216011972863,0,0.0876216011972863
T_reachable,H50_Zin50,B,0,20,0,0,20,0,0,0,20,0,0,0,20,0,1,3,161.95,0.0478382,0,0.161125158052819,0,0.161125158052819
T_grammar_out,H50_Zin50,B,0,20,0,0,20,0,0,0,0,0,0,0,20,0,1,3,144.3,0.04305505,0,0.161125158052819,0,0.161125158052819
T_domain,H50_Zin50,B,0,20,0,0,20,0,0,0,0,0,20,20,20,0,1,3,163.9,0.0485694,0,0.161125158052819,0,0.161125158052819
T_inlib,H50_Zin50,C,10,60,5,0,5,0,50,0,0,0,60,60,60,52,1,10,917.116666666667,0.306918116666667,0.0361204566017308,0.180689420183344,0,0.0601718521420896
T_old_out,H50_Zin50,C,10,40,0,0,0,0,40,40,0,0,40,40,40,40,1,10,968.225,0.325633375,0,0.0876216011972863,0,0.0876216011972863
T_reachable,H50_Zin50,C,10,20,0,0,0,0,20,20,0,0,20,20,20,20,1,10,1029.8,0.34545845,0,0.161125158052819,0,0.161125158052819
T_grammar_out,H50_Zin50,C,10,20,0,0,20,0,0,0,0,0,0,0,20,20,1,10,1035.7,0.3552889,0,0.161125158052819,0,0.161125158052819
T_domain,H50_Zin50,C,10,20,0,0,20,0,0,0,0,0,20,10,20,20,1,10,1197.6,0.4065717,0,0.161125158052819,0,0.161125158052819
