case_id,topology_id,status,runtime_s,profile_computed,profile_reliable,active_parameter_count
stage4a6_2_1_smoke_G001,G001,resumed,1.288422,1,1,3
stage4a6_2_1_smoke_G007,G007,resumed,0.890982,1,1,5
