sample_id,truth_set,truth_member_count,accepted_set,set_size,false_unique,hit,parameter_vector_hash,noiseless_cfr_hash
r1_nonunique_024,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,cbb400d9036e3914d7dc29c753728eed7ad2e7daf6af84ad430703c5d51916f9,0aff64d5e10db80fa4c817576e5aa74fca753f2cc67fd0548d89a012c0517a1f
r1_nonunique_025,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,5e374661b002af3cb6f6447d1145d9323828ec600378822cc27c42adaabb73e1,7122ae2a2fb72512a5f9ebd85e553d5328f9d468819180171636b4676b16a208
r1_nonunique_026,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,58ef76af78234a3f7ed642ebbb323b4dc7afc5afa325233f95d320174aeb62e1,c1d688e2409cca67fb3c8cf5e0cfdae123217d1f2263903df14344bf9820d69a
r1_nonunique_027,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,f6282769342631892ce1e619df8fbf8de5c342fc2a8d1ad0c3b9bb88bc127111,5162f8e53b6315e68608a977f6ba0574d41360e98e1ad647d8403e1339d818b7
r1_nonunique_028,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,16e9705c10c2a58aa35ca271632ca8a51ed86703559cf24dc84725e38b8359f5,525cd8e9619ec1be93823399ef983c16f51c43df900f1680f5518bb449212ca9
r1_nonunique_029,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,8ecf0765fca2c3c4969b73b8df4dc0358ed216137df2930a9923c468f42143ec,ed8b5624986261d00e9a70c8744f3953fdf0809981ad700b275bd7762166bab9
r1_nonunique_030,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,304b8d12e17db209ffca9303097a49df4e4e4672b8ddf0725fa045c16c11de24,12cf65dff2ccf8c62a072c12d25ad75957381dac776ed71e167c18a4707bdc14
r1_nonunique_031,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,65fed15291452fa3f6b8c4f40bf790831257ce73a3d2e870fa7c4dcdd8d60c58,0e078faa689879550073d896844a73ce982e0d88df2dd6fb8d67222633020694
r1_nonunique_032,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,4ce563bbada9d8319d223185da85c189b6c04dd3020151d2cfe465e16a49b928,a9dde1105ab49e6bdc36b88a14cb0631d079212790734e899f65411e03a521ee
r1_nonunique_033,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,c7b3310e0e2a11b0dc1a56fa74f3d3e44306d81402e600ead59d8b4fac9e352a,3d76230519c7d91f15a75320adee2d0e43e6db13ef415d6e328606f178d91c8a
r1_nonunique_034,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,c2b7a843890958e147cb85edd9a626482816e1a8479e24e17c1b71a350318d61,792ce08f1c7b34001bba666c1dc79251c4acedc31232780d9ccf543fb8ed2908
r1_nonunique_035,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,58ef76af78234a3f7ed642ebbb323b4dc7afc5afa325233f95d320174aeb62e1,c1d688e2409cca67fb3c8cf5e0cfdae123217d1f2263903df14344bf9820d69a
r1_nonunique_036,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,4b8de7c9812fae817050c3d1338b0fa98fe62b1e78a3a0a49042a47a1e164875,a9e9fa05eadf5f0cb1a8e5b7137ea8e5b6971b1f7d5c23021799c1f039ca6c38
r1_nonunique_037,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,e5b5611617246ae25c418a7580da922c16da71e2af39f628953953bcc33a1add,603bb9c266e0877bfb824d4317f273926b8faa164837ed98c3e0378d05cf0a59
r1_nonunique_038,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,08de54f7a853e46839a53669fe0a69581a1af3b0754d923b3b7f4bffefae015c,4ae443ee70be1917bcfe427a267cc60cc6d3b83a8088af2e5e5c67502a4e1224
r1_nonunique_039,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,41f4fe09876a90f656d8f1b50426bc3d1705379fca037f85acb07efc8019da71,eaaddc076e06c96aefe40cbdb77f3c227b630b4304ad87a8a421266e9641dd9d
r1_nonunique_040,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,6a7a060354da1f94eba40ed575e5c04b5814303c7aad1db14c74dfbe46ca0b6b,d6b1c545cfcad4f77072bc12fbdd4dcbf310421c5c8aa0d5a0c9f2dd6099a144
r1_nonunique_041,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,43c8b78ea1ea45ef30f8e47c57a5bd09dd4ef0a0bc40fb7e095bf8f9f2d6731f,f6016d2e9a890555988d07af9b2e1f643bdfb6e292ff64ed82276583ee763162
r1_nonunique_042,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,064f59190cc2d8c1a9a50e90edb1d05468df8c5d3d5303463568f808e109cdee,3c7aaeff3c8bb85cf9e05e25ba4337861874e6b239ebf883cc71bbf2eee31858
r1_nonunique_043,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,b3baf67fdbe859793fdb63d745448e18911c686d9b4ed7ef3a08b2cf718d6489,bc6b1bc5485c83349a370d2be89b4455881a6b70de4cb953e03557b2bf36ed86
r1_nonunique_044,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,412f950129d5031447da099c6ea8b6a6eea72bed53e4acb891a717ef62698b3b,3582625260c8b286cb6a95d8dee1f6361553cba6ef0a0201d75ccc2e88eb1943
r1_nonunique_045,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,23f7c4584c0dcff0a069d87456849aec1b318a4b1e667c58bb3a19c0441d3914,3546ac4bd070ab5733fc8a856b3f050ebeacaf21d9f413be71a2b46a6e097741
r1_nonunique_046,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,4278aac1220a2017bf35a6069a4cbf3451458485c56606b9f40b0990f8b2305c,291c0045f41358552b03397864e5256f0c116fb9a1a57c1eab728f1a24df2304
r1_nonunique_047,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,2d2da76c2e0ab06c27e031155ed40be19f0e01947dc15181c0e581c9f60787a4,4e4e61257e3ae30e90d16de49a68a71da0fea5e543f0510d315de582fe6c0b48
r1_nonunique_048,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,70978144ae17497391c5365d9f14344d42d9289218eac7a84cc3d887879f9f01,a693634c0c2efa562cac16eab7db8287714b088a8689d095bb3109a8c98cb96b
r1_nonunique_049,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,c79bcf07fe59683f5f0d838cdc0b98957aca3b7c433d19bfa768df1f99b0807f,76e50c0bc46ab3a1970972c09f1410601bde8699fdfb84bf2b0fb0f0d459b937
r1_nonunique_050,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,23459b557a8e605e93506de913c0a2420317d1f8b68178c049a3503d46117408,63d3744244fa27588c0a82bdb504159ad4ddbc0ebefae2fd642f38396b5e66e3
r1_nonunique_051,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,e2847a47c30c00f6bce6110be718eea2b1b3a6d5fa3f4df8cc3265b0cb7ddb08,9edbee864a2b592613fb1258f7a791153289f72f9f97fba2956183417f9a77fb
r1_nonunique_052,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,476ba17cbfbbd24822e53fc50cfa3bada6a4531353239e0fa3fdd62f735ac6c9,95ef5bd14b32b71b76a286e1db316a30d6058d50def480cc6f90de360c6ef099
r1_nonunique_053,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,f93410cbdcfba50d95ecbbb21db9f15a976459fac24d10fe9bad6148494a981a,a070667083d99b96b32bdcdccdd6d33b35a1fe8a1d6d9eb205bf59e3f4ce0bee
r1_nonunique_054,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,04a843d3e4a1dfd4150825fde521eec9a2a6df72e24a883be76b1be5e498eed3,fba50a7a0fd7cc077d42e8838339170bc64f56a97ccddf51e5cd2a8618a92b75
r1_nonunique_055,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,70978144ae17497391c5365d9f14344d42d9289218eac7a84cc3d887879f9f01,a693634c0c2efa562cac16eab7db8287714b088a8689d095bb3109a8c98cb96b
r1_nonunique_056,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,23459b557a8e605e93506de913c0a2420317d1f8b68178c049a3503d46117408,63d3744244fa27588c0a82bdb504159ad4ddbc0ebefae2fd642f38396b5e66e3
r1_nonunique_057,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,b18aea60c9e3c913f1be0f664627eb9771547033dd73c987e3c07781ec1d7a02,ad1c02256e4af8c06bff0a9a3eaf5f208ac0dc5a06a802654bd9dc907d05b563
r1_nonunique_058,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,0b13c9e3b4075c973f5fcf61379cdd0e23a6ef45ae0f5ebf7e38994099ed30d6,40536b5f1369eac7ca449f22a25a242cc028057a4b5350314806ce3e6ac974ac
r1_nonunique_059,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,c86cb0dd8efcb37190ce5e45d95c34aabf03e38763427d6c2781dad197fdc3b7,e7f2d830dcbf25f7fa2a94c7f46ec03e51889b13af697f886b4308cdacd66068
r1_nonunique_060,"G004,G007",2,"G001,G002,G003,G004,G005,G006,G007",7,0,1,13b258f4e7c2aace64b4f54b5fc32cc96436604e369e3a81235490ada05fcbec,ff2a36fccf67537ff933e8bce4d6f80675390dcf64b65872f29923797034f2bc
