cluster_id,truth_set,generation_mechanism,parameter_hash,observation_hash,same_theta_distance,profile_distance,profile_equivalent,tau_exact,tau_profile,independent
stage4a7_2_nonunique_0019,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,991c608fcd21721d4ff01bd17f38557e6f2b8e53d5952a16f6a76bd6c9327329,9a3d5127f77e9740629384b8ad9df99ce89e26cef25bdade675db870280d0988,1.07804047201822e-16,9.69396300454724e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0020,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,8527fbd29f01f669395e022d06c3b171d0e8171737e4b3fc0804b958a6c3df1d,c4b4d95d2cd0aee4e3a78eaef1c6f6a9b3d9b24b32ab739b9728783a60f0f6c7,9.50775018111428e-17,8.9344475314642e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0021,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,32e49feec7d7f99bba2c91efef189ef5caa7353abb4bd9bed5b8bceebacc576e,c0f9a989be0e0c0972bc584d00a7193ee1b3dc302f09bdcbf7f54bfb29d62405,8.71262648531959e-17,7.54646387409956e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0022,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,6c36e33c40114f87d8506d897d8b04594ab52b53582e74dce490c33a662774f7,e6960aa3fe05b92e4a9327d514830cb0b3f5a4067cd267e9174f88bab91fbf99,8.55600339563071e-17,8.29906687804489e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0023,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,e0bab6718485f2f8eac2354bee677948d7af3eb96766f75a3f67bd56531261ae,d74a7bc15e6c366643d142518c8957c9c708c6b94b76728551056d31e2191157,9.59915678499172e-17,9.59915678499172e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0024,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,f9aa941d34dd243d77bb36fd78a1a41e1999a1f39a4f9826cd430f12fbcf37c3,4dd7fda8f4a29567f5b0f5a157b34ecf34c21674bcb57cb4e48513add58a7f10,8.69498727339255e-17,8.33016480616722e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0025,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,b8b43a5e84865b44d2b13622e20542b11620de25df9d61930cc521a32b3871a5,df8442db3624fbfa65a6d50cb151cfe0c37d9cdf89d6ede36f3b7136d5394285,1.11320142733487e-16,8.63940464559722e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0026,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,0451b8d3a3728b1f6bfbf0a1c9f13fcf7fc34955290a1f8ade91a674968bb469,f24fcb84384d39fdae241f15b07587859a8c670d741bbad478c4641296849312,7.25363492607132e-17,7.25363492607132e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0027,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,1b058c6a9ffe72a9a380905034fd0dd2f58f30e95b179eadb9d0b5942db8e451,1cd3fd18d1b3c49290b53b60973ba885a945d065cb033fb65e9b3e8fb8a7af61,9.83630271519283e-17,9.12572247555922e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0028,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,dfd43de4e524c71e9db2902310c50a0a8eb027685a6a20cbf67107493ad7c169,7e6b49830be5f589ec6c48b3590bcd4971bf6b59fed40391819fa7df9e7b6f85,1.06071531501881e-16,9.96550033917211e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0029,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,e203d35603e34897a2054d053874b7fcb892199110dc077876d09fa60064610d,0ccae941c6d655ca332d490655b1bb104174111d068df49d50f6f7d3ccebd9bd,8.98231559069523e-17,8.98231559069523e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0030,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,c6dff2c9c55640265e522c36bc2c40866711165f103a83c7531d9fa88bd49872,96bd0df823b02c3e327b3075f34909b9845efb4fd2bd871b0edb24d5daac54d1,7.99959880293376e-17,7.22991792573419e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0031,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,d8e70cd56f60ef661124a9b634f76fa0c6b0d07327ab69ea235d797683d611f3,f05be6526725744c1217cf8ef0ac39ac812c5adef8f0deb6d4c3724803c08262,1.00052458857637e-16,9.82125856755243e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0032,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,3168c63c5ae3ac861f74087e1d87859819b9b83664180c25f2d040f33c6e5eaf,7a098e11e663ac7891769757b22774ea35e860d9ae6db236897dcf5a8d207b3a,1.23830933879779e-16,1.0762785650145e-16,1,1e-10,1e-08,1
stage4a7_2_nonunique_0033,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,73b0ac48bacfaa8f7863f1cae71fc626adf1b32ef482788e28bce784a64ef544,079b3ec678211b8a3600eacb40241d26366d8ab50ce6ac26584d7fac32ca6078,9.77850253643474e-17,9.62042147162142e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0034,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,b3cba1803ac5e8333fbab67a69030f75793ba1d8eb426f94968990541d9da28d,b4a86022423dd66c92800aa14f37b73c257da01356d75380bd3ad03e9ede6291,1.03333708817228e-16,8.90063291453575e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0035,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,e60f3dbe8c4b5a4734adcb4ce19674d9e56f9d47463b5ed9bb279b5b8ecee0d0,9e37359f345e95ae3c6a55a8cbc0fbacdea56be83e436c37b8019dcc992c6ccf,1.13190191928286e-16,1.02924622943267e-16,1,1e-10,1e-08,1
stage4a7_2_nonunique_0036,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,952ea757aa266f1eb123c73a29f79c7ada4af77edb4116a2f278d8518201c35c,3008b5b2e201207af75463c9ab42e95a05b7000c2c9b2b750913949e09fa596e,9.23443722926642e-17,8.68848202685814e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0037,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,bc010ba29e20b9a86bc671a8662c580e55aaeb28cd853303f0963dc62c871961,263361cc1065fdaf7e88a3b339ebb266690bbc720be6fccaccd5b66f66e3ffa0,8.86388266998553e-17,8.86388266998553e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0038,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,e795a08aec112fccdc213c4d2f446fb0c3261d31660d23059f5b3e038cf3dc14,84e9976e4966d007cbe5cf873d9285d6aaa485af37dff61e6f1612423907cae8,1.5592452090051e-16,7.20252039481423e-17,1,1e-10,1e-08,1
