method_id,category,metric_name,numerator,denominator,rate,ci_low,ci_high,calibration_hash,scientific_hash
absolute,parameter_ood,singleton_rate,21,21,1,0.845360981075153,1,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
scaled,parameter_ood,singleton_rate,21,21,1,0.845360981075153,1,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
ratio,parameter_ood,singleton_rate,21,21,1,0.845360981075153,1,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
margin,parameter_ood,singleton_rate,13,21,0.619047619047619,0.408786537751158,0.792489886314355,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
absolute_I,parameter_ood,singleton_rate,21,21,1,0.845360981075153,1,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
absolute,parameter_ood,empty_set_rate,0,21,0,0,0.154639018924847,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
scaled,parameter_ood,empty_set_rate,0,21,0,0,0.154639018924847,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
ratio,parameter_ood,empty_set_rate,0,21,0,0,0.154639018924847,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
margin,parameter_ood,empty_set_rate,4,21,0.19047619047619,0.0766756505276179,0.400005646902049,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
absolute_I,parameter_ood,empty_set_rate,0,21,0,0,0.154639018924847,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
absolute,parameter_ood,average_set_size,21,21,1,NaN,NaN,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
scaled,parameter_ood,average_set_size,21,21,1,NaN,NaN,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
ratio,parameter_ood,average_set_size,21,21,1,NaN,NaN,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
margin,parameter_ood,average_set_size,21,21,1,NaN,NaN,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
absolute_I,parameter_ood,average_set_size,21,21,1,NaN,NaN,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
absolute,structure_out,coverage,0,7,0,5.55111512312578e-17,0.354330435066687,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
scaled,structure_out,coverage,0,7,0,5.55111512312578e-17,0.354330435066687,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
ratio,structure_out,coverage,0,7,0,5.55111512312578e-17,0.354330435066687,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
margin,structure_out,coverage,0,7,0,5.55111512312578e-17,0.354330435066687,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
absolute_I,structure_out,coverage,0,7,0,5.55111512312578e-17,0.354330435066687,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
absolute,structure_out,singleton_rate,0,7,0,5.55111512312578e-17,0.354330435066687,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
scaled,structure_out,singleton_rate,0,7,0,5.55111512312578e-17,0.354330435066687,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
ratio,structure_out,singleton_rate,0,7,0,5.55111512312578e-17,0.354330435066687,3b680401eb20388b5f5144963b06d20c1322a8f2461963b3c65dc072f9d493af,4529de112934e19ea28be655771be49c9cd29ea926db1579ae209314d662025d
