dataset,scenario,sample,candidate_id,coarse_distance,exhaustive_distance,distance_error,coarse_best_template_index,exhaustive_best_template_index,coarse_pivot_index,global_in_local_window,coarse_pivot_distance
independent_test,scale_large,diagnostic_r002,G005,0.139178559362136,0.139178559362136,0,41,41,41,1,0.139178559362136
independent_test,scale_large,diagnostic_r002,G006,0.175731785878684,0.175731785878684,0,41,41,41,1,0.175731785878684
independent_test,scale_large,diagnostic_r002,G007,0.0999757067553426,0.0999757067553426,0,41,41,41,1,0.0999757067553426
independent_test,scale_large,diagnostic_r002,G008,0.17130014387964,0.17130014387964,0,41,41,41,1,0.17130014387964
independent_test,scale_large,diagnostic_r002,G009,0.201679343761949,0.201679343761949,0,41,41,41,1,0.201679343761949
independent_test,scale_large,diagnostic_r002,G010,0.130739907372286,0.130739907372286,0,41,41,41,1,0.130739907372286
independent_test,scale_large,diagnostic_r002,G011,0.150789313292956,0.150789313292956,0,41,41,41,1,0.150789313292956
independent_test,scale_large,diagnostic_r002,G012,0.178998396135645,0.178998396135645,0,41,41,41,1,0.178998396135645
independent_test,scale_large,diagnostic_r002,G013,0.139178559362136,0.139178559362136,0,41,41,41,1,0.139178559362136
independent_test,scale_large,diagnostic_r002,G014,0.192888787442838,0.192888787442838,0,41,41,41,1,0.192888787442838
independent_test,scale_large,diagnostic_r002,G015,0.216117698284291,0.216117698284291,0,41,41,41,1,0.216117698284291
independent_test,scale_large,diagnostic_r002,G016,0.17130014387964,0.17130014387964,0,41,41,41,1,0.17130014387964
independent_test,scale_large,diagnostic_r002,G017,0.215525933980069,0.215525933980069,0,41,41,41,1,0.215525933980069
independent_test,scale_large,diagnostic_r002,G018,0.147768264168674,0.147768264168674,0,41,41,41,1,0.147768264168674
independent_test,scale_large,diagnostic_r002,G019,0.178998396135645,0.178998396135645,0,41,41,41,1,0.178998396135645
independent_test,scale_large,diagnostic_r002,G020,0.203999271102126,0.203999271102126,0,41,41,41,1,0.203999271102126
independent_test,scale_large,diagnostic_r002,G021,0.175731785878684,0.175731785878684,0,41,41,41,1,0.175731785878684
independent_test,scale_large,diagnostic_r002,G022,0.216117698284291,0.216117698284291,0,41,41,41,1,0.216117698284291
independent_test,scale_large,diagnostic_r002,G023,0.201679343761949,0.201679343761949,0,41,41,41,1,0.201679343761949
