dataset,scenario,sample,observation_seed,candidate_count,true_main_scale_audit_only,baseline_truth_distance,baseline_truth_best_main_scale,baseline_truth_best_load_scale,stage7a_coarse_truth_distance,stage7a_coarse_truth_best_main_scale,stage7a_coarse_truth_best_load_scale,stage7a_exhaustive_truth_distance,stage7a_exhaustive_truth_best_main_scale,stage7a_exhaustive_truth_best_load_scale,exhaustive_minus_baseline_truth_distance,max_distance_error,truth_distance_error,top1_changed,candidate_set_changed,state_changed,coarse_state,exhaustive_state,coarse_set,exhaustive_set,global_outside_local_count,coarse_template_comparisons,exhaustive_template_comparisons,exhaustive_runtime_s
independent_test,scale_small,diagnostic_r001,402671101,3,1.0125447826926,0.076400041268761,1.02,1,0.120997001140184,1.025,1.1,0.120913186625966,1.025,1,0.0445131453572046,8.3814514218003e-05,8.3814514218003e-05,0,0,0,REJECTED,REJECTED,"","",1,75,180,0.001836
independent_test,scale_small,diagnostic_r002,402671102,3,1.0056766498927,0.0605791695040507,1,1,0.0604752162167045,1,1.1,0.0604752162167045,1,1.1,-0.000103953287346185,0,0,0,0,0,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,"G002","G002",0,80,180,0.002847
independent_test,scale_medium,diagnostic_r001,402671101,7,1.0125447826926,0.076400041268761,1.02,1,0.120997001140184,1.025,1.1,0.120913186625966,1.025,1,0.0445131453572046,8.3814514218003e-05,8.3814514218003e-05,0,0,0,REJECTED,REJECTED,"","",1,175,420,0.001525
independent_test,scale_medium,diagnostic_r002,402671102,7,1.0056766498927,0.0605791695040507,1,1,0.0604752162167045,1,1.1,0.0604752162167045,1,1.1,-0.000103953287346185,0,0,0,0,0,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,"G003","G003",0,180,420,0.000413
independent_test,scale_large,diagnostic_r001,402671101,23,1.0125447826926,0.076400041268761,1.02,1,0.120997001140184,1.025,1.1,0.120913186625966,1.025,1,0.0445131453572046,8.3814514218003e-05,8.3814514218003e-05,0,0,0,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,"G004","G004",1,575,1380,0.001345
independent_test,scale_large,diagnostic_r002,402671102,23,1.0056766498927,0.0605791695040507,1,1,0.0604752162167045,1,1.1,0.0604752162167045,1,1.1,-0.000103953287346185,0,0,0,0,0,LOW_CONFIDENCE,LOW_CONFIDENCE,"G004,G007","G004,G007",0,580,1380,0.000918
