split,scheme,flow,budget,n,correct_unique_k,false_unique_k,rejected_k,ambiguous_k,low_confidence_k,truth_generated_k,truth_not_generated_k,truth_pruned_k,truth_active_k,truth_in_set_k,nonempty_set_k,truncated_k,mean_set_size,mean_scored_candidates,mean_optimizer_evaluations,mean_wall_clock_s,correct_unique_low,correct_unique_high,false_unique_low,false_unique_high
T_inlib,H50,B,0,60,41,0,1,0,18,0,0,0,60,60,60,0,1,3,119.783333333333,0.03656495,0.557662329738233,0.786941324476335,0,0.0601718521420896
T_old_out,H50,B,0,40,0,5,30,0,5,0,40,0,0,0,40,0,1,3,112.875,0.0346736,0,0.0876216011972863,0.0545950025094541,0.261121198388511
T_reachable,H50,B,0,20,0,0,20,0,0,0,20,0,0,0,20,0,1,3,133.3,0.04227515,0,0.161125158052819,0,0.161125158052819
T_grammar_out,H50,B,0,20,0,0,20,0,0,0,0,0,0,0,20,0,1,3,131.1,0.04113085,0,0.161125158052819,0,0.161125158052819
T_domain,H50,B,0,20,0,0,20,0,0,0,0,0,20,20,20,0,1,3,216,0.0637368,0,0.161125158052819,0,0.161125158052819
T_inlib,H50,C,17,60,19,0,1,15,25,0,0,0,60,56,60,0,1.25,11.4,924.666666666667,0.3282167,0.213058675523665,0.442337670261767,0,0.0601718521420896
T_old_out,H50,C,17,40,0,0,0,20,20,40,0,0,40,35,40,0,1.5,13.975,917.625,0.335221675,0,0.0876216011972863,0,0.0876216011972863
T_reachable,H50,C,17,20,0,0,0,10,10,20,0,0,20,20,20,0,1.5,15,989.4,0.3640687,0,0.161125158052819,0,0.161125158052819
T_grammar_out,H50,C,17,20,0,0,20,0,0,0,0,0,0,0,20,0,1.45,12,1038.65,0.363528,0,0.161125158052819,0,0.161125158052819
T_domain,H50,C,17,20,0,0,20,0,0,0,0,0,20,0,20,0,1.2,14.6,1915.2,0.6989357,0,0.161125158052819,0,0.161125158052819
T_inlib,Zin50,B,0,60,57,0,3,0,0,0,0,0,60,60,60,0,1,3,139.85,0.0431764666666667,0.862994835236515,0.982850497835604,0,0.0601718521420896
T_old_out,Zin50,B,0,40,0,0,40,0,0,0,40,0,0,0,40,0,1,3,152.3,0.04643405,0,0.0876216011972863,0,0.0876216011972863
T_reachable,Zin50,B,0,20,0,0,20,0,0,0,20,0,0,0,20,0,1,3,161.85,0.05097215,0,0.161125158052819,0,0.161125158052819
T_grammar_out,Zin50,B,0,20,0,0,20,0,0,0,0,0,0,0,20,0,1,3,144.1,0.0435135,0,0.161125158052819,0,0.161125158052819
T_domain,Zin50,B,0,20,0,0,20,0,0,0,0,0,20,20,20,0,1,3,163.3,0.0491951,0,0.161125158052819,0,0.161125158052819
T_inlib,Zin50,C,17,60,57,0,3,0,0,0,0,0,60,60,60,0,1,12.4333333333333,1033.6,0.369517966666667,0.862994835236515,0.982850497835604,0,0.0601718521420896
T_old_out,Zin50,C,17,40,39,0,1,0,0,40,0,0,40,40,40,0,1,13,1112.025,0.403782475,0.871186310365259,0.995573168497319,0,0.0876216011972863
T_reachable,Zin50,C,17,20,19,0,1,0,0,20,0,0,20,20,20,0,1,14,1198.55,0.43326825,0.763868806553258,0.991118551199204,0,0.161125158052819
T_grammar_out,Zin50,C,17,20,0,0,20,0,0,0,0,0,0,0,20,0,1,12,1143.6,0.41023115,0,0.161125158052819,0,0.161125158052819
T_domain,Zin50,C,17,20,0,0,20,0,0,0,0,0,20,10,20,0,1,13.5,1421.9,0.51849035,0,0.161125158052819,0,0.161125158052819
T_inlib,H50_Zin50,B,0,60,55,0,5,0,0,0,0,0,60,60,60,0,1,3,139.816666666667,0.0421123166666667,0.819310579816656,0.963879543398269,0,0.0601718521420896
T_old_out,H50_Zin50,B,0,40,0,0,40,0,0,0,40,0,0,0,40,0,1,3,152.35,0.046412225,0,0.0876216011972863,0,0.0876216011972863
T_reachable,H50_Zin50,B,0,20,0,0,20,0,0,0,20,0,0,0,20,0,1,3,161.95,0.04905405,0,0.161125158052819,0,0.161125158052819
T_grammar_out,H50_Zin50,B,0,20,0,0,20,0,0,0,0,0,0,0,20,0,1,3,144.3,0.04362775,0,0.161125158052819,0,0.161125158052819
T_domain,H50_Zin50,B,0,20,0,0,20,0,0,0,0,0,20,20,20,0,1,3,163.9,0.05324115,0,0.161125158052819,0,0.161125158052819
T_inlib,H50_Zin50,C,17,60,55,0,5,0,0,0,0,0,60,60,60,0,1,12.4,1032.08333333333,0.368118716666667,0.819310579816656,0.963879543398269,0,0.0601718521420896
T_old_out,H50_Zin50,C,17,40,40,0,0,0,0,40,0,0,40,40,40,0,1,13,1110.875,0.4038078,0.912378398802714,1,0,0.0876216011972863
T_reachable,H50_Zin50,C,17,20,20,0,0,0,0,20,0,0,20,20,20,0,1,14,1199.15,0.4283835,0.838874841947181,1,0,0.161125158052819
T_grammar_out,H50_Zin50,C,17,20,0,0,20,0,0,0,0,0,0,0,20,0,1,12,1141.3,0.4033669,0,0.161125158052819,0,0.161125158052819
T_domain,H50_Zin50,C,17,20,0,0,20,0,0,0,0,0,20,10,20,0,1,13.5,1423.9,0.53437365,0,0.161125158052819,0,0.161125158052819
