split,scenario,scheme,flow,budget,n,correct_unique_k,false_unique_k,rejected_k,ambiguous_k,low_confidence_k,generated_k,active_k,truth_in_set_k,correct_unique_low,correct_unique_high,false_unique_low,false_unique_high
T_inlib,G001,H50_Zin50,B,0,20,15,0,5,0,0,0,20,20,0.531299122381256,0.888138298592334,0,0.161125158052819
T_inlib,G002,H50_Zin50,B,0,20,20,0,0,0,0,0,20,20,0.838874841947181,1,0,0.161125158052819
T_inlib,G003,H50_Zin50,B,0,20,20,0,0,0,0,0,20,20,0.838874841947181,1,0,0.161125158052819
T_old_out,MIRROR_M3,H50_Zin50,B,0,10,0,0,10,0,0,0,0,0,0,0.277532799862888,0,0.277532799862888
T_old_out,ADD_M1_M3,H50_Zin50,B,0,10,0,0,10,0,0,0,0,0,0,0.277532799862888,0,0.277532799862888
T_old_out,ADD_M2_M3,H50_Zin50,B,0,10,0,0,10,0,0,0,0,0,0,0.277532799862888,0,0.277532799862888
T_old_out,DOUBLE_M3,H50_Zin50,B,0,10,0,0,10,0,0,0,0,0,0,0.277532799862888,0,0.277532799862888
T_reachable,EXT_111,H50_Zin50,B,0,10,0,0,10,0,0,0,0,0,0,0.277532799862888,0,0.277532799862888
T_reachable,EXT_021,H50_Zin50,B,0,10,0,0,10,0,0,0,0,0,0,0.277532799862888,0,0.277532799862888
T_grammar_out,MID30,H50_Zin50,B,0,10,0,0,10,0,0,0,0,0,0,0.277532799862888,0,0.277532799862888
T_grammar_out,MID50,H50_Zin50,B,0,10,0,0,10,0,0,0,0,0,0,0.277532799862888,0,0.277532799862888
T_domain,G002_domain_out,H50_Zin50,B,0,10,0,0,10,0,0,0,10,10,0,0.277532799862888,0,0.277532799862888
T_domain,G003_domain_out,H50_Zin50,B,0,10,0,0,10,0,0,0,10,10,0,0.277532799862888,0,0.277532799862888
T_inlib,G001,H50_Zin50,C,3,20,0,0,5,0,15,0,20,20,0,0.161125158052819,0,0.161125158052819
T_inlib,G002,H50_Zin50,C,3,20,0,0,0,0,20,0,20,20,0,0.161125158052819,0,0.161125158052819
T_inlib,G003,H50_Zin50,C,3,20,0,0,0,0,20,0,20,20,0,0.161125158052819,0,0.161125158052819
T_old_out,MIRROR_M3,H50_Zin50,C,3,10,0,0,10,0,0,0,0,0,0,0.277532799862888,0,0.277532799862888
T_old_out,ADD_M1_M3,H50_Zin50,C,3,10,0,0,10,0,0,0,0,0,0,0.277532799862888,0,0.277532799862888
T_old_out,ADD_M2_M3,H50_Zin50,C,3,10,0,0,10,0,0,0,0,0,0,0.277532799862888,0,0.277532799862888
T_old_out,DOUBLE_M3,H50_Zin50,C,3,10,0,0,10,0,0,0,0,0,0,0.277532799862888,0,0.277532799862888
T_reachable,EXT_111,H50_Zin50,C,3,10,0,0,10,0,0,0,0,0,0,0.277532799862888,0,0.277532799862888
T_reachable,EXT_021,H50_Zin50,C,3,10,0,0,10,0,0,0,0,0,0,0.277532799862888,0,0.277532799862888
T_grammar_out,MID30,H50_Zin50,C,3,10,0,0,10,0,0,0,0,0,0,0.277532799862888,0,0.277532799862888
T_grammar_out,MID50,H50_Zin50,C,3,10,0,0,10,0,0,0,0,0,0,0.277532799862888,0,0.277532799862888
T_domain,G002_domain_out,H50_Zin50,C,3,10,0,0,10,0,0,0,10,10,0,0.277532799862888,0,0.277532799862888
T_domain,G003_domain_out,H50_Zin50,C,3,10,0,0,10,0,0,0,10,10,0,0.277532799862888,0,0.277532799862888
