scenario,scheme,stage,library,truth_group,n,truth_in_library_n,truth_set_covered_k,truth_set_coverage,coverage_low95,coverage_high95,mean_set_size,correct_unique_k,correct_unique_rate,correct_unique_low95,correct_unique_high95,false_unique_k,false_unique_rate,false_unique_low95,false_unique_high95,unique_k,ambiguous_k,low_confidence_k,rejected_k,nonempty_set_k,nonempty_set_rate,measurement_count,receiver_port_count,changes_termination
T10,A1_H_Zin_100,A1,diagnostic_pair,G003,100,100,92,0.92,0.850018922990513,0.958906538515619,0.92,92,0.92,0.850018922990513,0.958906538515619,0,0,0,0.0369934982069855,92,0,0,8,92,0.92,1,1,1
T10,A1_H_Zin_100,A1,diagnostic_pair,MIRROR_M3,100,100,88,0.88,0.801879005732886,0.930005935629805,0.88,80,0.8,0.711170834406841,0.866633066668967,0,0,0,0.0369934982069855,80,0,0,20,88,0.88,1,1,1
T10,A1_H_Zin_100,A1,original_three,ALL,400,300,286,0.953333333333333,0.923202639772079,0.972001066317666,0.715,279,0.6975,0.650782007821849,0.740460635916104,0,0,0,0.00951229433429647,279,0,0,121,286,0.715,1,1,1
T10,A1_H_Zin_100,A1,original_three,G001,100,100,96,0.96,0.901629285641121,0.984336696008452,0.96,96,0.96,0.901629285641121,0.984336696008452,0,0,0,0.0369934982069855,96,0,0,4,96,0.96,1,1,1
T10,A1_H_Zin_100,A1,original_three,G002,100,100,98,0.98,0.929988209271456,0.994498032449838,0.98,91,0.91,0.837737871472837,0.951927459997435,0,0,0,0.0369934982069855,91,0,0,9,98,0.98,1,1,1
T10,A1_H_Zin_100,A1,original_three,G003,100,100,92,0.92,0.850018922990513,0.958906538515619,0.92,92,0.92,0.850018922990513,0.958906538515619,0,0,0,0.0369934982069855,92,0,0,8,92,0.92,1,1,1
T10,A1_H_Zin_100,A1,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,0,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,0,100,0,0,1,1,1
T10,A1_H_200,A1,diagnostic_pair,ALL,200,200,68,0.34,0.277915459709088,0.408115044731637,0.415,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,0,15,53,132,68,0.34,1,1,1
T10,A1_H_200,A1,diagnostic_pair,G003,100,100,31,0.31,0.227796972123761,0.406260557194894,0.39,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,8,23,69,31,0.31,1,1,1
T10,A1_H_200,A1,diagnostic_pair,MIRROR_M3,100,100,37,0.37,0.281823605343246,0.467794704190571,0.44,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,7,30,63,37,0.37,1,1,1
T10,A1_H_200,A1,original_three,ALL,400,300,121,0.403333333333333,0.349382170080152,0.459728804356594,0.33,9,0.0225,0.011881583530495,0.0422026575587581,0,0,0,0.00951229433429647,9,4,104,283,128,0.32,1,1,1
T10,A1_H_200,A1,original_three,G001,100,100,40,0.4,0.309401286432459,0.497997413208938,0.4,9,0.09,0.0480725400025652,0.162262128527163,0,0,0,0.0369934982069855,9,0,20,71,40,0.4,1,1,1
T10,A1_H_200,A1,original_three,G002,100,100,50,0.5,0.403831530365996,0.596168469634004,0.5,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,50,50,50,0.5,1,1,1
T10,A1_H_200,A1,original_three,G003,100,100,31,0.31,0.227796972123761,0.406260557194894,0.33,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,2,29,69,31,0.31,1,1,1
T10,A1_H_200,A1,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,0.09,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,2,5,93,7,0.07,1,1,1
T10,A1_Zin_200,A1,diagnostic_pair,ALL,200,200,182,0.91,0.862234281232835,0.942312551137807,0.91,181,0.905,0.856398388351801,0.938336897282613,0,0,0,0.0188453263772665,181,0,0,19,182,0.91,1,1,1
T10,A1_Zin_200,A1,diagnostic_pair,G003,100,100,94,0.94,0.875231845541041,0.972213876036812,0.94,94,0.94,0.875231845541041,0.972213876036812,0,0,0,0.0369934982069855,94,0,0,6,94,0.94,1,1,1
T10,A1_Zin_200,A1,diagnostic_pair,MIRROR_M3,100,100,88,0.88,0.801879005732886,0.930005935629805,0.88,87,0.87,0.790196485599236,0.922428325727595,0,0,0,0.0369934982069855,87,0,0,13,88,0.88,1,1,1
T10,A1_Zin_200,A1,original_three,ALL,400,300,289,0.963333333333333,0.935546151828107,0.979404694837147,0.7225,283,0.7075,0.661114424008116,0.749937973843151,0,0,0,0.00951229433429647,283,0,0,117,289,0.7225,1,1,1
T10,A1_Zin_200,A1,original_three,G001,100,100,96,0.96,0.901629285641121,0.984336696008452,0.96,96,0.96,0.901629285641121,0.984336696008452,0,0,0,0.0369934982069855,96,0,0,4,96,0.96,1,1,1
T10,A1_Zin_200,A1,original_three,G002,100,100,99,0.99,0.945513803821295,0.998232567935859,0.99,93,0.93,0.862504852609265,0.965680738932727,0,0,0,0.0369934982069855,93,0,0,7,99,0.99,1,1,1
T10,A1_Zin_200,A1,original_three,G003,100,100,94,0.94,0.875231845541041,0.972213876036812,0.94,94,0.94,0.875231845541041,0.972213876036812,0,0,0,0.0369934982069855,94,0,0,6,94,0.94,1,1,1
T10,A1_Zin_200,A1,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,0,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,0,100,0,0,1,1,1
T10,A1_H_Zin_200,A1,diagnostic_pair,ALL,200,200,181,0.905,0.856398388351801,0.938336897282613,0.905,181,0.905,0.856398388351801,0.938336897282613,0,0,0,0.0188453263772665,181,0,0,19,181,0.905,1,1,1
T10,A1_H_Zin_200,A1,diagnostic_pair,G003,100,100,94,0.94,0.875231845541041,0.972213876036812,0.94,94,0.94,0.875231845541041,0.972213876036812,0,0,0,0.0369934982069855,94,0,0,6,94,0.94,1,1,1
T10,A1_H_Zin_200,A1,diagnostic_pair,MIRROR_M3,100,100,87,0.87,0.790196485599236,0.922428325727595,0.87,87,0.87,0.790196485599236,0.922428325727595,0,0,0,0.0369934982069855,87,0,0,13,87,0.87,1,1,1
T10,A1_H_Zin_200,A1,original_three,ALL,400,300,287,0.956666666666667,0.927282534365989,0.974503551915593,0.7175,281,0.7025,0.655945064886061,0.745202455908549,0,0,0,0.00951229433429647,281,0,0,119,287,0.7175,1,1,1
T10,A1_H_Zin_200,A1,original_three,G001,100,100,94,0.94,0.875231845541041,0.972213876036812,0.94,94,0.94,0.875231845541041,0.972213876036812,0,0,0,0.0369934982069855,94,0,0,6,94,0.94,1,1,1
T10,A1_H_Zin_200,A1,original_three,G002,100,100,99,0.99,0.945513803821295,0.998232567935859,0.99,93,0.93,0.862504852609265,0.965680738932727,0,0,0,0.0369934982069855,93,0,0,7,99,0.99,1,1,1
T10,A1_H_Zin_200,A1,original_three,G003,100,100,94,0.94,0.875231845541041,0.972213876036812,0.94,94,0.94,0.875231845541041,0.972213876036812,0,0,0,0.0369934982069855,94,0,0,6,94,0.94,1,1,1
T10,A1_H_Zin_200,A1,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,0,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,0,100,0,0,1,1,1
T10,B_H50_repeat,B,diagnostic_pair,ALL,200,200,86,0.43,0.363343223334344,0.499295122358473,0.87,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,0,80,14,106,94,0.47,2,1,0
T10,B_H50_repeat,B,diagnostic_pair,G003,100,100,48,0.48,0.384645517580519,0.57683422234776,0.9,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,42,6,52,48,0.48,2,1,0
T10,B_H50_repeat,B,diagnostic_pair,MIRROR_M3,100,100,38,0.38,0.290975992524788,0.477902447044889,0.84,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,38,8,54,46,0.46,2,1,0
T10,B_H50_repeat,B,original_three,ALL,400,300,164,0.546666666666667,0.490098475139292,0.602054847546417,0.525,15,0.0375,0.0228550298147109,0.0609438424445133,0,0,0,0.00951229433429647,15,0,177,208,210,0.525,2,1,0
T10,B_H50_repeat,B,original_three,G001,100,100,56,0.56,0.46228104651677,0.653279733698392,0.56,15,0.15,0.0930598528365664,0.232835595908323,0,0,0,0.0369934982069855,15,0,23,62,56,0.56,2,1,0
T10,B_H50_repeat,B,original_three,G002,100,100,60,0.6,0.502002586791062,0.690598713567541,0.6,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,60,40,60,0.6,2,1,0
T10,B_H50_repeat,B,original_three,G003,100,100,48,0.48,0.384645517580519,0.57683422234776,0.48,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,48,52,48,0.48,2,1,0
T10,B_H50_repeat,B,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,0.46,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,46,54,46,0.46,2,1,0
T10,B_H50_Hsecond,B,diagnostic_pair,ALL,200,200,71,0.355,0.291986275404312,0.423478869245096,0.595,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,0,48,23,129,71,0.355,2,1,1
T10,B_H50_Hsecond,B,diagnostic_pair,G003,100,100,37,0.37,0.281823605343246,0.467794704190571,0.6,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,23,14,63,37,0.37,2,1,1
T10,B_H50_Hsecond,B,diagnostic_pair,MIRROR_M3,100,100,34,0.34,0.254615207973482,0.437222711452754,0.59,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,25,9,66,34,0.34,2,1,1
T10,B_H50_Hsecond,B,original_three,ALL,400,300,141,0.47,0.414258811659405,0.526499766614068,0.415,10,0.025,0.013635091745936,0.0454015878716456,0,0,0,0.00951229433429647,10,0,139,251,166,0.415,2,1,1
T10,B_H50_Hsecond,B,original_three,G001,100,100,51,0.51,0.413480119340272,0.605780010695589,0.51,10,0.1,0.0552291370606752,0.174365661504913,0,0,0,0.0369934982069855,10,0,24,66,51,0.51,2,1,1
T10,B_H50_Hsecond,B,original_three,G002,100,100,53,0.53,0.432888569700994,0.624891820406587,0.53,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,53,47,53,0.53,2,1,1
T10,B_H50_Hsecond,B,original_three,G003,100,100,37,0.37,0.281823605343246,0.467794704190571,0.37,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,37,63,37,0.37,2,1,1
T10,B_H50_Hsecond,B,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,0.25,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,25,75,25,0.25,2,1,1
T10,C_Hendpoint_loaded,C,diagnostic_pair,ALL,200,200,88,0.44,0.372978192511859,0.509283246653413,0.89,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,0,79,16,105,99,0.495,1,2,0
T10,C_Hendpoint_loaded,C,diagnostic_pair,G003,100,100,48,0.48,0.384645517580519,0.57683422234776,0.87,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,39,8,53,48,0.48,1,2,0
T10,C_Hendpoint_loaded,C,diagnostic_pair,MIRROR_M3,100,100,40,0.4,0.309401286432459,0.497997413208938,0.91,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,40,8,52,51,0.51,1,2,0
T10,C_Hendpoint_loaded,C,original_three,ALL,400,300,157,0.523333333333333,0.466878323217167,0.579198338125687,0.52,15,0.0375,0.0228550298147109,0.0609438424445133,0,0,0,0.00951229433429647,15,0,176,209,208,0.52,1,2,0
T10,C_Hendpoint_loaded,C,original_three,G001,100,100,53,0.53,0.432888569700994,0.624891820406587,0.53,15,0.15,0.0930598528365664,0.232835595908323,0,0,0,0.0369934982069855,15,0,21,64,53,0.53,1,2,0
T10,C_Hendpoint_loaded,C,original_three,G002,100,100,56,0.56,0.46228104651677,0.653279733698392,0.56,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,56,44,56,0.56,1,2,0
T10,C_Hendpoint_loaded,C,original_three,G003,100,100,48,0.48,0.384645517580519,0.57683422234776,0.48,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,48,52,48,0.48,1,2,0
T10,C_Hendpoint_loaded,C,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,0.51,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,51,49,51,0.51,1,2,0
T10,C_Hnode,C,diagnostic_pair,ALL,200,200,10,0.05,0.027382645600764,0.0895781481387759,0.05,9,0.045,0.023852543001493,0.0832967040018195,0,0,0,0.0188453263772665,9,0,0,191,10,0.05,1,2,0
T10,C_Hnode,C,diagnostic_pair,G003,100,100,7,0.07,0.0343192610672727,0.137495147390735,0.07,7,0.07,0.0343192610672727,0.137495147390735,0,0,0,0.0369934982069855,7,0,0,93,7,0.07,1,2,0
T10,C_Hnode,C,diagnostic_pair,MIRROR_M3,100,100,3,0.03,0.0102545240240389,0.0845193642905274,0.03,2,0.02,0.00550196755016236,0.0700117907285438,0,0,0,0.0369934982069855,2,0,0,98,3,0.03,1,2,0
T10,C_Hnode,C,original_three,ALL,400,300,28,0.0933333333333333,0.065364219578891,0.131585397017073,0.07,1,0.0025,0.000441447786801636,0.0140232850758234,0,0,0,0.00951229433429647,1,0,13,386,28,0.07,1,2,0
T10,C_Hnode,C,original_three,G001,100,100,21,0.21,0.141656540619153,0.299799688340898,0.21,1,0.01,0.00176743206414065,0.0544861961787052,0,0,0,0.0369934982069855,1,0,6,93,21,0.21,1,2,0
T10,C_Hnode,C,original_three,G002,100,100,0,0,0,0.0369934982069855,0,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,0,100,0,0,1,2,0
T10,C_Hnode,C,original_three,G003,100,100,7,0.07,0.0343192610672727,0.137495147390735,0.07,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,7,93,7,0.07,1,2,0
T10,C_Hnode,C,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,0,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,0,100,0,0,1,2,0
T10,C_Hendpoint_Hnode,C,diagnostic_pair,ALL,200,200,46,0.23,0.177093432590688,0.293083043653036,0.23,9,0.045,0.023852543001493,0.0832967040018195,0,0,0,0.0188453263772665,9,0,36,155,46,0.23,1,2,0
T10,C_Hendpoint_Hnode,C,diagnostic_pair,G003,100,100,33,0.33,0.245631227341281,0.426946562049095,0.33,9,0.09,0.0480725400025652,0.162262128527163,0,0,0,0.0369934982069855,9,0,24,67,33,0.33,1,2,0
T10,C_Hendpoint_Hnode,C,diagnostic_pair,MIRROR_M3,100,100,13,0.13,0.0775716742724052,0.209803514400764,0.13,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,12,88,13,0.13,1,2,0
T10,C_Hendpoint_Hnode,C,original_three,ALL,400,300,105,0.35,0.298232002522354,0.40556088884501,0.2625,7,0.0175,0.00850229110703811,0.035677072925558,0,0,0,0.00951229433429647,7,0,85,308,105,0.2625,1,2,0
T10,C_Hendpoint_Hnode,C,original_three,G001,100,100,38,0.38,0.290975992524788,0.477902447044889,0.38,7,0.07,0.0343192610672727,0.137495147390735,0,0,0,0.0369934982069855,7,0,18,75,38,0.38,1,2,0
T10,C_Hendpoint_Hnode,C,original_three,G002,100,100,34,0.34,0.254615207973482,0.437222711452754,0.34,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,34,66,34,0.34,1,2,0
T10,C_Hendpoint_Hnode,C,original_three,G003,100,100,33,0.33,0.245631227341281,0.426946562049095,0.33,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,33,67,33,0.33,1,2,0
T10,C_Hendpoint_Hnode,C,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,0,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,0,100,0,0,1,2,0
T_first_segment_asymmetry,A0_H50,A0,diagnostic_pair,ALL,100,100,94,0.94,0.875231845541041,0.972213876036812,1.85,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,89,5,6,96,0.96,1,1,0
T_first_segment_asymmetry,A0_H50,A0,diagnostic_pair,G003,50,50,46,0.92,0.811617530816572,0.968450485911407,1.8,0,0,0,0.0713475991333584,0,0,0,0.0713475991333584,0,42,4,4,48,0.96,1,1,0
T_first_segment_asymmetry,A0_H50,A0,diagnostic_pair,MIRROR_M3,50,50,48,0.96,0.86539909312493,0.98896111567238,1.9,0,0,0,0.0713475991333584,0,0,0,0.0713475991333584,0,47,1,2,48,0.96,1,1,0
T_first_segment_asymmetry,A0_H50,A0,original_three,ALL,200,150,140,0.933333333333333,0.881637644883941,0.963388143330393,0.935,67,0.335,0.273240869784163,0.402978087920335,7,0.035,0.0170555420085672,0.0704706115222906,74,0,101,25,187,0.935,1,1,0
T_first_segment_asymmetry,A0_H50,A0,original_three,G001,50,50,48,0.96,0.86539909312493,0.98896111567238,0.96,36,0.72,0.583348763040435,0.825258293340888,0,0,0,0.0713475991333584,36,0,0,14,48,0.96,1,1,0
T_first_segment_asymmetry,A0_H50,A0,original_three,G002,50,50,46,0.92,0.811617530816572,0.968450485911407,0.92,19,0.38,0.258627893101936,0.51849553069007,0,0,0,0.0713475991333584,19,0,27,4,46,0.92,1,1,0
T_first_segment_asymmetry,A0_H50,A0,original_three,G003,50,50,46,0.92,0.811617530816572,0.968450485911407,0.92,12,0.24,0.142973913969917,0.374126837579429,0,0,0,0.0713475991333584,12,0,34,4,46,0.92,1,1,0
T_first_segment_asymmetry,A0_H50,A0,original_three,MIRROR_M3,50,0,0,NaN,NaN,NaN,0.94,0,0,0,0.0713475991333584,7,0.14,0.069508334270163,0.261861937105855,7,0,40,3,47,0.94,1,1,0
T_first_segment_asymmetry,A0_Zin50,A0,diagnostic_pair,ALL,100,100,98,0.98,0.929988209271456,0.994498032449838,0.98,97,0.97,0.915480635709472,0.989745475975961,0,0,0,0.0369934982069855,97,0,0,3,98,0.98,1,1,0
T_first_segment_asymmetry,A0_Zin50,A0,diagnostic_pair,G003,50,50,48,0.96,0.86539909312493,0.98896111567238,0.96,47,0.94,0.837829083111618,0.979385029651026,0,0,0,0.0713475991333584,47,0,0,3,48,0.96,1,1,0
T_first_segment_asymmetry,A0_Zin50,A0,diagnostic_pair,MIRROR_M3,50,50,50,1,0.928652400866641,1,1,50,1,0.928652400866641,1,0,0,0,0.0713475991333584,50,0,0,0,50,1,1,1,0
T_first_segment_asymmetry,A0_Zin50,A0,original_three,ALL,200,150,143,0.953333333333333,0.906813527600873,0.977213450838738,0.715,130,0.65,0.581634643360401,0.712711758726419,0,0,0,0.0188453263772665,130,0,0,70,143,0.715,1,1,0
T_first_segment_asymmetry,A0_Zin50,A0,original_three,G001,50,50,48,0.96,0.86539909312493,0.98896111567238,0.96,35,0.7,0.562496495355466,0.80896446499119,0,0,0,0.0713475991333584,35,0,0,15,48,0.96,1,1,0
T_first_segment_asymmetry,A0_Zin50,A0,original_three,G002,50,50,47,0.94,0.837829083111618,0.979385029651026,0.94,47,0.94,0.837829083111618,0.979385029651026,0,0,0,0.0713475991333584,47,0,0,3,47,0.94,1,1,0
T_first_segment_asymmetry,A0_Zin50,A0,original_three,G003,50,50,48,0.96,0.86539909312493,0.98896111567238,0.96,48,0.96,0.86539909312493,0.98896111567238,0,0,0,0.0713475991333584,48,0,0,2,48,0.96,1,1,0
T_first_segment_asymmetry,A0_Zin50,A0,original_three,MIRROR_M3,50,0,0,NaN,NaN,NaN,0,0,0,0,0.0713475991333584,0,0,0,0.0713475991333584,0,0,0,50,0,0,1,1,0
T_first_segment_asymmetry,A0_H50_Zin50,A0,diagnostic_pair,ALL,100,100,98,0.98,0.929988209271456,0.994498032449838,0.98,97,0.97,0.915480635709472,0.989745475975961,0,0,0,0.0369934982069855,97,0,0,3,98,0.98,1,1,0
T_first_segment_asymmetry,A0_H50_Zin50,A0,diagnostic_pair,G003,50,50,48,0.96,0.86539909312493,0.98896111567238,0.96,47,0.94,0.837829083111618,0.979385029651026,0,0,0,0.0713475991333584,47,0,0,3,48,0.96,1,1,0
T_first_segment_asymmetry,A0_H50_Zin50,A0,diagnostic_pair,MIRROR_M3,50,50,50,1,0.928652400866641,1,1,50,1,0.928652400866641,1,0,0,0,0.0713475991333584,50,0,0,0,50,1,1,1,0
T_first_segment_asymmetry,A0_H50_Zin50,A0,original_three,ALL,200,150,143,0.953333333333333,0.906813527600873,0.977213450838738,0.715,130,0.65,0.581634643360401,0.712711758726419,0,0,0,0.0188453263772665,130,0,0,70,143,0.715,1,1,0
T_first_segment_asymmetry,A0_H50_Zin50,A0,original_three,G001,50,50,48,0.96,0.86539909312493,0.98896111567238,0.96,35,0.7,0.562496495355466,0.80896446499119,0,0,0,0.0713475991333584,35,0,0,15,48,0.96,1,1,0
T_first_segment_asymmetry,A0_H50_Zin50,A0,original_three,G002,50,50,47,0.94,0.837829083111618,0.979385029651026,0.94,47,0.94,0.837829083111618,0.979385029651026,0,0,0,0.0713475991333584,47,0,0,3,47,0.94,1,1,0
T_first_segment_asymmetry,A0_H50_Zin50,A0,original_three,G003,50,50,48,0.96,0.86539909312493,0.98896111567238,0.96,48,0.96,0.86539909312493,0.98896111567238,0,0,0,0.0713475991333584,48,0,0,2,48,0.96,1,1,0
T_first_segment_asymmetry,A0_H50_Zin50,A0,original_three,MIRROR_M3,50,0,0,NaN,NaN,NaN,0,0,0,0,0.0713475991333584,0,0,0,0.0713475991333584,0,0,0,50,0,0,1,1,0
T_first_segment_asymmetry,A1_H_12p5,A1,diagnostic_pair,ALL,100,100,99,0.99,0.945513803821295,0.998232567935859,1.87,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,87,8,5,99,0.99,1,1,1
T_first_segment_asymmetry,A1_H_12p5,A1,diagnostic_pair,G003,50,50,49,0.98,0.895045564103622,0.996460740728354,1.78,0,0,0,0.0713475991333584,0,0,0,0.0713475991333584,0,40,8,2,49,0.98,1,1,1
T_first_segment_asymmetry,A1_H_12p5,A1,diagnostic_pair,MIRROR_M3,50,50,50,1,0.928652400866641,1,1.96,0,0,0,0.0713475991333584,0,0,0,0.0713475991333584,0,47,0,3,50,1,1,1,1
T_first_segment_asymmetry,A1_H_12p5,A1,original_three,ALL,200,150,144,0.96,0.915486535783444,0.981540839397926,0.96,94,0.47,0.402047548732654,0.539083170849982,23,0.115,0.0778637323256196,0.166647168984876,117,0,63,20,192,0.96,1,1,1
T_first_segment_asymmetry,A1_H_12p5,A1,original_three,G001,50,50,48,0.96,0.86539909312493,0.98896111567238,0.96,36,0.72,0.583348763040435,0.825258293340888,0,0,0,0.0713475991333584,36,0,0,14,48,0.96,1,1,1
T_first_segment_asymmetry,A1_H_12p5,A1,original_three,G002,50,50,47,0.94,0.837829083111618,0.979385029651026,0.94,29,0.58,0.442334417685783,0.70624996645288,0,0,0,0.0713475991333584,29,0,18,3,47,0.94,1,1,1
T_first_segment_asymmetry,A1_H_12p5,A1,original_three,G003,50,50,49,0.98,0.895045564103622,0.996460740728354,0.98,29,0.58,0.442334417685783,0.70624996645288,0,0,0,0.0713475991333584,29,0,20,1,49,0.98,1,1,1
T_first_segment_asymmetry,A1_H_12p5,A1,original_three,MIRROR_M3,50,0,0,NaN,NaN,NaN,0.96,0,0,0,0.0713475991333584,23,0.46,0.329696521922244,0.596011286008425,23,0,25,2,48,0.96,1,1,1
T_first_segment_asymmetry,A1_Zin_12p5,A1,diagnostic_pair,ALL,100,100,96,0.96,0.901629285641121,0.984336696008452,0.96,91,0.91,0.837737871472837,0.951927459997435,0,0,0,0.0369934982069855,91,0,0,9,96,0.96,1,1,1
T_first_segment_asymmetry,A1_Zin_12p5,A1,diagnostic_pair,G003,50,50,47,0.94,0.837829083111618,0.979385029651026,0.94,42,0.84,0.71485783936965,0.916625793219666,0,0,0,0.0713475991333584,42,0,0,8,47,0.94,1,1,1
T_first_segment_asymmetry,A1_Zin_12p5,A1,diagnostic_pair,MIRROR_M3,50,50,49,0.98,0.895045564103622,0.996460740728354,0.98,49,0.98,0.895045564103622,0.996460740728354,0,0,0,0.0713475991333584,49,0,0,1,49,0.98,1,1,1
T_first_segment_asymmetry,A1_Zin_12p5,A1,original_three,ALL,200,150,139,0.926666666666667,0.87346420663296,0.958561184839615,0.695,128,0.64,0.571415281660031,0.703308026954334,0,0,0,0.0188453263772665,128,0,0,72,139,0.695,1,1,1
T_first_segment_asymmetry,A1_Zin_12p5,A1,original_three,G001,50,50,46,0.92,0.811617530816572,0.968450485911407,0.92,35,0.7,0.562496495355466,0.80896446499119,0,0,0,0.0713475991333584,35,0,0,15,46,0.92,1,1,1
T_first_segment_asymmetry,A1_Zin_12p5,A1,original_three,G002,50,50,46,0.92,0.811617530816572,0.968450485911407,0.92,46,0.92,0.811617530816572,0.968450485911407,0,0,0,0.0713475991333584,46,0,0,4,46,0.92,1,1,1
T_first_segment_asymmetry,A1_Zin_12p5,A1,original_three,G003,50,50,47,0.94,0.837829083111618,0.979385029651026,0.94,47,0.94,0.837829083111618,0.979385029651026,0,0,0,0.0713475991333584,47,0,0,3,47,0.94,1,1,1
T_first_segment_asymmetry,A1_Zin_12p5,A1,original_three,MIRROR_M3,50,0,0,NaN,NaN,NaN,0,0,0,0,0.0713475991333584,0,0,0,0.0713475991333584,0,0,0,50,0,0,1,1,1
T_first_segment_asymmetry,A1_H_Zin_12p5,A1,diagnostic_pair,ALL,100,100,96,0.96,0.901629285641121,0.984336696008452,0.96,91,0.91,0.837737871472837,0.951927459997435,0,0,0,0.0369934982069855,91,0,0,9,96,0.96,1,1,1
T_first_segment_asymmetry,A1_H_Zin_12p5,A1,diagnostic_pair,G003,50,50,47,0.94,0.837829083111618,0.979385029651026,0.94,42,0.84,0.71485783936965,0.916625793219666,0,0,0,0.0713475991333584,42,0,0,8,47,0.94,1,1,1
T_first_segment_asymmetry,A1_H_Zin_12p5,A1,diagnostic_pair,MIRROR_M3,50,50,49,0.98,0.895045564103622,0.996460740728354,0.98,49,0.98,0.895045564103622,0.996460740728354,0,0,0,0.0713475991333584,49,0,0,1,49,0.98,1,1,1
T_first_segment_asymmetry,A1_H_Zin_12p5,A1,original_three,ALL,200,150,139,0.926666666666667,0.87346420663296,0.958561184839615,0.695,128,0.64,0.571415281660031,0.703308026954334,0,0,0,0.0188453263772665,128,0,0,72,139,0.695,1,1,1
T_first_segment_asymmetry,A1_H_Zin_12p5,A1,original_three,G001,50,50,46,0.92,0.811617530816572,0.968450485911407,0.92,35,0.7,0.562496495355466,0.80896446499119,0,0,0,0.0713475991333584,35,0,0,15,46,0.92,1,1,1
T_first_segment_asymmetry,A1_H_Zin_12p5,A1,original_three,G002,50,50,46,0.92,0.811617530816572,0.968450485911407,0.92,46,0.92,0.811617530816572,0.968450485911407,0,0,0,0.0713475991333584,46,0,0,4,46,0.92,1,1,1
T_first_segment_asymmetry,A1_H_Zin_12p5,A1,original_three,G003,50,50,47,0.94,0.837829083111618,0.979385029651026,0.94,47,0.94,0.837829083111618,0.979385029651026,0,0,0,0.0713475991333584,47,0,0,3,47,0.94,1,1,1
T_first_segment_asymmetry,A1_H_Zin_12p5,A1,original_three,MIRROR_M3,50,0,0,NaN,NaN,NaN,0,0,0,0,0.0713475991333584,0,0,0,0.0713475991333584,0,0,0,50,0,0,1,1,1
T_first_segment_asymmetry,A1_H_25,A1,diagnostic_pair,ALL,100,100,95,0.95,0.888249530768081,0.978456320845632,1.84,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,89,5,6,95,0.95,1,1,1
T_first_segment_asymmetry,A1_H_25,A1,diagnostic_pair,G003,50,50,45,0.9,0.786397685625204,0.95652423506811,1.74,0,0,0,0.0713475991333584,0,0,0,0.0713475991333584,0,42,3,5,45,0.9,1,1,1
