scenario,scheme,stage,library,truth_group,n,truth_in_library_n,truth_set_covered_k,truth_set_coverage,coverage_low95,coverage_high95,mean_set_size,correct_unique_k,correct_unique_rate,correct_unique_low95,correct_unique_high95,false_unique_k,false_unique_rate,false_unique_low95,false_unique_high95,unique_k,ambiguous_k,low_confidence_k,rejected_k,nonempty_set_k,nonempty_set_rate,measurement_count,receiver_port_count,changes_termination
T20,A0_H50_Zin50,A0,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,0,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,0,100,0,0,1,1,0
T20,A1_H_12p5,A1,diagnostic_pair,ALL,200,200,183,0.915,0.868104129284345,0.946254249822524,1.825,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,0,175,14,11,190,0.95,1,1,1
T20,A1_H_12p5,A1,diagnostic_pair,G003,100,100,98,0.98,0.929988209271456,0.994498032449838,1.88,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,90,7,3,98,0.98,1,1,1
T20,A1_H_12p5,A1,diagnostic_pair,MIRROR_M3,100,100,85,0.85,0.767164404091677,0.906940147163434,1.77,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,85,7,8,92,0.92,1,1,1
T20,A1_H_12p5,A1,original_three,ALL,400,300,289,0.963333333333333,0.935546151828107,0.979404694837147,0.9525,102,0.255,0.214756700879389,0.299904323344416,23,0.0575,0.0386175427577331,0.0848008377281193,125,0,241,34,381,0.9525,1,1,1
T20,A1_H_12p5,A1,original_three,G001,100,100,96,0.96,0.901629285641121,0.984336696008452,0.96,54,0.54,0.442648603233682,0.634391916909759,0,0,0,0.0369934982069855,54,0,27,19,96,0.96,1,1,1
T20,A1_H_12p5,A1,original_three,G002,100,100,95,0.95,0.888249530768081,0.978456320845632,0.95,16,0.16,0.100952884888048,0.244202693892702,0,0,0,0.0369934982069855,16,0,79,5,95,0.95,1,1,1
T20,A1_H_12p5,A1,original_three,G003,100,100,98,0.98,0.929988209271456,0.994498032449838,0.98,32,0.32,0.236691473249991,0.416626186104524,0,0,0,0.0369934982069855,32,0,66,2,98,0.98,1,1,1
T20,A1_H_12p5,A1,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,0.92,0,0,0,0.0369934982069855,23,0.23,0.158432658803035,0.321543830228738,23,0,69,8,92,0.92,1,1,1
T20,A1_Zin_12p5,A1,diagnostic_pair,ALL,200,200,193,0.965,0.929529388477709,0.982944457991433,0.965,193,0.965,0.929529388477709,0.982944457991433,0,0,0,0.0188453263772665,193,0,0,7,193,0.965,1,1,1
T20,A1_Zin_12p5,A1,diagnostic_pair,G003,100,100,99,0.99,0.945513803821295,0.998232567935859,0.99,99,0.99,0.945513803821295,0.998232567935859,0,0,0,0.0369934982069855,99,0,0,1,99,0.99,1,1,1
T20,A1_Zin_12p5,A1,diagnostic_pair,MIRROR_M3,100,100,94,0.94,0.875231845541041,0.972213876036812,0.94,94,0.94,0.875231845541041,0.972213876036812,0,0,0,0.0369934982069855,94,0,0,6,94,0.94,1,1,1
T20,A1_Zin_12p5,A1,original_three,ALL,400,300,280,0.933333333333333,0.899276940483885,0.956432484454842,0.7,275,0.6875,0.640474450437718,0.730958439186921,0,0,0,0.00951229433429647,275,0,0,125,280,0.7,1,1,1
T20,A1_Zin_12p5,A1,original_three,G001,100,100,89,0.89,0.813687034969197,0.937458036429354,0.89,84,0.84,0.755797306107298,0.899047115111952,0,0,0,0.0369934982069855,84,0,0,16,89,0.89,1,1,1
T20,A1_Zin_12p5,A1,original_three,G002,100,100,92,0.92,0.850018922990513,0.958906538515619,0.92,92,0.92,0.850018922990513,0.958906538515619,0,0,0,0.0369934982069855,92,0,0,8,92,0.92,1,1,1
T20,A1_Zin_12p5,A1,original_three,G003,100,100,99,0.99,0.945513803821295,0.998232567935859,0.99,99,0.99,0.945513803821295,0.998232567935859,0,0,0,0.0369934982069855,99,0,0,1,99,0.99,1,1,1
T20,A1_Zin_12p5,A1,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,0,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,0,100,0,0,1,1,1
T20,A1_H_Zin_12p5,A1,diagnostic_pair,ALL,200,200,193,0.965,0.929529388477709,0.982944457991433,0.965,193,0.965,0.929529388477709,0.982944457991433,0,0,0,0.0188453263772665,193,0,0,7,193,0.965,1,1,1
T20,A1_H_Zin_12p5,A1,diagnostic_pair,G003,100,100,99,0.99,0.945513803821295,0.998232567935859,0.99,99,0.99,0.945513803821295,0.998232567935859,0,0,0,0.0369934982069855,99,0,0,1,99,0.99,1,1,1
T20,A1_H_Zin_12p5,A1,diagnostic_pair,MIRROR_M3,100,100,94,0.94,0.875231845541041,0.972213876036812,0.94,94,0.94,0.875231845541041,0.972213876036812,0,0,0,0.0369934982069855,94,0,0,6,94,0.94,1,1,1
T20,A1_H_Zin_12p5,A1,original_three,ALL,400,300,280,0.933333333333333,0.899276940483885,0.956432484454842,0.7,275,0.6875,0.640474450437718,0.730958439186921,0,0,0,0.00951229433429647,275,0,0,125,280,0.7,1,1,1
T20,A1_H_Zin_12p5,A1,original_three,G001,100,100,89,0.89,0.813687034969197,0.937458036429354,0.89,84,0.84,0.755797306107298,0.899047115111952,0,0,0,0.0369934982069855,84,0,0,16,89,0.89,1,1,1
T20,A1_H_Zin_12p5,A1,original_three,G002,100,100,92,0.92,0.850018922990513,0.958906538515619,0.92,92,0.92,0.850018922990513,0.958906538515619,0,0,0,0.0369934982069855,92,0,0,8,92,0.92,1,1,1
T20,A1_H_Zin_12p5,A1,original_three,G003,100,100,99,0.99,0.945513803821295,0.998232567935859,0.99,99,0.99,0.945513803821295,0.998232567935859,0,0,0,0.0369934982069855,99,0,0,1,99,0.99,1,1,1
T20,A1_H_Zin_12p5,A1,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,0,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,0,0,100,0,0,1,1,1
T20,A1_H_25,A1,diagnostic_pair,ALL,200,200,185,0.925,0.879956389763706,0.954025082815618,1.855,0,0,0,0.0188453263772665,0,0,0,0.0188453263772665,0,181,9,10,190,0.95,1,1,1
T20,A1_H_25,A1,diagnostic_pair,G003,100,100,97,0.97,0.915480635709472,0.989745475975961,1.9,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,93,4,3,97,0.97,1,1,1
T20,A1_H_25,A1,diagnostic_pair,MIRROR_M3,100,100,88,0.88,0.801879005732886,0.930005935629805,1.81,0,0,0,0.0369934982069855,0,0,0,0.0369934982069855,0,88,5,7,93,0.93,1,1,1
T20,A1_H_25,A1,original_three,ALL,400,300,289,0.963333333333333,0.935546151828107,0.979404694837147,0.955,87,0.2175,0.17986162070989,0.260512825588988,19,0.0475,0.0306170769627119,0.0729915494098264,106,0,264,30,382,0.955,1,1,1
T20,A1_H_25,A1,original_three,G001,100,100,94,0.94,0.875231845541041,0.972213876036812,0.94,51,0.51,0.413480119340272,0.605780010695589,0,0,0,0.0369934982069855,51,0,31,18,94,0.94,1,1,1
T20,A1_H_25,A1,original_three,G002,100,100,98,0.98,0.929988209271456,0.994498032449838,0.98,10,0.1,0.0552291370606752,0.174365661504913,0,0,0,0.0369934982069855,10,0,88,2,98,0.98,1,1,1
T20,A1_H_25,A1,original_three,G003,100,100,97,0.97,0.915480635709472,0.989745475975961,0.97,26,0.26,0.184046984647481,0.353709894491872,0,0,0,0.0369934982069855,26,0,71,3,97,0.97,1,1,1
T20,A1_H_25,A1,original_three,MIRROR_M3,100,0,0,NaN,NaN,NaN,0.93,0,0,0,0.0369934982069855,19,0.19,0.125147515097687,0.277788453790644,19,0,74,7,93,0.93,1,1,1
T20,A1_Zin_25,A1,diagnostic_pair,ALL,200,200,191,0.955,0.916703295998181,0.976147456998507,0.955,191,0.955,0.916703295998181,0.976147456998507,0,0,0,0.0188453263772665,191,0,0,9,191,0.955,1,1,1
