topology_id,node_index,internal_input_ohm,baseline_endpoint_rms,loaded_endpoint_change_rms,loaded_endpoint_relative_change
G003,2,1000000,0.27448072469964,3.56405942304872e-05,0.000129847348186246
G003,3,1000000,0.27448072469964,5.22638883668555e-05,0.000190410049463572
G003,4,1000000,0.27448072469964,4.73874355822713e-05,0.000172643946616385
MIRROR_M3,2,1000000,0.27448072469964,4.73874355822834e-05,0.000172643946616429
MIRROR_M3,3,1000000,0.27448072469964,5.22638883668742e-05,0.00019041004946364
MIRROR_M3,4,1000000,0.27448072469964,3.56405942304861e-05,0.000129847348186241
