candidate_id,nearest_pair_key,same_theta_nearest_candidate,same_theta_distance,same_theta_template_i,same_theta_template_j,same_theta_numerically_equivalent,numerical_tolerance,noise_resolution_threshold,cross_theta_scope,cross_theta_profile_distance,cross_theta_template_i,cross_theta_template_j,same_theta_complex_distance,same_theta_magnitude_distance,same_theta_phase_distance_rad,cross_theta_complex_distance,cross_theta_magnitude_distance,cross_theta_phase_distance_rad,cross_theta_numerically_equivalent,source_formal_experiment_hash
R21C_015,R21C_015|R21C_077,R21C_077,0.00403928169815561,21,21,0,1e-10,NaN,nearest_same_theta_pairs_only,1.69494496031012,84,3,0.00403928169815561,0.00349764355337172,0.00949755583446343,0.00616873811139798,0.00450738061980202,0.0321150803980886,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_016,R21C_016|R21C_018,R21C_018,0.00351668154748056,223,223,0,1e-10,NaN,nearest_same_theta_pairs_only,1.67394893131191,29,57,0.00351668154748057,0.00232875165893747,0.017480616218685,0.00452984546385519,0.00314115488366597,0.0274656154267544,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_017,R21C_017|R21C_040,R21C_040,0.00245675859922012,64,64,0,1e-10,NaN,nearest_same_theta_pairs_only,2.35310813689862,6,3,0.00245675859922012,0.00159982754702056,0.00888615123661736,0.0088066467101016,0.00742008089153431,0.0175842241080449,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_018,R21C_016|R21C_018,R21C_016,0.00351668154748056,223,223,0,1e-10,NaN,nearest_same_theta_pairs_only,1.67394893131191,29,57,0.00351668154748057,0.00232875165893747,0.017480616218685,0.00452984546385519,0.00314115488366597,0.0274656154267544,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_019,R21C_019|R21C_059,R21C_059,0.0063710436295488,79,79,0,1e-10,NaN,nearest_same_theta_pairs_only,2.47848005020717,9,3,0.0063710436295488,0.0037609411097274,0.0202976109738726,0.0102692154285945,0.00866651373596828,0.0213305863141778,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_020,R21C_020|R21C_038,R21C_038,0.0031920077969053,61,61,0,1e-10,NaN,nearest_same_theta_pairs_only,2.27321156846546,3,3,0.0031920077969053,0.00139573977951619,0.0113099253790074,0.00914842936921343,0.0074815046392465,0.0145094128328563,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_021,R21C_021|R21C_025,R21C_025,0.00692421949532452,75,75,0,1e-10,NaN,nearest_same_theta_pairs_only,1.5259929215325,9,3,0.00692421949532452,0.00276342925611952,0.0505023487104842,0.0056931723431743,0.00170665723040273,0.0559070089228809,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_022,R21C_022|R21C_081,R21C_081,0.00226189991584512,61,61,0,1e-10,NaN,nearest_same_theta_pairs_only,1.67727183018229,3,3,0.00226189991584512,0.0013629465003736,0.00694534474426452,0.00573561216488083,0.00459266962133965,0.0160337908384496,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_023,R21C_023|R21C_060,R21C_060,0.0172966656268697,63,63,0,1e-10,NaN,nearest_same_theta_pairs_only,1.49319065744287,9,3,0.0172966656268697,0.0141394364680326,0.0901970175574061,0.020376647892573,0.0173254947526798,0.0745335372468423,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_024,R21C_021|R21C_024,R21C_021,0.00696502927732527,25,25,0,1e-10,NaN,nearest_same_theta_pairs_only,1.58644687239796,84,3,0.00696502927732527,0.0048595032973034,0.0247074347767031,0.00578061867126884,0.00325863401657478,0.0319791897639153,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_025,R21C_021|R21C_025,R21C_021,0.00692421949532452,75,75,0,1e-10,NaN,nearest_same_theta_pairs_only,1.5259929215325,9,3,0.00692421949532452,0.00276342925611952,0.0505023487104842,0.0056931723431743,0.00170665723040273,0.0559070089228809,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_026,R21C_026|R21C_062,R21C_062,0.0105731679143326,3,3,0,1e-10,NaN,nearest_same_theta_pairs_only,2.26132968559364,2,3,0.0105731679143326,0.00803648125550748,0.0218376550198271,0.00361565215766082,0.00172314234373908,0.0144129427829017,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_027,R21C_014|R21C_027,R21C_014,0.00965274787077626,21,21,0,1e-10,NaN,nearest_same_theta_pairs_only,1.79580411039401,3,3,0.00965274787077626,0.00604758232730741,0.0456676376072473,0.0154143104803711,0.0052825425370243,0.120947025631442,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_028,R21C_028|R21C_083,R21C_083,0.0034657955338248,48,48,0,1e-10,NaN,nearest_same_theta_pairs_only,1.75446567120432,3,3,0.0034657955338248,0.00211764732773673,0.0175240460476902,0.0047182479010211,0.00153535425258176,0.0346679404089977,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
