case_id,grid_id,split,topology_id,parameter_name,case_seed,scientific_hash,source_tree_hash,expected_output_path,status
stage4a6_2_smoke_G001,A_stage4a1_quick61,smoke,G001,all_active,36029908,7d2177966e6e529810459af29be60cb13cbfad20db02a299fe2eb434fcfba811,5b3e2695646d4f5ced479b930ddc69eb956f274e492f25fe1e46e0ae00bc0cfa,/home/chidan/文档/PLC/Code_08_19_Matlab/第一版工作集/matlab_plc_cfr_publish/results/data/stage4a6_2/shards/stage4a6_2_smoke_G001.mat,completed
stage4a6_2_smoke_G007,A_stage4a1_quick61,smoke,G007,all_active,69585146,7d2177966e6e529810459af29be60cb13cbfad20db02a299fe2eb434fcfba811,5b3e2695646d4f5ced479b930ddc69eb956f274e492f25fe1e46e0ae00bc0cfa,/home/chidan/文档/PLC/Code_08_19_Matlab/第一版工作集/matlab_plc_cfr_publish/results/data/stage4a6_2/shards/stage4a6_2_smoke_G007.mat,completed
