dataset,scenario,sample,observation_seed,candidate_count,true_main_scale_audit_only,baseline_truth_distance,baseline_truth_best_main_scale,baseline_truth_best_load_scale,stage7a_coarse_truth_distance,stage7a_coarse_truth_best_main_scale,stage7a_coarse_truth_best_load_scale,stage7a_exhaustive_truth_distance,stage7a_exhaustive_truth_best_main_scale,stage7a_exhaustive_truth_best_load_scale,exhaustive_minus_baseline_truth_distance,max_distance_error,truth_distance_error,top1_changed,candidate_set_changed,state_changed,coarse_state,exhaustive_state,coarse_set,exhaustive_set,global_outside_local_count,coarse_template_comparisons,exhaustive_template_comparisons,exhaustive_runtime_s
independent_test,scale_large,diagnostic_r034,402671134,23,0.982080188675565,0.0320462557012941,0.98,1,0.0721148743856198,0.975,1.1,0.0720491289834459,0.975,1,0.0400028732821518,6.57454021738835e-05,6.57454021738835e-05,0,0,0,LOW_CONFIDENCE,LOW_CONFIDENCE,"G004,G007","G004,G007",1,575,1380,0.001592
independent_test,scale_large,diagnostic_r035,402671135,23,1.00079108824907,0.0313154566124328,1,1,0.0313154566124328,1,1,0.0313154566124328,1,1,-6.93889390390723e-18,0,0,0,0,0,LOW_CONFIDENCE,LOW_CONFIDENCE,"G004,G007","G004,G007",0,580,1380,0.001269
independent_test,scale_large,diagnostic_r036,402671136,23,1.01314994123051,0.0766003616628541,1.02,1,0.120355266251871,1.025,1.1,0.120355266251871,1.025,1.1,0.0437549045890167,0,0,0,0,0,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,"G004","G004",0,575,1380,0.001691
independent_test,scale_large,diagnostic_r037,402671137,23,1.01559240008226,0.0529536777345509,1.02,1,0.0967980555005982,1.025,1.1,0.0967737883901152,1.025,1,0.0438201106555643,2.42671104829784e-05,2.42671104829784e-05,0,0,0,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,"G004","G004",1,575,1380,0.001035
independent_test,scale_large,diagnostic_r038,402671138,23,1.00547864706143,0.0584656311762377,1,1,0.0584656311762377,1,1,0.0584656311762377,1,1,6.93889390390723e-18,0,0,0,0,0,LOW_CONFIDENCE,LOW_CONFIDENCE,"G004,G007","G004,G007",0,580,1380,0.000871
independent_test,scale_large,diagnostic_r039,402671139,23,0.981256820136124,0.035847140900343,0.98,1,0.0752309352056633,0.975,1.1,0.0752309352056633,0.975,1.1,0.0393837943053203,0,0,0,0,0,LOW_CONFIDENCE,LOW_CONFIDENCE,"G004,G007","G004,G007",0,575,1380,0.000897
independent_test,scale_large,diagnostic_r040,402671140,23,0.987839380359276,0.0834002494468043,0.98,1,0.122447953758509,1,1.1,0.122447953758509,1,1.1,0.0390477043117047,0,0,0,0,0,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,"G004","G004",0,575,1380,0.000945
independent_test,scale_large,diagnostic_r041,402671141,23,1.00635597262145,0.0681088210408108,1,1,0.0681088210408108,1,1,0.0681088210408108,1,1,-1.38777878078145e-17,0,0,0,0,0,LOW_CONFIDENCE,LOW_CONFIDENCE,"G004,G007","G004,G007",0,580,1380,0.000937
independent_test,scale_large,diagnostic_r042,402671142,23,0.983509751858051,0.0426560180804879,0.98,1,0.0880087121802354,0.975,1.1,0.0880087121802354,0.975,1.1,0.0453526940997475,0,0,0,0,0,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,"G004","G004",0,575,1380,0.000962
independent_test,scale_large,diagnostic_r043,402671143,23,0.983306398228251,0.0433383296457118,0.98,1,0.0873747446339738,0.975,1.1,0.0873747446339738,0.975,1.1,0.0440364149882621,0,0,0,0,0,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,"G004","G004",0,575,1380,0.000888
independent_test,scale_large,diagnostic_r044,402671144,23,0.986174407983548,0.0706091093969306,0.98,1,0.116688184424375,0.975,1.2,0.116688184424375,0.975,1.2,0.0460790750274441,0,0,0,0,0,UNIQUE_CONFIDENT,UNIQUE_CONFIDENT,"G004","G004",0,575,1380,0.00089
