transition_id,baseline_category,target_category,paired_case_count,baseline_hit_num,target_hit_num,baseline_hit_rate,target_hit_rate,truth_membership_loss_num,truth_membership_loss_den,truth_membership_loss_rate,truth_membership_gain_num,baseline_empty_num,target_empty_num,empty_transition_num,empty_transition_rate,baseline_wrong_acceptance_num,target_wrong_acceptance_num,wrong_acceptance_transition_num,wrong_acceptance_transition_rate,singleton_to_wrong_singleton_num,singleton_to_wrong_singleton_den,singleton_to_wrong_singleton_rate,mean_set_size_difference,mean_set_size_ci_low,mean_set_size_ci_high,truth_hit_difference,truth_hit_ci_low,truth_hit_ci_high,empty_difference,empty_difference_ci_low,empty_difference_ci_high,wrong_acceptance_difference,wrong_acceptance_difference_ci_low,wrong_acceptance_difference_ci_high,bootstrap_replicates,bootstrap_seed,experiment_hash,calibration_hash
in_domain_to_boundary_lower,in_domain,boundary_lower,174,169,161,0.971264367816092,0.925287356321839,8,174,0.0459770114942529,0,1,1,0,0,4,12,8,0.0459770114942529,0,174,0,0.166666666666667,-0.0344827586206897,0.367816091954023,-0.0459770114942529,-0.0804597701149425,-0.0172413793103448,0,0,0,0.0459770114942529,0.0172413793103448,0.0804597701149425,2000,20262962,4eac2d3feeab6fa87ca3f53bda52b299a42dcf9f654e09bfbdb91c0adfd6611e,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
in_domain_to_boundary_upper,in_domain,boundary_upper,174,169,166,0.971264367816092,0.954022988505747,5,174,0.028735632183908,2,1,1,1,0.00574712643678161,4,7,4,0.0229885057471264,0,174,0,-0.264367816091954,-0.482758620689655,-0.028735632183908,-0.0172413793103448,-0.0459770114942529,0.0114942528735632,0,-0.0172413793103448,0.0172413793103448,0.0172413793103448,-0.00574712643678161,0.0459770114942529,2000,20262963,4eac2d3feeab6fa87ca3f53bda52b299a42dcf9f654e09bfbdb91c0adfd6611e,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
in_domain_to_parameter_ood_near,in_domain,parameter_ood_near,174,169,132,0.971264367816092,0.758620689655172,39,174,0.224137931034483,2,1,2,2,0.0114942528735632,4,40,37,0.21264367816092,1,174,0.00574712643678161,-0.689655172413793,-1.00574712643678,-0.373563218390805,-0.21264367816092,-0.281609195402299,-0.149425287356322,0.00574712643678161,-0.0114942528735632,0.028735632183908,0.206896551724138,0.14367816091954,0.275862068965517,2000,20262964,4eac2d3feeab6fa87ca3f53bda52b299a42dcf9f654e09bfbdb91c0adfd6611e,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
in_domain_to_parameter_ood_medium,in_domain,parameter_ood_medium,174,169,19,0.971264367816092,0.109195402298851,150,174,0.862068965517241,0,1,5,5,0.028735632183908,4,150,146,0.839080459770115,20,174,0.114942528735632,-2.48850574712644,-2.9367816091954,-2.04597701149425,-0.862068965517241,-0.913793103448276,-0.804597701149425,0.0229885057471264,0,0.0517241379310345,0.839080459770115,0.781609195402299,0.890804597701149,2000,20262965,4eac2d3feeab6fa87ca3f53bda52b299a42dcf9f654e09bfbdb91c0adfd6611e,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
in_domain_to_parameter_ood_far,in_domain,parameter_ood_far,174,169,4,0.971264367816092,0.0229885057471264,165,174,0.948275862068966,0,1,21,20,0.114942528735632,4,149,145,0.833333333333333,27,174,0.155172413793103,-3.49425287356322,-3.95402298850575,-3.04022988505747,-0.948275862068966,-0.977011494252874,-0.913793103448276,0.114942528735632,0.0689655172413793,0.166666666666667,0.833333333333333,0.775862068965517,0.885057471264368,2000,20262966,4eac2d3feeab6fa87ca3f53bda52b299a42dcf9f654e09bfbdb91c0adfd6611e,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b
