library_tag,candidate_count,stage6b_model_bytes,stage7a_model_bytes,stage6b_cache_time_s,stage7a_cache_time_s,stage6b_calibration_time_s,stage7a_calibration_time_s,stage7a_forward_evaluations,stage7a_search_domain_hash,stage7a_candidate_library_hash
parameter_medium,7,243464,427209,0.010177,0.117382,0.12561,0.02928,315,6d48f578297dacc6b1250d338e16af63f169c1aac452f0867e187400a95ff608,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5
prior_wrong_open,4,221726,288502,0.004856,0.047745,0.055628,0.016659,140,0f1c1b6f8c4fec65e1ac9ad10d6681524ad443e4dd1331166cbd724c42e8de30,c7e81afcd819a7d7f1c4c7d2a717fff2fa743ac64031a692ff781bbcb0c38b99
prior_wrong_closed,3,181798,225745,0.004062,0.035478,0.038588,0.012283,95,930de91d2f3c07e0cfc5fc0a6864da41e4db48e4f5e68525a583f422208848fc,449249f85abcf3e67b791a92b554e82a678439d24e19c606f011edca78e6ac61
scale_small,3,105276,187377,0.004893,0.042728,0.035151,0.014805,135,1887d079142abba4bf22670a958c25002454efb4d0b3a49f5e8b2b6ce99e0e7c,6652f1f19afac909e934de6c1cc3120e53d3c1a1afbf66816ab06d99d2d9d815
scale_medium,7,245966,428451,0.007908,0.107429,0.087908,0.026658,315,6d48f578297dacc6b1250d338e16af63f169c1aac452f0867e187400a95ff608,645823e974494c88df292f21710687eef8a16ec4e566cd736905d508715576f5
scale_large,23,933268,1440113,0.149131,0.44966,0.431062,0.146443,1035,7c2ea4ee98fedceaca91b60fb2e5d2ae9f01d9d666437fc17417d2785d1977c4,15e0b0a8f633caaa3e4e294ba83a2bfe5fdbfd5683ad5c62ac7a6a73c0435cc8
