branch_length_m,fixed_rms_difference_ohm,bank_identity,signature_1,signature_2
0.0001,0.0165960714530399,15cf30f1df2b60ba5353ca5bd64a12be83b87ec8be4ac0a723805be4633fcb4e,"M=20,20,20,20,|T=0,0,0,0,|B=1,0.0001,1,1000000000;","M=20,20,20,20,|T=0,0,0,0,|B=3,0.0001,1,1000000000;"
0.002,0.331879075992818,3cc36382e74f53101479941231d3cec407dc2d8e993dd0d3f87f0cecfcb429db,"M=20,20,20,20,|T=0,0,0,0,|B=1,0.002,1,1000000000;","M=20,20,20,20,|T=0,0,0,0,|B=3,0.002,1,1000000000;"
0.01,1.65957440309405,f1bc286c68e6ed8891db613ecf402b3d013afe2e3265797645051f5272da211f,"M=20,20,20,20,|T=0,0,0,0,|B=1,0.01,1,1000000000;","M=20,20,20,20,|T=0,0,0,0,|B=3,0.01,1,1000000000;"
