branch_length_m,fixed_rms_difference_ohm,domain,repeat_count,method,truth_group,n,correct_unique_k,correct_unique_low95,correct_unique_high95,false_unique_k,false_unique_low95,false_unique_high95,best_is_truth_k,truth_covered_k,unique_k,ambiguous_k,low_confidence_k,rejected_k,mean_true_distance_grid,mean_true_distance_continuous,optimizer_failure_k
0.0001,0.0165960714530399,on_grid,1,grid_four_state,ALL,200,0,0,0.0188453263772665,0,0,0.0188453263772665,114,191,0,186,8,6,0.997101239446766,0.993075159432763,0
0.0001,0.0165960714530399,on_grid,1,grid_four_state,WEAK_M1,100,0,0,0.0369934982069855,0,0,0.0369934982069855,59,97,0,92,5,3,0.995750975857415,0.991956334105053,0
0.0001,0.0165960714530399,on_grid,1,grid_four_state,WEAK_M3,100,0,0,0.0369934982069855,0,0,0.0369934982069855,55,94,0,94,3,3,0.998451503036117,0.994193984760474,0
0.0001,0.0165960714530399,on_grid,1,continuous_four_state,ALL,200,0,0,0.0188453263772665,0,0,0.0188453263772665,116,191,0,187,6,7,0.997101239446766,0.993075159432763,0
0.0001,0.0165960714530399,on_grid,1,continuous_four_state,WEAK_M1,100,0,0,0.0369934982069855,0,0,0.0369934982069855,59,96,0,92,4,4,0.995750975857415,0.991956334105053,0
0.0001,0.0165960714530399,on_grid,1,continuous_four_state,WEAK_M3,100,0,0,0.0369934982069855,0,0,0.0369934982069855,57,95,0,95,2,3,0.998451503036117,0.994193984760474,0
0.0001,0.0165960714530399,on_grid,1,grid_pair_gap,ALL,200,6,0.0138203143401114,0.0638942924545191,3,0.00511423779325832,0.0431657287926902,114,197,9,191,0,0,0.997101239446766,0.993075159432763,0
0.0001,0.0165960714530399,on_grid,1,grid_pair_gap,WEAK_M1,100,3,0.0102545240240389,0.0845193642905274,1,0.00176743206414065,0.0544861961787052,59,99,4,96,0,0,0.995750975857415,0.991956334105053,0
0.0001,0.0165960714530399,on_grid,1,grid_pair_gap,WEAK_M3,100,3,0.0102545240240389,0.0845193642905274,2,0.00550196755016236,0.0700117907285438,55,98,5,95,0,0,0.998451503036117,0.994193984760474,0
0.0001,0.0165960714530399,on_grid,1,continuous_pair_gap,ALL,200,6,0.0138203143401114,0.0638942924545191,3,0.00511423779325832,0.0431657287926902,116,197,9,191,0,0,0.997101239446766,0.993075159432763,0
0.0001,0.0165960714530399,on_grid,1,continuous_pair_gap,WEAK_M1,100,3,0.0102545240240389,0.0845193642905274,1,0.00176743206414065,0.0544861961787052,59,99,4,96,0,0,0.995750975857415,0.991956334105053,0
0.0001,0.0165960714530399,on_grid,1,continuous_pair_gap,WEAK_M3,100,3,0.0102545240240389,0.0845193642905274,2,0.00550196755016236,0.0700117907285438,57,98,5,95,0,0,0.998451503036117,0.994193984760474,0
0.0001,0.0165960714530399,on_grid,256,grid_four_state,ALL,200,0,0,0.0188453263772665,0,0,0.0188453263772665,187,190,0,173,16,11,0.99311537529176,0.988244072111224,0
0.0001,0.0165960714530399,on_grid,256,grid_four_state,WEAK_M1,100,0,0,0.0369934982069855,0,0,0.0369934982069855,94,99,0,82,14,4,0.988979274883076,0.984193229129406,0
0.0001,0.0165960714530399,on_grid,256,grid_four_state,WEAK_M3,100,0,0,0.0369934982069855,0,0,0.0369934982069855,93,91,0,91,2,7,0.997251475700445,0.992294915093042,0
0.0001,0.0165960714530399,on_grid,256,continuous_four_state,ALL,200,0,0,0.0188453263772665,0,0,0.0188453263772665,185,190,0,173,15,12,0.99311537529176,0.988244072111224,0
0.0001,0.0165960714530399,on_grid,256,continuous_four_state,WEAK_M1,100,0,0,0.0369934982069855,0,0,0.0369934982069855,93,99,0,82,13,5,0.988979274883076,0.984193229129406,0
0.0001,0.0165960714530399,on_grid,256,continuous_four_state,WEAK_M3,100,0,0,0.0369934982069855,0,0,0.0369934982069855,92,91,0,91,2,7,0.997251475700445,0.992294915093042,0
0.0001,0.0165960714530399,on_grid,256,grid_pair_gap,ALL,200,177,0.833352831015124,0.92213626767438,13,0.038376354649153,0.108019079299069,187,187,190,10,0,0,0.99311537529176,0.988244072111224,0
0.0001,0.0165960714530399,on_grid,256,grid_pair_gap,WEAK_M1,100,94,0.875231845541041,0.972213876036812,6,0.0277861239631882,0.124768154458959,94,94,100,0,0,0,0.988979274883076,0.984193229129406,0
0.0001,0.0165960714530399,on_grid,256,grid_pair_gap,WEAK_M3,100,83,0.744519952323989,0.891064338859401,7,0.0343192610672727,0.137495147390735,93,93,90,10,0,0,0.997251475700445,0.992294915093042,0
0.0001,0.0165960714530399,on_grid,256,continuous_pair_gap,ALL,200,174,0.816336481277516,0.909717977203307,13,0.038376354649153,0.108019079299069,185,187,187,13,0,0,0.99311537529176,0.988244072111224,0
0.0001,0.0165960714530399,on_grid,256,continuous_pair_gap,WEAK_M1,100,91,0.837737871472837,0.951927459997435,6,0.0277861239631882,0.124768154458959,93,94,97,3,0,0,0.988979274883076,0.984193229129406,0
0.0001,0.0165960714530399,on_grid,256,continuous_pair_gap,WEAK_M3,100,83,0.744519952323989,0.891064338859401,7,0.0343192610672727,0.137495147390735,92,93,90,10,0,0,0.997251475700445,0.992294915093042,0
0.0001,0.0165960714530399,off_grid,1,grid_four_state,ALL,200,0,0,0.0188453263772665,0,0,0.0188453263772665,109,192,0,184,0,16,82.0822624738022,0.998441965250379,0
0.0001,0.0165960714530399,off_grid,1,grid_four_state,WEAK_M1,100,0,0,0.0369934982069855,0,0,0.0369934982069855,35,96,0,92,0,8,82.0070138629909,1.00590523247574,0
0.0001,0.0165960714530399,off_grid,1,grid_four_state,WEAK_M3,100,0,0,0.0369934982069855,0,0,0.0369934982069855,74,96,0,92,0,8,82.1575110846136,0.990978698025017,0
0.0001,0.0165960714530399,off_grid,1,continuous_four_state,ALL,200,0,0,0.0188453263772665,0,0,0.0188453263772665,103,187,0,183,3,14,82.0822624738022,0.998441965250379,0
0.0001,0.0165960714530399,off_grid,1,continuous_four_state,WEAK_M1,100,0,0,0.0369934982069855,0,0,0.0369934982069855,51,93,0,89,1,10,82.0070138629909,1.00590523247574,0
0.0001,0.0165960714530399,off_grid,1,continuous_four_state,WEAK_M3,100,0,0,0.0369934982069855,0,0,0.0369934982069855,52,94,0,94,2,4,82.1575110846136,0.990978698025017,0
0.0001,0.0165960714530399,off_grid,1,grid_pair_gap,ALL,200,12,0.0346521942543319,0.101931692957663,8,0.0204056320661523,0.0769320682009329,109,192,20,180,0,0,82.0822624738022,0.998441965250379,0
0.0001,0.0165960714530399,off_grid,1,grid_pair_gap,WEAK_M1,100,4,0.0156633039915476,0.098370714358879,6,0.0277861239631882,0.124768154458959,35,94,10,90,0,0,82.0070138629909,1.00590523247574,0
0.0001,0.0165960714530399,off_grid,1,grid_pair_gap,WEAK_M3,100,8,0.0410934614843807,0.149981077009487,2,0.00550196755016236,0.0700117907285438,74,98,10,90,0,0,82.1575110846136,0.990978698025017,0
0.0001,0.0165960714530399,off_grid,1,continuous_pair_gap,ALL,200,4,0.00780442641634949,0.0502870869058264,6,0.0138203143401114,0.0638942924545191,103,194,10,190,0,0,82.0822624738022,0.998441965250379,0
0.0001,0.0165960714530399,off_grid,1,continuous_pair_gap,WEAK_M1,100,2,0.00550196755016236,0.0700117907285438,5,0.021543679154368,0.111750469231919,51,95,7,93,0,0,82.0070138629909,1.00590523247574,0
0.0001,0.0165960714530399,off_grid,1,continuous_pair_gap,WEAK_M3,100,2,0.00550196755016236,0.0700117907285438,1,0.00176743206414065,0.0544861961787052,52,99,3,97,0,0,82.1575110846136,0.990978698025017,0
