regime,snr_db,scheme,profile,library,E_seed,A_seed,F_seed,class_thresholds,fit_threshold,calibration_identity,bank_identity,actual_views
on_on,20,M2_node_dominance,continuous,pair,910000000,920000000,930000000,[0.8843370810393164 1.287627581734826],1.22844120421968,b2e0ab5cb4e4fdd677454b98153d25349209dacd9b6af87265e4eedb9a10544e,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c_continuous_v1,14
on_on,20,H50,grid45,original_three,910000000,920000000,930000000,[1.354351340916682 1.087756448281367 0.9674224847855516],1.2524657686361,feab688e720f110f2c10a954f36653c00829ba6068fbb8c8ce54d7c59919b611,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,5
on_on,20,Zin50,grid45,original_three,910000000,920000000,930000000,[1.065123773167788 1.102416461377205 1.110600226787268],1.10180894860647,52ee88b6992cfd1550aecb3131dd37cc936abdde76faf8f115bb17d11e7a52a0,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,6
on_on,20,H50_Zin50,grid45,original_three,910000000,920000000,930000000,[1.165045090223769 1.061081590599372 0.9998840808049573],1.14698815565515,7c0c9f2f8db09529e5d21c3da0d233aada51ed03d533e9cd9fda54ae1b28af82,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,[5 6]
on_on,20,H25,grid45,original_three,910000000,920000000,930000000,[1.330898723868261 1.079518345977309 1.010557080728929],1.38385194772726,6e1f4517a2bed75d50889dae0d17647f9a09c2d3862e02418375d93c77235820,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,3
on_on,20,Zin25,grid45,original_three,910000000,920000000,930000000,[1.105152522029779 1.056883593220473 1.109096912261815],1.08111944209054,cbe3a84152cb33ba8e46615a3a5eabf1b82805da18608bcf93f86e508a3f13c0,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,4
on_on,20,H25_Zin25,grid45,original_three,910000000,920000000,930000000,[1.188383018415627 1.028184710819605 1.019063772983845],1.21813801793284,4da0e82187a20288805e99d31bd171eb03ae08b1aea5f11d6a3ba0c8972dea8b,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,[3 4]
on_on,20,M2_node,grid45,original_three,910000000,920000000,930000000,[1.263645403511872 0.8481206063175931 0.8856190341826851],1.22893466181857,83dc6cc8971385af3f08e1b6b9535dc2f0c415d3bd1517fb50b091c8b64b68b4,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,14
on_on,20,M2_direct_joint,grid45,original_three,910000000,920000000,930000000,[1.258935152655045 0.9401664838620389 0.9070643717168062],1.24582432108977,471d9b35e503a673674a21a83e360778a283f55f2d1e71cf4e56f0ab9aaf5649,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,[13 14]
on_on,20,M2_node_dominance,grid45,original_three,910000000,920000000,930000000,[1.258935152655045 0.9401664838620389 0.9070643717168062],1.24582432108977,dd37006ccbfb1cba44ed86a49c7265c6af629b04eac954d1826dfcb172817604,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,[13 14]
