regime,snr_db,variant,scheme,profile,library,truth_id,n,truth_in_library,correct_unique_k,false_unique_k,truth_covered_k,nonempty_k,ambiguous_k,low_confidence_k,rejected_k,mean_set_size,correct_unique_ci_low,correct_unique_ci_high,false_unique_ci_low,false_unique_ci_high,calibration_identity
on_on,20,nominal,H50_Zin50,grid45,original_three,MIRROR_M3,30,0,0,0,0,0,0,0,30,0,0,0.113513393173968,0,0.113513393173968,7c0c9f2f8db09529e5d21c3da0d233aada51ed03d533e9cd9fda54ae1b28af82
on_on,20,nominal,H25,grid45,original_three,MIRROR_M3,30,0,0,13,0,13,0,0,17,0.433333333333333,0,0.113513393173968,0.273774855764666,0.608026929991864,6e1f4517a2bed75d50889dae0d17647f9a09c2d3862e02418375d93c77235820
on_on,20,nominal,Zin25,grid45,original_three,MIRROR_M3,30,0,0,0,0,0,0,0,30,0,0,0.113513393173968,0,0.113513393173968,cbe3a84152cb33ba8e46615a3a5eabf1b82805da18608bcf93f86e508a3f13c0
on_on,20,nominal,H25_Zin25,grid45,original_three,MIRROR_M3,30,0,0,0,0,0,0,0,30,0,0,0.113513393173968,0,0.113513393173968,4da0e82187a20288805e99d31bd171eb03ae08b1aea5f11d6a3ba0c8972dea8b
on_on,20,nominal,M2_node,grid45,original_three,MIRROR_M3,30,0,0,0,0,0,0,0,30,0,0,0.113513393173968,0,0.113513393173968,83dc6cc8971385af3f08e1b6b9535dc2f0c415d3bd1517fb50b091c8b64b68b4
on_on,20,nominal,M2_direct_joint,grid45,original_three,MIRROR_M3,30,0,0,0,0,0,0,0,30,0,0,0.113513393173968,0,0.113513393173968,471d9b35e503a673674a21a83e360778a283f55f2d1e71cf4e56f0ab9aaf5649
on_on,20,nominal,M2_node_dominance,grid45,original_three,MIRROR_M3,30,0,0,0,0,0,0,0,30,0,0,0.113513393173968,0,0.113513393173968,dd37006ccbfb1cba44ed86a49c7265c6af629b04eac954d1826dfcb172817604
on_on,20,nominal,H50,continuous,original_three,MIRROR_M3,30,0,0,24,0,28,0,4,2,0.933333333333333,0,0.113513393173968,0.626943035868518,0.904948928227101,35745ba8d4053b549cea26904c187514da9a43a0dee316fe22368037bb94926b
on_on,20,nominal,Zin50,continuous,original_three,MIRROR_M3,30,0,0,0,0,0,0,0,30,0,0,0.113513393173968,0,0.113513393173968,17ae01ca44b6f243fbe799f52894eb0aab44bb3eb398abefce295c076676763f
on_on,20,nominal,H50_Zin50,continuous,original_three,MIRROR_M3,30,0,0,0,0,0,0,0,30,0,0,0.113513393173968,0,0.113513393173968,621e7d462e63a962bf001b3daf5208c4b971963d88b8b2551b6443f4a73b5279
on_on,20,nominal,H25,continuous,original_three,MIRROR_M3,30,0,0,13,0,13,0,0,17,0.433333333333333,0,0.113513393173968,0.273774855764666,0.608026929991864,3f1499415a75c3ea4bdd84ba58061510f335701f9c57e4664607f1b5566c2560
on_on,20,nominal,Zin25,continuous,original_three,MIRROR_M3,30,0,0,0,0,0,0,0,30,0,0,0.113513393173968,0,0.113513393173968,b10ab91b39a5e47f61d600ec9d48ac9577dec54f248824ecc6964532a880cc8e
on_on,20,nominal,H25_Zin25,continuous,original_three,MIRROR_M3,30,0,0,0,0,0,0,0,30,0,0,0.113513393173968,0,0.113513393173968,ad1a29baff35527c80d6ffca21c6c0b27ed4c9d9d42cb4813bdeca5134b4b975
on_on,20,nominal,M2_node,continuous,original_three,MIRROR_M3,30,0,0,0,0,0,0,0,30,0,0,0.113513393173968,0,0.113513393173968,e460c15a3e088bd5fc8484f020226f98026528f57c650ce917250a465a064915
on_on,20,nominal,M2_direct_joint,continuous,original_three,MIRROR_M3,30,0,0,0,0,0,0,0,30,0,0,0.113513393173968,0,0.113513393173968,d58ef73b31cf026547eefb21a280eb8e83028f4ec88a3e1bcbdbf8fa155755ac
on_on,20,nominal,M2_node_dominance,continuous,original_three,MIRROR_M3,30,0,0,0,0,0,0,0,30,0,0,0.113513393173968,0,0.113513393173968,f0709d84412ca329c1a9192b8814fb035da8d2eadae31d954cec8cedcad46775
on_on,10,nominal,H50,grid45,original_three,G001,30,1,0,0,25,25,0,25,5,0.833333333333333,0,0.113513393173968,0,0.113513393173968,9a8b155c5f50275650806b94b0372eef6130f415e0519b776f6143777e0d58ad
on_on,10,nominal,Zin50,grid45,original_three,G001,30,1,30,0,30,30,0,0,0,1,0.886486606826032,1,0,0.113513393173968,7cf72448264760e67312b4ac8a7fb0f8eb6e869b8f004e7bf85bb0697906d662
on_on,10,nominal,H50_Zin50,grid45,original_three,G001,30,1,30,0,30,30,0,0,0,1,0.886486606826032,1,0,0.113513393173968,f37121c3ac198fc25b87fd8a59a36495c34168d76fb90cb0a3f18ea8e834d25c
on_on,10,nominal,H25,grid45,original_three,G001,30,1,0,0,27,27,0,25,5,0.9,0,0.113513393173968,0,0.113513393173968,e0f8b689714218fa6d515300fede6bf7ef1fb76b9c4ad66cda0fbcd08380833c
on_on,10,nominal,Zin25,grid45,original_three,G001,30,1,28,0,28,28,0,0,2,0.933333333333333,0.786765416373831,0.98152297620873,0,0.113513393173968,503a1865e8c042c3f26f3ba5799dcc1c37c9a3aeba630ae8f57dd7654d3c9e27
