regime,snr_db,variant,scheme,profile,library,truth_id,event,applicable,k,n,ci_low,ci_high,observation_level
on_on,20,nominal,M2_direct_joint,continuous,original_three,G002,truth_covered,1,30,30,0.886486606826032,1,1
on_on,20,nominal,M2_direct_joint,continuous,original_three,G002,nonempty,1,30,30,0.886486606826032,1,1
on_on,20,nominal,M2_direct_joint,continuous,original_three,G002,ambiguous,1,0,30,0,0.113513393173968,1
on_on,20,nominal,M2_direct_joint,continuous,original_three,G002,low_confidence,1,30,30,0.886486606826032,1,1
on_on,20,nominal,M2_direct_joint,continuous,original_three,G002,rejected,1,0,30,0,0.113513393173968,1
on_on,20,nominal,M2_node_dominance,continuous,original_three,G002,correct_unique,1,0,30,0,0.113513393173968,1
on_on,20,nominal,M2_node_dominance,continuous,original_three,G002,false_unique,1,0,30,0,0.113513393173968,1
on_on,20,nominal,M2_node_dominance,continuous,original_three,G002,truth_covered,1,30,30,0.886486606826032,1,1
on_on,20,nominal,M2_node_dominance,continuous,original_three,G002,nonempty,1,30,30,0.886486606826032,1,1
on_on,20,nominal,M2_node_dominance,continuous,original_three,G002,ambiguous,1,0,30,0,0.113513393173968,1
on_on,20,nominal,M2_node_dominance,continuous,original_three,G002,low_confidence,1,30,30,0.886486606826032,1,1
on_on,20,nominal,M2_node_dominance,continuous,original_three,G002,rejected,1,0,30,0,0.113513393173968,1
on_on,20,nominal,H50,grid45,pair,G003,correct_unique,1,0,30,0,0.113513393173968,1
on_on,20,nominal,H50,grid45,pair,G003,false_unique,1,0,30,0,0.113513393173968,1
on_on,20,nominal,H50,grid45,pair,G003,truth_covered,1,24,30,0.626943035868518,0.904948928227101,1
on_on,20,nominal,H50,grid45,pair,G003,nonempty,1,24,30,0.626943035868518,0.904948928227101,1
on_on,20,nominal,H50,grid45,pair,G003,ambiguous,1,24,30,0.626943035868518,0.904948928227101,1
