sample_id,paired_case_id,category,replicate,candidate_id,truth_topology_id,accepted_set,set_size,hit,empty,experiment_hash,calibration_hash,parameter_vector_hash,noiseless_cfr_hash,observation_hash
r211_paired_parameter_ood_medium_C001_R02,paired_C001_R02,parameter_ood_medium,2,R21C_001,R21C_001,"R21C_023",1,0,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,60b62f2d7cab3308bb8a024475bd6aa5ab605329d3d1666229cbb17ec4f98b68,750cb56915706171e16eaa75cec7c362e726f221be089fef5dc792578fe214ae,ac1847e4c29ae4451bc9f928d26702690710aee43528bfe3df55450362012a06
r211_paired_parameter_ood_far_C001_R02,paired_C001_R02,parameter_ood_far,2,R21C_001,R21C_001,"R21C_007",1,0,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,4e45dbca9d0fc8e7280df66fbe70558cad34fabc61f96541cf1c54890d207b72,45c8657075f723702efc162c777ec1804d7dd963ab2f6715e39ee9658fb54b0f,00f754c6e2b7efabf3e8856705ead5f9b3ab2496af4a710156629d7f5618481c
r211_paired_in_domain_C002_R01,paired_C002_R01,in_domain,1,R21C_002,R21C_002,"R21C_002,R21C_016,R21C_018,R21C_021,R21C_022,R21C_025,R21C_028,R21C_039,R21C_070,R21C_072,R21C_075,R21C_076,R21C_081,R21C_082,R21C_083",15,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,8bb7e433d995dd826ac3e702d2b9e2eda0fedd25c966cdd3a1d1e71541506520,d6e39ef2521d8d894298866f3f30af29ca10dff0e79b0688334e1a3ffa5a13c7,22d892e504f2c63990f49fa9f0939c0735391540e4db55ffa8e0cb7014d9ea68
r211_paired_boundary_lower_C002_R01,paired_C002_R01,boundary_lower,1,R21C_002,R21C_002,"R21C_002,R21C_018,R21C_022,R21C_025,R21C_028,R21C_039,R21C_070,R21C_072,R21C_075,R21C_076,R21C_081,R21C_082,R21C_083",13,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,1957f1d0e9f20a2ec92fd0b6037dfcf195b3e8e08db3a4ebb236fa2c1c6b38e4,ad67c32177110e09d55efd7b8551b6e34c0ef021f54751b4784832d126f4b322,773ea4b57a110cef07d9ad87ef405811ad16809a2f8f2a803ac3dbe801c40a25
r211_paired_boundary_upper_C002_R01,paired_C002_R01,boundary_upper,1,R21C_002,R21C_002,"R21C_002,R21C_016,R21C_018,R21C_022,R21C_025,R21C_039,R21C_069,R21C_070,R21C_075,R21C_081,R21C_083",11,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,7675b6b588e2a6e6da1b9d482b2c0fa7979bf64a3f494ecd4d520b9222a5247e,fff52606a4ec31714aa5a7453a08f601b028f0b0f6b91c1fbc9490a3dff8e406,0d148f12c86d384befef87140eaffb2aba21e9d3b3e8c933a81b24496846858c
r211_paired_parameter_ood_near_C002_R01,paired_C002_R01,parameter_ood_near,1,R21C_002,R21C_002,"R21C_002,R21C_016,R21C_018,R21C_021,R21C_025,R21C_039,R21C_069,R21C_075,R21C_081",9,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,d39dbc442b2ea7c3fa7bf43ce63ba294030089a7e4744266a3517d4aea38d75b,41e424cd08167e3227ccecd81ba8ac7af230b5763680ab748748e6b82d556e4b,077eac3ff2fbed7fb9f5ff1fbfcec8b34973795ee9350fa4165a9ddc30db82b8
r211_paired_parameter_ood_medium_C002_R01,paired_C002_R01,parameter_ood_medium,1,R21C_002,R21C_002,"R21C_021,R21C_025,R21C_060,R21C_061",4,0,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,118384791d16a258fb079c9d3101ed5131fb8024bd11004bd250ae571aba3c7f,b22162777caf4b3258b95e885ceecfd49eff8770ce16c602b942ae109e59ac02,f6db4715c3f0f8b2a0576162fa1d520fce65f0b17db872e74674c40b3f160853
r211_paired_parameter_ood_far_C002_R01,paired_C002_R01,parameter_ood_far,1,R21C_002,R21C_002,"R21C_060",1,0,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,9ce5269016e1d36e60f17cf474775ec1e658be02fb80272f78e565e7d738a58b,4c43b89321044259919efd2cb1ce8e2cd29cd3bb03156228ff1387344b10f4f9,b5ebb5a34d953bfb8e9bbbeb0d235039bb33d61cb86105bf80cf412d9ac749d8
r211_paired_in_domain_C002_R02,paired_C002_R02,in_domain,2,R21C_002,R21C_002,"R21C_002,R21C_025,R21C_028,R21C_070,R21C_075,R21C_081,R21C_082,R21C_083",8,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,4f8fde0fb03ff22bd18e3aed6b2bfe13cf7653503c9bfeafd794bb44673630d0,c591d1922028a3d7cdf1dcee93536bddc488e5b9958f827b97f5b6008fdb433d,8241dcb958381735d33a6f64fd84307f0ce77e23890abf124d4b340e4eca97ed
r211_paired_boundary_lower_C002_R02,paired_C002_R02,boundary_lower,2,R21C_002,R21C_002,"R21C_002,R21C_025,R21C_028,R21C_070,R21C_075,R21C_076,R21C_081,R21C_082,R21C_083",9,1,0,e2e85a4953ce8601322d85d9190def7c5f511f7a823cf7fa81be5594f51fce97,1535f33c75884c347c812f61aa056635072181ac37a47ce44ebfb1afc16ea87b,3bb85c1e9ac826a849be096a4650036a40af79d01076226745ea1f1e8f2378a9,7f364a0d5d6805a49b54d9dcdefe10fa6e60d6491d13ed1d4d45085cee15db52,ede9192ef41dfcd4ec9d7a8ce2d265cc0c75f3026bae1da01c4c5bafecaa4b5f
