metric_id,value,numerator,denominator,ci_low,ci_high,method_id,scientific_hash
truth_set_coverage,1,53,53,0.932418011423458,1,absolute,7518fd9fd9e4bf2300880b6a55b332685a75b714c5fb08e018e618ef6f10a289
mean_set_size,53,2809,53,NaN,NaN,absolute,7518fd9fd9e4bf2300880b6a55b332685a75b714c5fb08e018e618ef6f10a289
median_set_size,53,NaN,53,NaN,NaN,absolute,7518fd9fd9e4bf2300880b6a55b332685a75b714c5fb08e018e618ef6f10a289
singleton_rate,0,0,53,0,0.0675819885765419,absolute,7518fd9fd9e4bf2300880b6a55b332685a75b714c5fb08e018e618ef6f10a289
empty_set_rate,0,0,53,0,0.0675819885765419,absolute,7518fd9fd9e4bf2300880b6a55b332685a75b714c5fb08e018e618ef6f10a289
selective_risk,0,0,53,0,0.0675819885765419,absolute,7518fd9fd9e4bf2300880b6a55b332685a75b714c5fb08e018e618ef6f10a289
false_unique_rate,NaN,0,0,NaN,NaN,absolute,7518fd9fd9e4bf2300880b6a55b332685a75b714c5fb08e018e618ef6f10a289
